Iteration,Avg,Max,Min
1,2.1292665605640715e-05,2.4652401143871413e-05,1.8753985221859646e-05
2,2.1838828955407738e-05,2.5169896803423107e-05,1.954422858929758e-05
3,2.2338218087696836e-05,2.5621316935690495e-05,1.9130334972165364e-05
4,2.285331080908656e-05,2.574002574002574e-05,1.9623618987813732e-05
5,2.311112668309822e-05,2.704530087897228e-05,1.967961585389853e-05
6,2.3246753042441613e-05,2.7363524421945548e-05,1.9576367409263536e-05
7,2.3380622488823488e-05,2.7363524421945548e-05,1.9634021833032278e-05
8,2.4021662218642904e-05,2.7841968984046552e-05,2.0565552699228792e-05
9,2.4217854230527763e-05,2.7841968984046552e-05,2.0185708518368996e-05
10,2.4846565968225603e-05,2.885919598279992e-05,2.1518796668890277e-05
11,2.526147016332253e-05,2.923207343096846e-05,1.9898913519321845e-05
12,2.562251452185732e-05,3.0269092229924023e-05,2.1504451421444238e-05
13,2.617215885866702e-05,3.0269092229924023e-05,2.2885913720105276e-05
14,2.6563828530145492e-05,3.099141537794031e-05,2.2351863027783366e-05
15,2.691424291402196e-05,3.15746266300401e-05,2.254232321183021e-05
16,2.7114450379658513e-05,3.206258616820033e-05,2.288120080541827e-05
17,2.765655060834932e-05,3.206258616820033e-05,2.256775969849473e-05
18,2.815108448808002e-05,3.2387614976033165e-05,2.3242841204908887e-05
19,2.8511438809687654e-05,3.28655470470306e-05,2.4270077421546973e-05
20,2.8267805909193613e-05,3.3081910811168454e-05,2.337650194024966e-05
21,2.8599486557317245e-05,3.3081910811168454e-05,2.392287265854884e-05
22,2.8799916601460327e-05,3.3434752081313316e-05,2.482436759923541e-05
23,2.946111545831341e-05,3.448513690599352e-05,2.447800651114973e-05
24,2.9364617153619064e-05,3.448513690599352e-05,2.4275379909695588e-05
25,2.9756066685284276e-05,3.448513690599352e-05,2.403441728555291e-05
26,2.993419026706167e-05,3.4735489249366076e-05,2.3880026745629954e-05
27,3.0345891758971478e-05,3.4735489249366076e-05,2.5593120569191e-05
28,3.1004139276599825e-05,3.658982802780827e-05,2.5376846165558546e-05
29,3.132333742878302e-05,3.66905155017428e-05,2.642706131078224e-05
30,3.1695013005105125e-05,3.694945314809341e-05,2.5953128649658716e-05
31,3.16127967472564e-05,3.694945314809341e-05,2.5170530343074328e-05
32,3.14900642149361e-05,3.694945314809341e-05,2.5048217819302158e-05
33,3.192069715847361e-05,3.740555098376599e-05,2.5215593322910888e-05
34,3.223407795823153e-05,3.7458795325142346e-05,2.5550615769840053e-05
35,3.277548307299362e-05,3.75685626267939e-05,2.775233813448783e-05
36,3.3856294439658435e-05,3.876570010854396e-05,2.65357569324665e-05
37,3.401393527948988e-05,3.876570010854396e-05,2.747705665769083e-05
38,3.419863002547976e-05,3.876570010854396e-05,2.787223368080718e-05
39,3.410084255767688e-05,3.876570010854396e-05,2.8239812487645084e-05
40,3.376709415637325e-05,3.8830427523007026e-05,2.6191037426992482e-05
41,3.41332765943356e-05,3.9032006245121e-05,2.6635414447048795e-05
42,3.479764902936376e-05,3.9032006245121e-05,2.957442403809186e-05
43,3.517819175687675e-05,3.908540160250147e-05,3.074368985765672e-05
44,3.4737360630433125e-05,3.9157334168689795e-05,2.917918940211841e-05
45,3.502845115997111e-05,4.021232105517131e-05,2.85673475217826e-05
46,3.526782152377071e-05,4.065040650406504e-05,2.9683279408709074e-05
47,3.566250754821159e-05,4.065040650406504e-05,2.9985007496251875e-05
48,3.542342262221138e-05,4.065040650406504e-05,2.91247997670016e-05
49,3.589247706746079e-05,4.065040650406504e-05,3.014954172696575e-05
50,3.5974814066333594e-05,4.065040650406504e-05,3.057355998532469e-05
51,3.6687414528598794e-05,4.065040650406504e-05,3.22102686336404e-05
52,3.6653797396556055e-05,4.0839663481172915e-05,3.1020256227316434e-05
53,3.6715982377533775e-05,4.1023957991467015e-05,2.846894038603883e-05
54,3.7016360247835244e-05,4.1023957991467015e-05,3.017774692941425e-05
55,3.6344267489621405e-05,4.1023957991467015e-05,3.032692424334324e-05
56,3.641167893982066e-05,4.1023957991467015e-05,2.9800929789009416e-05
57,3.605126786977166e-05,4.1023957991467015e-05,3.0352698354883748e-05
58,3.57950935881749e-05,4.1023957991467015e-05,2.924404152653897e-05
59,3.5970499748256554e-05,4.1023957991467015e-05,3.0255355197870022e-05
60,3.580425071398852e-05,4.120143380989658e-05,2.816742718720072e-05
61,3.630644951122005e-05,4.120143380989658e-05,2.78955590270029e-05
62,3.6748631021505076e-05,4.120143380989658e-05,2.9478524894614272e-05
63,3.7014278997731095e-05,4.120143380989658e-05,3.0477583737161317e-05
64,3.7538536097482906e-05,4.120143380989658e-05,3.106940905983968e-05
65,3.7183997691287956e-05,4.120143380989658e-05,3.154474622251664e-05
66,3.723683238241369e-05,4.120143380989658e-05,3.0421952480910223e-05
67,3.659131755833172e-05,4.120143380989658e-05,2.9251740478558473e-05
68,3.740716022165537e-05,4.120143380989658e-05,2.9881073328153947e-05
69,3.768516557361569e-05,4.120143380989658e-05,3.023705853894533e-05
70,3.746169016852437e-05,4.120143380989658e-05,3.160955873056012e-05
71,3.753478020267736e-05,4.120143380989658e-05,3.0464584920030466e-05
72,3.7531403789955604e-05,4.120143380989658e-05,3.073046310807904e-05
73,3.813013943196634e-05,4.120143380989658e-05,3.273108143493061e-05
74,3.8024294652192735e-05,4.120143380989658e-05,3.147128245476003e-05
75,3.789342842633255e-05,4.120143380989658e-05,3.201741747510646e-05
76,3.735213469915074e-05,4.120143380989658e-05,2.7890112954957466e-05
77,3.7236775311963834e-05,4.120143380989658e-05,2.8115159694107064e-05
78,3.709824511665042e-05,4.120143380989658e-05,3.112549800796813e-05
79,3.6908568420206174e-05,4.120143380989658e-05,3.125879153511925e-05
80,3.708324985650422e-05,4.120143380989658e-05,2.9903411979306838e-05
81,3.690234431269086e-05,4.120143380989658e-05,3.0124111338715508e-05
82,3.710115466933947e-05,4.120143380989658e-05,2.968856693287415e-05
83,3.6520349288527385e-05,4.120143380989658e-05,2.824619382538203e-05
84,3.652758156197834e-05,4.120143380989658e-05,3.026634382566586e-05
85,3.711528317851773e-05,4.120143380989658e-05,3.0071570337403018e-05
86,3.7250388302031626e-05,4.120143380989658e-05,2.9556941447698994e-05
87,3.690979366611224e-05,4.120143380989658e-05,3.164657109402196e-05
88,3.6022927750550715e-05,4.120143380989658e-05,2.8561636010510682e-05
89,3.643406349973811e-05,4.120143380989658e-05,2.9514196328433978e-05
90,3.697368075597013e-05,4.120143380989658e-05,3.129400719762166e-05
91,3.6422000568469166e-05,4.120143380989658e-05,2.8379260436473027e-05
92,3.6230766861812004e-05,4.120143380989658e-05,2.9104455892197096e-05
93,3.684892779782266e-05,4.120143380989658e-05,2.9533372711163615e-05
94,3.667156646694134e-05,4.120143380989658e-05,2.91154719618005e-05
95,3.629365670081216e-05,4.120143380989658e-05,2.784584539986634e-05
96,3.6378580697269644e-05,4.120143380989658e-05,2.842362571769655e-05
97,3.594315696479007e-05,4.120143380989658e-05,2.9315196998123827e-05
98,3.66999936410838e-05,4.120143380989658e-05,2.9845400823733064e-05
99,3.702032540720204e-05,4.120143380989658e-05,3.073518564052127e-05
100,3.7400325432358925e-05,4.120143380989658e-05,3.129009042836134e-05
