Iteration,Avg,Max,Min
1,2.0749660594120835e-05,2.4088839640594513e-05,1.7739932588256166e-05
2,2.0766826810283976e-05,2.4088839640594513e-05,1.8582524993496117e-05
3,2.080797184380168e-05,2.4599035717799862e-05,1.869718046518585e-05
4,2.0844192766396303e-05,2.4599035717799862e-05,1.872378669862193e-05
5,2.0903804135004196e-05,2.4599035717799862e-05,1.8795579279753403e-05
6,2.0958631606925894e-05,2.4599035717799862e-05,1.8996238744728545e-05
7,2.1028646627666206e-05,2.4599035717799862e-05,1.930837404182194e-05
8,2.1085410403118027e-05,2.4599035717799862e-05,1.9545374587103963e-05
9,2.115886559338154e-05,2.4599035717799862e-05,1.970249236528421e-05
10,2.122565353674296e-05,2.4599035717799862e-05,1.9842057224493035e-05
11,2.1321691659171317e-05,2.4599035717799862e-05,1.994534974170772e-05
12,2.140082492470817e-05,2.4599035717799862e-05,2.0024028834601522e-05
13,2.1505157785703125e-05,2.4599035717799862e-05,2.0174713014707366e-05
14,2.1605365578655338e-05,2.4599035717799862e-05,2.0373652792209116e-05
15,2.173415241411269e-05,2.5269754630682536e-05,2.0472924557273006e-05
16,2.1850545577571513e-05,2.5269754630682536e-05,2.0640686922060766e-05
17,2.1962587395778774e-05,2.5269754630682536e-05,2.0668843784878675e-05
18,2.2113034259973574e-05,2.5269754630682536e-05,2.088031403992316e-05
19,2.2221026587266398e-05,2.5269754630682536e-05,2.088205813564985e-05
20,2.2329511278081466e-05,2.5269754630682536e-05,2.0905194940942824e-05
21,2.249039189963879e-05,2.5269754630682536e-05,2.0158445380692243e-05
22,2.2611444414676257e-05,2.5269754630682536e-05,2.1406400513753613e-05
23,2.2775585261007197e-05,2.6118525870399875e-05,2.1580094520814e-05
24,2.2943762605602287e-05,2.6656004264960682e-05,2.0924004017408773e-05
25,2.307687615497501e-05,2.6656004264960682e-05,2.144266232095377e-05
26,2.327237245575424e-05,2.741904526884374e-05,2.2021581149526537e-05
27,2.3456962882975542e-05,2.741904526884374e-05,2.1878008226131093e-05
28,2.3703275885853953e-05,2.741904526884374e-05,2.2396416573348266e-05
29,2.3914542926717952e-05,2.7462719358470875e-05,2.095250068095627e-05
30,2.4162409216770306e-05,2.7462719358470875e-05,2.255147373880883e-05
31,2.442258318231319e-05,2.8997274256219914e-05,2.2982165839308697e-05
32,2.473140885271961e-05,2.974685427016093e-05,2.2961058045554738e-05
33,2.503042461019484e-05,2.974685427016093e-05,2.2642876551037044e-05
34,2.5316910244248786e-05,2.974685427016093e-05,2.302025782688766e-05
35,2.5671027901801887e-05,3.0410850591491042e-05,2.3396738494653844e-05
36,2.5994586149800824e-05,3.0410850591491042e-05,2.4414658561000025e-05
