Iteration,Avg,Max,Min
1,2.0738165763944556e-05,2.329807557895718e-05,1.816497429656137e-05
2,2.0832482933250556e-05,2.329807557895718e-05,1.8705574261129817e-05
3,2.101441376825962e-05,2.346041055718475e-05,1.928603112765424e-05
4,2.12121609092053e-05,2.346041055718475e-05,1.9412952321789098e-05
5,2.1521963124367548e-05,2.40610187435336e-05,1.9728924576321345e-05
6,2.1787329063275912e-05,2.40610187435336e-05,2.0181227422251823e-05
7,2.212037062955806e-05,2.40610187435336e-05,2.0458683688291497e-05
8,2.256589633294788e-05,2.473961554637441e-05,2.079002079002079e-05
9,2.3065130806977843e-05,2.5092213886031163e-05,2.1289278719236993e-05
10,2.3515899817088676e-05,2.5334414268342115e-05,2.2037110494072018e-05
11,2.3952487122678925e-05,2.547575981453647e-05,2.237186514239692e-05
12,2.435399778904847e-05,2.5854490925073685e-05,2.3039351211869873e-05
13,2.473206718226602e-05,2.631994525451387e-05,2.3801023444008092e-05
14,2.5100016245951558e-05,2.6392187912377936e-05,2.42101440503571e-05
15,2.54792982531217e-05,2.6613439787092483e-05,2.463357556349304e-05
16,2.5859685497117645e-05,2.6613439787092483e-05,2.4928331048236322e-05
17,2.6219233492411977e-05,2.6613439787092483e-05,2.5334414268342115e-05
18,2.6448418789572477e-05,2.6613439787092483e-05,2.594235608477962e-05
19,2.6562319971186835e-05,2.6613439787092483e-05,2.631994525451387e-05
20,2.657215282067662e-05,2.6613439787092483e-05,2.56522073724444e-05
21,2.6613439787092524e-05,2.6613439787092483e-05,2.6613439787092483e-05
22,2.6603655177280836e-05,2.6613439787092483e-05,2.6261193833871688e-05
23,2.6613439787092524e-05,2.6613439787092483e-05,2.6613439787092483e-05
24,2.659998999408664e-05,2.6613439787092483e-05,2.611579744587501e-05
25,2.6600095299782056e-05,2.6613439787092483e-05,2.6279827604330916e-05
26,2.6606604928762036e-05,2.6613439787092483e-05,2.6093990553975418e-05
27,2.6613439787092527e-05,2.6613439787092483e-05,2.6613439787092483e-05
28,2.6613439787092527e-05,2.6613439787092483e-05,2.6613439787092483e-05
29,2.6613439787092527e-05,2.6613439787092483e-05,2.6613439787092483e-05
30,2.661343978709253e-05,2.6613439787092483e-05,2.6613439787092483e-05
31,2.661343978709253e-05,2.6613439787092483e-05,2.6613439787092483e-05
32,2.661343978709253e-05,2.6613439787092483e-05,2.6613439787092483e-05
33,2.661343978709253e-05,2.6613439787092483e-05,2.6613439787092483e-05
34,2.6585728278788906e-05,2.6613439787092483e-05,2.6031498112716386e-05
