Iteration,Avg,Max,Min
1,2.1533591734937636e-05,2.3542706469535737e-05,2.0682523267838676e-05
2,2.228515145692447e-05,2.4129527302560142e-05,2.150768899881708e-05
3,2.2849954587472214e-05,2.446064282569346e-05,2.2034682590397284e-05
4,2.339961090855989e-05,2.446064282569346e-05,2.2811259637757195e-05
5,2.3702875956506746e-05,2.4978768047159912e-05,2.3288851626726287e-05
6,2.4043208956180846e-05,2.510418235678064e-05,2.3596035865974516e-05
7,2.433585946251291e-05,2.510418235678064e-05,2.3919439328342144e-05
8,2.4616455129255074e-05,2.553365335512205e-05,2.4208971844965745e-05
9,2.47776929009674e-05,2.553365335512205e-05,2.446064282569346e-05
10,2.5012983011153258e-05,2.6022691787238472e-05,2.4647540175490485e-05
11,2.5214828383531214e-05,2.633519435373433e-05,2.495694926252215e-05
12,2.5413463654880845e-05,2.633519435373433e-05,2.5181305398871877e-05
13,2.5699872770018456e-05,2.653857381704307e-05,2.5433643623785543e-05
14,2.5917924602291363e-05,2.732165787820005e-05,2.553365335512205e-05
15,2.6085190746365295e-05,2.732165787820005e-05,2.567987468221155e-05
16,2.632355412068941e-05,2.732165787820005e-05,2.6022691787238472e-05
17,2.657412589478958e-05,2.732165787820005e-05,2.6293647454774927e-05
18,2.6801472465485795e-05,2.732165787820005e-05,2.6495681203963754e-05
19,2.6995330316114025e-05,2.732165787820005e-05,2.6763013515321824e-05
20,2.7135060064833895e-05,2.732165787820005e-05,2.6863666890530558e-05
21,2.7305385011321036e-05,2.732165787820005e-05,2.7029218585290698e-05
22,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
23,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
24,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
25,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
26,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
27,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
28,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
29,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
30,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
31,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
32,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
33,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
34,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
35,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
36,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
37,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
38,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
39,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
40,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
41,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
42,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
43,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
44,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
45,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
46,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
47,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
48,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
49,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
50,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
51,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
52,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
53,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
54,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
55,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
56,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
57,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
58,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
59,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
60,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
61,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
62,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
63,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
64,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
65,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
66,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
67,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
68,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
69,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
70,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
71,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
72,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
73,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
74,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
75,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
76,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
77,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
78,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
79,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
80,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
81,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
82,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
83,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
84,2.7321657878200062e-05,2.732165787820005e-05,2.732165787820005e-05
