Iteration,Avg,Max,Min
1,2.1423386402006757e-05,2.4134186074574636e-05,2.059138456469813e-05
2,2.2117770877281004e-05,2.436706547430493e-05,2.1371174559753804e-05
3,2.2753823601100734e-05,2.5606227434512072e-05,2.1992522542335606e-05
4,2.3364827378908965e-05,2.5747978783665482e-05,2.2673680391801197e-05
5,2.3943124751573496e-05,2.6242586469322416e-05,2.3256354798948812e-05
6,2.450073542905615e-05,2.6472534745201854e-05,2.3831085267623087e-05
7,2.5079397758629705e-05,2.6563952716164165e-05,2.4479204915424348e-05
8,2.555375273111328e-05,2.6949819436209777e-05,2.4996250562415636e-05
9,2.5980968803397018e-05,2.7511830086937383e-05,2.54958951608791e-05
10,2.6349119374033568e-05,2.7641107855602852e-05,2.5971327654269686e-05
11,2.6720244098165175e-05,2.7873010563871005e-05,2.632895395065954e-05
12,2.7042607491562303e-05,2.8210336267208305e-05,2.6633995632024715e-05
13,2.733951402606835e-05,2.8724901617211963e-05,2.6986183074265975e-05
14,2.7648704891091924e-05,2.889338341519792e-05,2.7272479341096898e-05
15,2.7960959917497886e-05,3.0126833971017986e-05,2.753758880872391e-05
16,2.8295261748664267e-05,3.0126833971017986e-05,2.7882336539802036e-05
17,2.8673046337006445e-05,3.0126833971017986e-05,2.824220515137822e-05
18,2.9123531797834758e-05,3.125879153511925e-05,2.8635244258633525e-05
19,2.955658761466495e-05,3.129204869042776e-05,2.9030104218074144e-05
20,2.996698408702665e-05,3.158360179394858e-05,2.9521166676507056e-05
21,3.0367824260710842e-05,3.158360179394858e-05,2.9911462072266092e-05
22,3.0746945453437985e-05,3.188368830506313e-05,3.0303948604503167e-05
23,3.108032845590569e-05,3.202664616961312e-05,3.062318174858368e-05
24,3.1395956464088764e-05,3.242857606122515e-05,3.101063664837039e-05
25,3.167211295632056e-05,3.318951211417192e-05,3.1357792411414234e-05
26,3.195555997951058e-05,3.345040976751965e-05,3.1632556226868694e-05
27,3.224879334970722e-05,3.35042047776996e-05,3.188368830506313e-05
28,3.253170404996152e-05,3.408200129511605e-05,3.220715643015878e-05
29,3.2835181875574896e-05,3.411339291805963e-05,3.2464370353536995e-05
30,3.313573303559315e-05,3.411339291805963e-05,3.2763252735731606e-05
31,3.33776637224289e-05,3.43500961802693e-05,3.307643965203585e-05
32,3.3630136236938616e-05,3.43500961802693e-05,3.3365586733842714e-05
33,3.3862703601113463e-05,3.446730775859098e-05,3.3597634726515254e-05
34,3.4036597490080365e-05,3.4590107229332414e-05,3.3796343235661904e-05
35,3.419825040346189e-05,3.502504290567756e-05,3.401129174886062e-05
36,3.437577683746167e-05,3.5026269702276706e-05,3.414717432132491e-05
37,3.4551877279651235e-05,3.50594257266066e-05,3.4347736484165694e-05
38,3.470632147304442e-05,3.5344431484819566e-05,3.446730775859098e-05
