Iteration,Avg,Max,Min
1,2.050022201805046e-05,2.3747328425552126e-05,1.7732068445784202e-05
2,2.0540641073815e-05,2.3747328425552126e-05,1.8202999854376e-05
3,2.0606418576219752e-05,2.463357556349304e-05,1.8633771848097493e-05
4,2.067647929555552e-05,2.463357556349304e-05,1.8953752843062928e-05
5,2.0751370453416215e-05,2.463357556349304e-05,1.9204916458613406e-05
6,2.086884420834957e-05,2.463357556349304e-05,1.9389614922247643e-05
7,2.0994968924329343e-05,2.463357556349304e-05,1.9505724930267034e-05
8,2.1165763024585882e-05,2.463357556349304e-05,1.958672020370189e-05
9,2.1330938646655574e-05,2.463357556349304e-05,1.9738660139749715e-05
10,2.1572112805394724e-05,2.5150272880460752e-05,1.9944156362185878e-05
11,2.1805285344598534e-05,2.5150272880460752e-05,2.0144638504462036e-05
12,2.2088042351677286e-05,2.5685811157916368e-05,2.0311579631547945e-05
13,2.241329735977582e-05,2.5876568766981498e-05,2.0529665366454526e-05
14,2.2770700417709912e-05,2.6304713804713804e-05,2.0713368407970505e-05
15,2.3145118497384193e-05,2.6688729349595664e-05,2.0927945085072096e-05
16,2.3611040402358682e-05,2.7638815953124567e-05,2.124856572181378e-05
17,2.406304744642502e-05,2.7638815953124567e-05,2.1484123232930865e-05
18,2.452528955669601e-05,2.8109627547434995e-05,2.1836445026749646e-05
19,2.503266890780107e-05,2.842362571769655e-05,2.256419513515953e-05
20,2.5540990966524662e-05,2.9222676797194625e-05,2.3285597857724998e-05
21,2.607988305370254e-05,3.0236144286880536e-05,2.3747328425552126e-05
22,2.6609445927807852e-05,3.0236144286880536e-05,2.4395003903200624e-05
23,2.71354788915946e-05,3.118470701967755e-05,2.491032283778398e-05
24,2.767981145541075e-05,3.118470701967755e-05,2.5494595145829083e-05
25,2.8247689870196544e-05,3.146930169619536e-05,2.6191723415400734e-05
26,2.879378344350782e-05,3.179751343444942e-05,2.684275514038761e-05
27,2.9374711870641807e-05,3.179751343444942e-05,2.741528676389955e-05
28,2.9944754983704904e-05,3.231957596716331e-05,2.788933511825078e-05
29,3.049427536632716e-05,3.231957596716331e-05,2.8490840194877346e-05
30,3.0975430611321076e-05,3.243383497664764e-05,2.9174932897654335e-05
31,3.136629586942458e-05,3.243383497664764e-05,3.0097817908201657e-05
32,3.1678738222570276e-05,3.2558442404115385e-05,3.066920198736429e-05
33,3.191841483172765e-05,3.292939936775553e-05,3.127247709291053e-05
34,3.211239859922956e-05,3.3049110978914665e-05,3.154773171808947e-05
35,3.228751952357277e-05,3.3049110978914665e-05,3.179751343444942e-05
36,3.2456606083648556e-05,3.3049110978914665e-05,3.194581988946746e-05
37,3.261496869653531e-05,3.326126725428239e-05,3.219056816352809e-05
38,3.2758635427249515e-05,3.326126725428239e-05,3.2364554340086736e-05
39,3.2894732145099464e-05,3.326126725428239e-05,3.2523498227469345e-05
40,3.301813987369745e-05,3.326126725428239e-05,3.270325070311989e-05
41,3.3120820997338176e-05,3.326126725428239e-05,3.282132072994617e-05
42,3.3192600409667964e-05,3.326126725428239e-05,3.3049110978914665e-05
43,3.3239124919564626e-05,3.326126725428239e-05,3.3049110978914665e-05
44,3.3261267254282444e-05,3.326126725428239e-05,3.326126725428239e-05
45,3.3261267254282444e-05,3.326126725428239e-05,3.326126725428239e-05
46,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
47,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
48,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
49,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
50,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
51,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
52,3.326126725428245e-05,3.326126725428239e-05,3.326126725428239e-05
53,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
54,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
55,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
56,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
57,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
58,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
59,3.326126725428246e-05,3.326126725428239e-05,3.326126725428239e-05
60,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
61,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
62,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
63,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
64,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
65,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
66,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
67,3.3261267254282465e-05,3.326126725428239e-05,3.326126725428239e-05
68,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
69,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
70,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
71,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
72,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
73,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
74,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
75,3.326126725428247e-05,3.326126725428239e-05,3.326126725428239e-05
76,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
77,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
78,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
79,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
80,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
81,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
82,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
83,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
84,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
85,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
86,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
87,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
88,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
89,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
90,3.326126725428248e-05,3.326126725428239e-05,3.326126725428239e-05
91,3.3261267254282485e-05,3.326126725428239e-05,3.326126725428239e-05
92,3.3261267254282485e-05,3.326126725428239e-05,3.326126725428239e-05
