Iteration,Avg,Max,Min
1,2.0950250136363876e-05,2.2248920927335023e-05,2.0561324149275213e-05
2,2.1255140013624635e-05,2.2248920927335023e-05,2.092356621262528e-05
3,2.1525735983965156e-05,2.2465347201941005e-05,2.1194972552510545e-05
4,2.1762215438856817e-05,2.2719011268629588e-05,2.1463372754394626e-05
5,2.201415796212562e-05,2.3252569408919687e-05,2.1726377995524365e-05
6,2.2295155161257092e-05,2.3265011748830934e-05,2.1970778864110734e-05
7,2.2567603615336936e-05,2.3366669782222638e-05,2.2232597434358254e-05
8,2.2850863527770736e-05,2.369443654629893e-05,2.2516436999009278e-05
9,2.3091758991213754e-05,2.369443654629893e-05,2.2832614105988996e-05
10,2.3275110825188436e-05,2.369443654629893e-05,2.3082960158810766e-05
11,2.341469534940692e-05,2.3945786738823304e-05,2.3243921714471664e-05
12,2.3558224722378527e-05,2.399289810216176e-05,2.337868798803011e-05
13,2.369595655258311e-05,2.4058703235895585e-05,2.3529965410950846e-05
14,2.3817071586452904e-05,2.476841531678803e-05,2.3684896141730418e-05
15,2.3969246929314768e-05,2.4816358943815762e-05,2.3808390076663017e-05
16,2.4096106940363558e-05,2.482683284093448e-05,2.393948099205209e-05
17,2.4222026274064517e-05,2.482683284093448e-05,2.4069126531398175e-05
18,2.434648767021167e-05,2.489667878305034e-05,2.4186721489902045e-05
19,2.4469777978900268e-05,2.49912530614285e-05,2.4278326737721237e-05
20,2.460846658907317e-05,2.550499897980004e-05,2.4428376001563415e-05
21,2.4758130432778574e-05,2.550499897980004e-05,2.4579083200196634e-05
22,2.4910941819840907e-05,2.550499897980004e-05,2.471821237888076e-05
23,2.507427611277429e-05,2.5695051133151756e-05,2.4872528292500934e-05
24,2.52031821314415e-05,2.5695051133151756e-05,2.5019390027271136e-05
25,2.534625560466213e-05,2.6121937202862964e-05,2.5159764504604236e-05
26,2.5488800003242346e-05,2.6121937202862964e-05,2.5286368118947076e-05
27,2.5681767833956542e-05,2.6213006894020814e-05,2.5444645174423044e-05
28,2.589983048942679e-05,2.6255677790322157e-05,2.56647161482394e-05
29,2.606342994982879e-05,2.6396367859782494e-05,2.591882224871702e-05
30,2.613329249370605e-05,2.6396367859782494e-05,2.6056594924175308e-05
31,2.6188466956978033e-05,2.6396367859782494e-05,2.6121937202862964e-05
32,2.6249346804060163e-05,2.646272724867025e-05,2.615062761506276e-05
33,2.6326307009639372e-05,2.6668088964744787e-05,2.6230884243107834e-05
34,2.6394426759835534e-05,2.6668088964744787e-05,2.6335887914461036e-05
35,2.645334119173351e-05,2.6668088964744787e-05,2.637409009389176e-05
36,2.6535861075005334e-05,2.6676625940351065e-05,2.6406823523198393e-05
37,2.663069838409837e-05,2.668801708033093e-05,2.658019244059327e-05
38,2.665820002263367e-05,2.672082086361693e-05,2.663115845539281e-05
39,2.6667164180565374e-05,2.672082086361693e-05,2.6651741691319526e-05
40,2.6674947377368207e-05,2.672082086361693e-05,2.6668088964744787e-05
41,2.668013887868102e-05,2.672082086361693e-05,2.6668088964744787e-05
42,2.6690511402258388e-05,2.6737253014625278e-05,2.6676625940351065e-05
43,2.6700824350048413e-05,2.6737253014625278e-05,2.668801708033093e-05
44,2.671109508465868e-05,2.6757284670751613e-05,2.6704408897909046e-05
45,2.6719783297474073e-05,2.677376171352075e-05,2.6704408897909046e-05
46,2.6732935866693614e-05,2.677376171352075e-05,2.6712969146520635e-05
47,2.6749973861948594e-05,2.677376171352075e-05,2.672082086361693e-05
48,2.6763268915565784e-05,2.677376171352075e-05,2.6757284670751613e-05
49,2.676900479770921e-05,2.677376171352075e-05,2.6757284670751613e-05
50,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
51,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
52,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
53,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
54,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
55,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
56,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
57,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
58,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
59,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
60,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
61,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
62,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
63,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
64,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
65,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
66,2.6773761713520735e-05,2.677376171352075e-05,2.677376171352075e-05
