Iteration,Avg,Max,Min
1,2.0975651920466956e-05,2.205168915938961e-05,2.0575708318758873e-05
2,2.1235010049579603e-05,2.205168915938961e-05,2.0912627044209293e-05
3,2.1476342336171376e-05,2.2112152839200424e-05,2.1173879901753197e-05
4,2.1764498579637754e-05,2.2991677012921324e-05,2.1470285125386466e-05
5,2.1992372672465833e-05,2.2991677012921324e-05,2.1708926710663424e-05
6,2.2242636405673973e-05,2.326338807983995e-05,2.194329851663302e-05
7,2.2496461981170146e-05,2.326338807983995e-05,2.2214817283127847e-05
8,2.2749050689008555e-05,2.3369400107499242e-05,2.25022502250225e-05
9,2.2970860870951228e-05,2.3543815039789048e-05,2.274847016538138e-05
10,2.3171669467977906e-05,2.36540826946731e-05,2.2975301550832854e-05
11,2.3317161678796115e-05,2.3794227520403552e-05,2.3121387283236996e-05
12,2.349027375191158e-05,2.4149339515564248e-05,2.3298618391929358e-05
13,2.3654749615232057e-05,2.4368253039939565e-05,2.346426392604064e-05
14,2.3826777722394994e-05,2.4637823987385435e-05,2.3621675249208673e-05
15,2.3994557071023138e-05,2.475063732891122e-05,2.3777820049457867e-05
16,2.4201676885670013e-05,2.488366884813497e-05,2.3904001529856096e-05
17,2.441871629763843e-05,2.5092213886031163e-05,2.4149339515564248e-05
18,2.4638219813360846e-05,2.5092213886031163e-05,2.4402742868298398e-05
19,2.4794330621886073e-05,2.550044625780951e-05,2.4637823987385435e-05
20,2.4914754656462e-05,2.550044625780951e-05,2.475063732891122e-05
21,2.5019225300396004e-05,2.550044625780951e-05,2.4891101431238333e-05
22,2.511925354037437e-05,2.5621316935690495e-05,2.5004375765759007e-05
23,2.5199346298975194e-05,2.5734064180756068e-05,2.5092213886031163e-05
24,2.532040480469433e-05,2.5806451612903226e-05,2.5178769261758485e-05
25,2.5452270524076237e-05,2.5876568766981498e-05,2.5276780749203783e-05
26,2.559281509523761e-05,2.6047771613138496e-05,2.542135902585352e-05
27,2.571891690109125e-05,2.6119890296460755e-05,2.5566293398783044e-05
28,2.585770095455322e-05,2.623570154265925e-05,2.5705619248367694e-05
29,2.596601011100457e-05,2.6369221844263375e-05,2.581844469689146e-05
30,2.6065226732642405e-05,2.6369221844263375e-05,2.5937645899258183e-05
31,2.6163937498244346e-05,2.652449537147556e-05,2.6043023074118443e-05
32,2.6266124618711274e-05,2.655407737858148e-05,2.6139690506064407e-05
33,2.6345990732974314e-05,2.668730484908329e-05,2.623019620186759e-05
34,2.6427308479853704e-05,2.6752989646593008e-05,2.632410234810993e-05
35,2.6514517626927084e-05,2.7072391575071743e-05,2.6404034536477173e-05
36,2.659774476610237e-05,2.7072391575071743e-05,2.649006622516556e-05
37,2.6677891845859786e-05,2.7210884353741498e-05,2.655407737858148e-05
38,2.6759029709414768e-05,2.7210884353741498e-05,2.664535038635758e-05
39,2.6858327979931584e-05,2.7252411838447703e-05,2.6740827896031662e-05
40,2.693341129296074e-05,2.7252411838447703e-05,2.6838432635534083e-05
41,2.7023928183219648e-05,2.7344070438325448e-05,2.6911380822950025e-05
42,2.709274000842429e-05,2.7344070438325448e-05,2.7023375219564924e-05
43,2.7150096059909575e-05,2.7344070438325448e-05,2.7072391575071743e-05
44,2.7199726014433256e-05,2.737476047084588e-05,2.7134832985102978e-05
45,2.7256872476175282e-05,2.7585445918733275e-05,2.7210884353741498e-05
46,2.7302599371568613e-05,2.7585445918733275e-05,2.724647158193014e-05
47,2.7380282162158298e-05,2.7590012415505586e-05,2.7272479341096898e-05
48,2.742930020024253e-05,2.7590012415505586e-05,2.7364273204903678e-05
49,2.7480552395119726e-05,2.761058037439947e-05,2.7404768429706768e-05
50,2.7522200656540905e-05,2.7638815953124567e-05,2.744689026733271e-05
51,2.7572663880560886e-05,2.7666343892654586e-05,2.7506532801540365e-05
52,2.7592227079269647e-05,2.7666343892654586e-05,2.7577077932822238e-05
53,2.7604120108793884e-05,2.7666343892654586e-05,2.7582402427251412e-05
54,2.7621101354572842e-05,2.7676298018377063e-05,2.7596103430195657e-05
55,2.7641190054754224e-05,2.7719259341390397e-05,2.761058037439947e-05
56,2.7653198670822097e-05,2.7719259341390397e-05,2.7638815953124567e-05
57,2.7662568599156755e-05,2.7719259341390397e-05,2.764722145424385e-05
58,2.7682874430000383e-05,2.7719259341390397e-05,2.7650279267820604e-05
59,2.7699952197279768e-05,2.7884669008978864e-05,2.7676298018377063e-05
60,2.77194114016116e-05,2.7884669008978864e-05,2.771080998697592e-05
61,2.7725326275606162e-05,2.7884669008978864e-05,2.7719259341390397e-05
62,2.773815578203403e-05,2.7893224735711695e-05,2.7719259341390397e-05
63,2.774468071599996e-05,2.7893224735711695e-05,2.7719259341390397e-05
64,2.776539601755831e-05,2.7893224735711695e-05,2.7722333111554667e-05
65,2.780982635376913e-05,2.7893224735711695e-05,2.7722333111554667e-05
66,2.7889117986880015e-05,2.7893224735711695e-05,2.7884669008978864e-05
67,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
68,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
69,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
70,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
71,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
72,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
73,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
74,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
75,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
76,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
77,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
78,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
79,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
80,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
81,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
82,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
83,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
84,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
85,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
86,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
87,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
88,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
89,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
90,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
91,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
92,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
93,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
94,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
95,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
96,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
97,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
98,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
99,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
100,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
101,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
102,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
103,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
104,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
105,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
106,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
107,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
108,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
109,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
110,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
111,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
112,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
113,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
114,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
115,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
116,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
117,2.789322473571167e-05,2.7893224735711695e-05,2.7893224735711695e-05
