Iteration,Avg,Max,Min
1,2.1046551942286e-05,2.234137622877569e-05,2.0576555073149653e-05
2,2.1346122344203323e-05,2.255706938554543e-05,2.0959527153067428e-05
3,2.165502391341859e-05,2.255706938554543e-05,2.1305153716684065e-05
4,2.189916334502472e-05,2.2575911502426912e-05,2.162349176144964e-05
5,2.211678179094443e-05,2.289744235568887e-05,2.1855057260250022e-05
6,2.2369922433409596e-05,2.3562676720075402e-05,2.209993591018586e-05
7,2.260932947632547e-05,2.3562676720075402e-05,2.2321926828723854e-05
8,2.287909269516186e-05,2.371129131692512e-05,2.2606533288120268e-05
9,2.3082257081245523e-05,2.3975640748999018e-05,2.2834699609526637e-05
10,2.3303077512716173e-05,2.3975640748999018e-05,2.304094375705629e-05
11,2.3513129947609032e-05,2.4235373951820075e-05,2.3282887077997672e-05
12,2.369180137556418e-05,2.4529042386185245e-05,2.348796241926013e-05
13,2.3872782660946507e-05,2.478744763651687e-05,2.365240426689373e-05
14,2.4045582388705954e-05,2.506265664160401e-05,2.3818030248898416e-05
15,2.4256097200323338e-05,2.518511056263537e-05,2.401248649297635e-05
16,2.445823333773945e-05,2.5471866323645532e-05,2.4216593209667264e-05
17,2.463514442485585e-05,2.5471866323645532e-05,2.4428376001563415e-05
18,2.482370173698222e-05,2.5602293965539312e-05,2.460872133083965e-05
19,2.5044304628999898e-05,2.6064065472932468e-05,2.4795437639474338e-05
20,2.526445404002182e-05,2.6230884243107834e-05,2.500562626590983e-05
21,2.5468423076924962e-05,2.624947501049979e-05,2.5202248040525216e-05
22,2.567927021077198e-05,2.625636716903849e-05,2.5415544146800183e-05
23,2.5880829174877617e-05,2.6306097753459253e-05,2.5631824473266008e-05
24,2.6040146136380708e-05,2.6367831245880027e-05,2.5845803933731358e-05
25,2.615253672714347e-05,2.6824034334763947e-05,2.601253804333689e-05
26,2.6260531093059768e-05,2.6824034334763947e-05,2.612057256295058e-05
27,2.6363520057431874e-05,2.6962172072582166e-05,2.6213694033763238e-05
28,2.650860876076962e-05,2.724276023646716e-05,2.6306097753459253e-05
29,2.667314101212685e-05,2.724276023646716e-05,2.6472534745201854e-05
30,2.6829552870979694e-05,2.782260308274442e-05,2.6658136063126465e-05
31,2.7015478955494654e-05,2.782260308274442e-05,2.6804621116680515e-05
32,2.721673651544762e-05,2.8092254965306065e-05,2.6966534530647466e-05
33,2.7458932199506044e-05,2.8092254965306065e-05,2.7173913043478262e-05
34,2.7669018402274573e-05,2.8185687307985006e-05,2.7401013837511988e-05
35,2.783686263457736e-05,2.8185687307985006e-05,2.7654867256637168e-05
36,2.793983503598856e-05,2.8347885247760517e-05,2.782260308274442e-05
37,2.8043076975009343e-05,2.8347885247760517e-05,2.7914247431889235e-05
38,2.814131658866774e-05,2.8453549580310145e-05,2.8044197655505076e-05
39,2.820821541724106e-05,2.8453549580310145e-05,2.8125439459991562e-05
40,2.826215471050084e-05,2.854940474491107e-05,2.8185687307985006e-05
41,2.8330368557178823e-05,2.8637704401615166e-05,2.820078962210942e-05
42,2.8403150962699686e-05,2.8645907932051906e-05,2.8313372405787253e-05
43,2.8478588573794063e-05,2.888837531777213e-05,2.8401022436807727e-05
44,2.8556309527079032e-05,2.9021679194358184e-05,2.8430090407687498e-05
45,2.8652913051963127e-05,2.9021679194358184e-05,2.8530670470756063e-05
46,2.8777355335621352e-05,2.929887785297823e-05,2.8644266849989973e-05
47,2.8905316808757205e-05,2.929887785297823e-05,2.875132974900089e-05
48,2.902154942775979e-05,2.9322073657049025e-05,2.8886706337743372e-05
49,2.9108449961813635e-05,2.9359091042541322e-05,2.9013259059390142e-05
50,2.919161044625163e-05,2.9382382323558796e-05,2.9072302817106143e-05
51,2.9273200157626573e-05,2.9382382323558796e-05,2.920731351130323e-05
52,2.9305258339686108e-05,2.9454213425230478e-05,2.9248318221702253e-05
53,2.9329689852684522e-05,2.9550827423167847e-05,2.929887785297823e-05
54,2.9357217255178027e-05,2.9550827423167847e-05,2.9322073657049025e-05
55,2.9381951183701335e-05,2.957442403809186e-05,2.9359091042541322e-05
56,2.9401244026721917e-05,2.957442403809186e-05,2.9382382323558796e-05
57,2.9426426811611576e-05,2.957442403809186e-05,2.9382382323558796e-05
58,2.9460960021038074e-05,2.958930050893597e-05,2.9397066172795955e-05
59,2.9484011104970402e-05,2.958930050893597e-05,2.9454213425230478e-05
60,2.9504185490042137e-05,2.958930050893597e-05,2.9477655936799904e-05
61,2.952798420566676e-05,2.958930050893597e-05,2.947939390366134e-05
62,2.9564598106290342e-05,2.961471258921432e-05,2.950809997344271e-05
63,2.957852724603067e-05,2.961471258921432e-05,2.957442403809186e-05
64,2.958245200108856e-05,2.961471258921432e-05,2.957442403809186e-05
65,2.9588942945153e-05,2.961471258921432e-05,2.957617343468102e-05
66,2.9595168048224398e-05,2.961471258921432e-05,2.958930050893597e-05
67,2.960100752417647e-05,2.961471258921432e-05,2.958930050893597e-05
68,2.9611109213780985e-05,2.961471258921432e-05,2.958930050893597e-05
69,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
70,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
71,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
72,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
73,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
74,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
75,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
76,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
77,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
78,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
79,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
80,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
81,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
82,2.9614712589214227e-05,2.961471258921432e-05,2.961471258921432e-05
