Iteration,Avg,Max,Min
1,2.0739094483342978e-06,2.205168915938961e-06,1.9606305387812722e-06
2,2.079843618558116e-06,2.205168915938961e-06,1.9741387819563716e-06
3,2.0894416795914983e-06,2.2264772676670973e-06,1.9813358166075567e-06
4,2.102645014367528e-06,2.2264772676670973e-06,1.992349378386994e-06
5,2.1181496851400927e-06,2.2264772676670973e-06,2.0052135552436334e-06
6,2.136155460484692e-06,2.254029076975093e-06,2.0303331776744566e-06
7,2.1546807791929314e-06,2.254029076975093e-06,2.0644948181180064e-06
8,2.175821550743287e-06,2.254029076975093e-06,2.085462242706096e-06
9,2.195903376006355e-06,2.254029076975093e-06,2.116760509715931e-06
10,2.207672026732591e-06,2.254029076975093e-06,2.1436227224008577e-06
11,2.2162861367292047e-06,2.2606022244325886e-06,2.1686328938237337e-06
12,2.2279375661989316e-06,2.285662042010468e-06,2.1892856360969416e-06
13,2.235020912157073e-06,2.285662042010468e-06,2.182643617950061e-06
14,2.244185872618013e-06,2.285662042010468e-06,2.2095541119802023e-06
15,2.2462791195640208e-06,2.285662042010468e-06,2.125940728772482e-06
16,2.2543317518934743e-06,2.285662042010468e-06,2.223655244490894e-06
17,2.257403841014921e-06,2.297899719656234e-06,2.1810250817884405e-06
18,2.2633496454913024e-06,2.349789693822403e-06,2.166941145878478e-06
19,2.270665480461689e-06,2.349789693822403e-06,2.187465820846549e-06
20,2.2782761816938726e-06,2.3654642223536368e-06,2.1719299769775423e-06
21,2.2950296349182872e-06,2.3980815347721824e-06,2.22246916324036e-06
22,2.3182327765446883e-06,2.4147006978485015e-06,2.270869288763739e-06
23,2.334814947470282e-06,2.4147006978485015e-06,2.2546897546897547e-06
24,2.3609393393123495e-06,2.419140237559571e-06,2.3193246126727897e-06
25,2.3726483581359283e-06,2.419140237559571e-06,2.334103587517214e-06
26,2.3574771898554207e-06,2.419140237559571e-06,2.225535797743307e-06
27,2.3889527384616946e-06,2.419140237559571e-06,2.3616654464728527e-06
28,2.383716255089607e-06,2.419140237559571e-06,2.327584200358448e-06
29,2.39473643185297e-06,2.419140237559571e-06,2.317711954758263e-06
30,2.392223639302445e-06,2.419140237559571e-06,2.2945252627231427e-06
31,2.4096757107702403e-06,2.419140237559571e-06,2.3991171248980374e-06
32,2.4040615619796866e-06,2.419140237559571e-06,2.325851843237586e-06
33,2.40931257954889e-06,2.419140237559571e-06,2.3353027720043904e-06
34,2.408228164380064e-06,2.419140237559571e-06,2.3664718271528976e-06
35,2.409316652346042e-06,2.419140237559571e-06,2.314064886379414e-06
36,2.4116451032158665e-06,2.419140237559571e-06,2.3611635814129204e-06
37,2.41492678761477e-06,2.419140237559571e-06,2.373492832051647e-06
38,2.4165984777838517e-06,2.419140237559571e-06,2.359882005899705e-06
39,2.415758209079726e-06,2.419140237559571e-06,2.3739435951001804e-06
40,2.4158245066358227e-06,2.419140237559571e-06,2.3524983532511527e-06
41,2.4146638301831025e-06,2.419140237559571e-06,2.337868798803011e-06
42,2.41597030700651e-06,2.4200183921397803e-06,2.3372677340189317e-06
43,2.415601865903387e-06,2.4200183921397803e-06,2.3945786738823304e-06
44,2.404783232313843e-06,2.4200183921397803e-06,2.331980784478336e-06
45,2.4069858261594553e-06,2.4200183921397803e-06,2.321909538404384e-06
46,2.401647472853123e-06,2.4200183921397803e-06,2.299749327323322e-06
47,2.405745163733232e-06,2.4200183921397803e-06,2.3480241376881355e-06
48,2.4172908974387182e-06,2.4200183921397803e-06,2.3709042628858648e-06
49,2.4185042290695886e-06,2.4200183921397803e-06,2.33486656237596e-06
50,2.4178155336069053e-06,2.4200183921397803e-06,2.3989444644356485e-06
51,2.419442063635051e-06,2.4200183921397803e-06,2.3999232024575212e-06
52,2.4157690646804968e-06,2.4200183921397803e-06,2.3661918508352657e-06
53,2.419702539993176e-06,2.4200183921397803e-06,2.4091741351064856e-06
54,2.4164077713185638e-06,2.4200183921397803e-06,2.3840175463691415e-06
55,2.418506731659039e-06,2.428540204483085e-06,2.389657562071355e-06
56,2.4143722947878073e-06,2.428540204483085e-06,2.3622791269016345e-06
57,2.414397340046391e-06,2.428540204483085e-06,2.3748456350337227e-06
58,2.4055696129720294e-06,2.428540204483085e-06,2.2917382834880257e-06
59,2.4138611290162095e-06,2.428540204483085e-06,2.358434942572109e-06
60,2.417071419649683e-06,2.428540204483085e-06,2.3803289614624743e-06
61,2.4188461863317668e-06,2.429838415745353e-06,2.3729296189075033e-06
62,2.424858392514502e-06,2.429838415745353e-06,2.353273403303996e-06
63,2.427541226830092e-06,2.429838415745353e-06,2.400729821865847e-06
64,2.422118580790457e-06,2.429838415745353e-06,2.370623236848968e-06
65,2.4208217848160646e-06,2.429838415745353e-06,2.3578788521845747e-06
66,2.412794839426675e-06,2.429838415745353e-06,2.349072116513977e-06
