Iteration,Avg,Max,Min
1,2.1471458655925764e-05,2.413476854756963e-05,2.0680384655154586e-05
2,2.2041160157179163e-05,2.4859543578779892e-05,2.1338340730624787e-05
3,2.2679904841561416e-05,2.538908777007642e-05,2.1907244725830833e-05
4,2.3266217031947847e-05,2.5602949459777767e-05,2.250528874285457e-05
5,2.385779997902431e-05,2.6091948024839534e-05,2.3130479032220758e-05
6,2.439392131726624e-05,2.6091948024839534e-05,2.3792529145848203e-05
7,2.4889643382032067e-05,2.6174584478471403e-05,2.42883513067133e-05
8,2.5500116588881354e-05,2.7630415561450043e-05,2.4862015812242056e-05
9,2.6016208292949027e-05,2.7630415561450043e-05,2.5425237090335867e-05
10,2.6413612081317328e-05,2.7630415561450043e-05,2.589331952356292e-05
11,2.686806380755733e-05,2.89863474303603e-05,2.6278446418247754e-05
12,2.724701284711076e-05,2.89863474303603e-05,2.6807495375707047e-05
13,2.764827431556787e-05,2.957442403809186e-05,2.7120114989287553e-05
14,2.8251356025169653e-05,3.016045361322234e-05,2.7555041194786585e-05
15,2.865931316423134e-05,3.016045361322234e-05,2.8140477262494372e-05
16,2.9101869276576317e-05,3.1190543027354106e-05,2.8566531451751127e-05
17,2.9659171392743424e-05,3.1190543027354106e-05,2.9058785923924097e-05
18,3.0116104421357883e-05,3.1190543027354106e-05,2.962962962962963e-05
19,3.0430864985470547e-05,3.134796238244514e-05,3.004897983713453e-05
20,3.077118163556617e-05,3.154574132492114e-05,3.043306247907727e-05
21,3.100813077706524e-05,3.213057867172188e-05,3.070404372255826e-05
22,3.130103818322098e-05,3.2152273165712814e-05,3.097413659594239e-05
23,3.1587982458568934e-05,3.256692503093858e-05,3.1282259830450154e-05
24,3.18854199473313e-05,3.319942896982172e-05,3.156167150612296e-05
25,3.214242997597262e-05,3.338117969089028e-05,3.183598102575531e-05
26,3.2364256576065736e-05,3.342581141157201e-05,3.20666987333654e-05
27,3.2600419902156726e-05,3.342581141157201e-05,3.229765519023319e-05
28,3.290084041651619e-05,3.3625878476075186e-05,3.256692503093858e-05
29,3.314794072733587e-05,3.382034632034632e-05,3.279333639404473e-05
30,3.335631389960487e-05,3.419504855696895e-05,3.319942896982172e-05
31,3.350283431383642e-05,3.4347736484165694e-05,3.3343336334233605e-05
32,3.3636833168003415e-05,3.4347736484165694e-05,3.340906053721769e-05
33,3.379658166415764e-05,3.454231433506045e-05,3.3570565328320126e-05
34,3.398401018105274e-05,3.454231433506045e-05,3.3795201081446433e-05
35,3.415094587069306e-05,3.454231433506045e-05,3.385469564628614e-05
36,3.4319055109787286e-05,3.462603878116344e-05,3.416700833675003e-05
37,3.440253320663906e-05,3.482379161443098e-05,3.429237680463633e-05
38,3.447702419961225e-05,3.482379161443098e-05,3.43878954607978e-05
39,3.4554150170177855e-05,3.4980935390212336e-05,3.4445937101718855e-05
40,3.4570279889838644e-05,3.4980935390212336e-05,3.454231433506045e-05
41,3.459403734867439e-05,3.4980935390212336e-05,3.454231433506045e-05
42,3.468287420365852e-05,3.526963637004903e-05,3.454231433506045e-05
43,3.478851275087391e-05,3.526963637004903e-05,3.4599681682928514e-05
44,3.4889454276243187e-05,3.526963637004903e-05,3.482379161443098e-05
45,3.495294826749063e-05,3.526963637004903e-05,3.482379161443098e-05
46,3.505873873314838e-05,3.526963637004903e-05,3.4882098507046184e-05
47,3.520415887617464e-05,3.526963637004903e-05,3.4980935390212336e-05
48,3.5269636370049013e-05,3.526963637004903e-05,3.526963637004903e-05
