Iteration,Avg,Max,Min
1,2.167752489317913e-05,2.3324159164062134e-05,2.063983488132095e-05
2,2.2226494302817214e-05,2.3324159164062134e-05,2.17419663434361e-05
3,2.2661733184797013e-05,2.4016523368077238e-05,2.2166559528295615e-05
4,2.3130434693131053e-05,2.436469069025169e-05,2.256419513515953e-05
5,2.3544444771339333e-05,2.483546504408295e-05,2.3018138292974866e-05
6,2.3888134364348805e-05,2.483546504408295e-05,2.3429629108971205e-05
7,2.4224425143516532e-05,2.613149367617853e-05,2.3824839777952494e-05
8,2.459775900138306e-05,2.613149367617853e-05,2.4044819543629326e-05
9,2.4891470728366957e-05,2.613149367617853e-05,2.432971631550776e-05
10,2.5301164838428108e-05,2.7006589607864318e-05,2.486263394744039e-05
11,2.5517866761131733e-05,2.7006589607864318e-05,2.5138260432378078e-05
12,2.5888369906359677e-05,2.723904990193942e-05,2.5363973012732714e-05
13,2.613491204688539e-05,2.7479321810337722e-05,2.5737375817161683e-05
14,2.6498639976460406e-05,2.7479321810337722e-05,2.602066040436106e-05
15,2.6778216104807267e-05,2.7479321810337722e-05,2.6447330142022162e-05
16,2.7044989859457964e-05,2.7548209366391185e-05,2.66865926558497e-05
17,2.730030187894634e-05,2.831818310537196e-05,2.6919349628512974e-05
18,2.75755872700185e-05,2.831818310537196e-05,2.730897372876727e-05
19,2.775036639318394e-05,2.8755463538072233e-05,2.7479321810337722e-05
20,2.7902361063141382e-05,2.8755463538072233e-05,2.771618625277162e-05
21,2.8059342519039624e-05,2.891343318105592e-05,2.7810223037988763e-05
22,2.8380200421985197e-05,2.9249173710842667e-05,2.8028476932563484e-05
23,2.8725434703045106e-05,2.9678874577076036e-05,2.8339048374755574e-05
24,2.9023819254979553e-05,2.9678874577076036e-05,2.866150759529951e-05
25,2.9233839824410047e-05,2.9815146094215862e-05,2.8974589285196883e-05
26,2.9354925378834572e-05,2.9815146094215862e-05,2.9092601751374626e-05
27,2.9554070571095217e-05,3.0421952480910223e-05,2.9295444558371174e-05
28,2.980564686094856e-05,3.0604437643458305e-05,2.945768403688102e-05
29,3.002054909741143e-05,3.063350079647102e-05,2.960945133686673e-05
30,3.0282507719035643e-05,3.087277330122565e-05,2.991593621922398e-05
31,3.047214644707454e-05,3.087277330122565e-05,3.023157385573493e-05
32,3.0557656872370115e-05,3.087277330122565e-05,3.029385034837928e-05
33,3.068645878913031e-05,3.087277330122565e-05,3.0527826113502456e-05
34,3.075086593902931e-05,3.087277330122565e-05,3.063350079647102e-05
35,3.0836894547394825e-05,3.087277330122565e-05,3.065040152025992e-05
36,3.087476219361166e-05,3.097221792052529e-05,3.087277330122565e-05
37,3.087476219361166e-05,3.097221792052529e-05,3.087277330122565e-05
38,3.087675108599765e-05,3.097221792052529e-05,3.087277330122565e-05
39,3.088470665554162e-05,3.097221792052529e-05,3.087277330122565e-05
40,3.088669554792761e-05,3.097221792052529e-05,3.087277330122565e-05
41,3.0894651117471584e-05,3.097221792052529e-05,3.087277330122565e-05
42,3.0904595579401546e-05,3.097221792052529e-05,3.087277330122565e-05
43,3.0934428965191444e-05,3.097221792052529e-05,3.087277330122565e-05
44,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
45,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
46,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
47,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
48,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
49,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
50,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
51,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
52,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
53,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
54,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
55,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
56,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
57,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
58,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
59,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
60,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
61,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
62,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
63,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
64,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
65,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
66,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
67,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
68,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
69,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
70,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
71,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
72,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
73,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
74,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
75,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
76,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
77,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
78,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
79,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
80,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
81,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
82,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
83,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
84,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
85,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
86,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
87,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
88,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
89,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
90,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
91,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
92,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
93,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
94,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
95,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
96,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
97,3.097221792052531e-05,3.097221792052529e-05,3.097221792052529e-05
