Iteration,Avg,Max,Min
1,2.0654485193672338e-05,2.4317292026359943e-05,1.7005935071339898e-05
2,2.06968618308153e-05,2.4317292026359943e-05,1.8373909049150207e-05
3,2.0755355962207407e-05,2.4317292026359943e-05,1.8694733693518535e-05
4,2.0842917622929595e-05,2.515217063232557e-05,1.9025151249952438e-05
5,2.0951427083870808e-05,2.515217063232557e-05,1.9427283677196254e-05
6,2.104723983132908e-05,2.515217063232557e-05,1.956296339769548e-05
7,2.121480096146223e-05,2.515217063232557e-05,1.970676336118556e-05
8,2.1377076523267922e-05,2.515217063232557e-05,1.981807011633207e-05
9,2.156531080628572e-05,2.515217063232557e-05,1.997802417340925e-05
10,2.178687963657562e-05,2.515217063232557e-05,2.0130445285449713e-05
11,2.206767848578216e-05,2.718425487957375e-05,2.0261371694863742e-05
12,2.2383768011734415e-05,2.718425487957375e-05,2.043360101350661e-05
13,2.2721496705732932e-05,2.718425487957375e-05,2.0614731286977675e-05
14,2.3120223614025922e-05,2.7300772611864917e-05,2.0806458324663975e-05
15,2.3543981375570826e-05,2.7300772611864917e-05,2.108370229812355e-05
16,2.397885079188136e-05,2.7300772611864917e-05,2.1330603016147267e-05
17,2.4492253576896462e-05,2.8731504094239332e-05,2.1637059956293138e-05
18,2.504265043081569e-05,2.8885871920043906e-05,2.2192632046160676e-05
19,2.5549734743151566e-05,2.8885871920043906e-05,2.2890104607778056e-05
20,2.604655218630572e-05,2.9165572957680754e-05,2.3432923257176333e-05
21,2.655811916797235e-05,2.9429942023014216e-05,2.4234786612703877e-05
22,2.7052546382000453e-05,3.0308540946838818e-05,2.492770964203809e-05
23,2.7539001869876946e-05,3.0311297020399502e-05,2.5464082911053957e-05
24,2.8067179083990063e-05,3.138337936228973e-05,2.6101482564209647e-05
25,2.8564944236563165e-05,3.138337936228973e-05,2.6616273189428016e-05
26,2.9050436944859077e-05,3.138337936228973e-05,2.7281407720638384e-05
27,2.952886773225337e-05,3.16987352204647e-05,2.7807129748067406e-05
28,2.998077949250324e-05,3.184713375796178e-05,2.8437366699843595e-05
29,3.041467652102614e-05,3.2125417630429196e-05,2.887002713782551e-05
30,3.085666449248189e-05,3.221234377013272e-05,2.9310900723979247e-05
31,3.124087061379335e-05,3.25510237296963e-05,2.997871511227029e-05
32,3.1573936345458225e-05,3.265199503689675e-05,3.05101293629485e-05
33,3.184923225753794e-05,3.2770768474520726e-05,3.098085383233162e-05
34,3.207333779782993e-05,3.2770768474520726e-05,3.136467710064925e-05
35,3.226806017833022e-05,3.285259042675515e-05,3.16987352204647e-05
36,3.243024067962833e-05,3.294241665568586e-05,3.1958071010833784e-05
37,3.2565369956874154e-05,3.307862789851477e-05,3.218953196420524e-05
38,3.268914688301274e-05,3.307862789851477e-05,3.2384468408951065e-05
39,3.2803834793701095e-05,3.307862789851477e-05,3.2484407484407486e-05
40,3.290428419407207e-05,3.307862789851477e-05,3.265199503689675e-05
41,3.298807690309111e-05,3.307862789851477e-05,3.2772916461835936e-05
42,3.304962500771798e-05,3.307862789851477e-05,3.285259042675515e-05
43,3.307862789851484e-05,3.307862789851477e-05,3.307862789851477e-05
44,3.307862789851484e-05,3.307862789851477e-05,3.307862789851477e-05
45,3.307862789851484e-05,3.307862789851477e-05,3.307862789851477e-05
46,3.307862789851484e-05,3.307862789851477e-05,3.307862789851477e-05
47,3.307862789851484e-05,3.307862789851477e-05,3.307862789851477e-05
48,3.307862789851485e-05,3.307862789851477e-05,3.307862789851477e-05
