Iteration,Avg,Max,Min
1,2.1065560271985912e-05,2.2327907651773953e-05,2.0617706486330462e-05
2,2.1378521329475507e-05,2.2327907651773953e-05,2.101590904314566e-05
3,2.1645002471799604e-05,2.2620340209916757e-05,2.1303792074989347e-05
4,2.195811642054097e-05,2.276452376616281e-05,2.1654864765369542e-05
5,2.22343397096308e-05,2.3100556723417033e-05,2.189333566862247e-05
6,2.2491403696267304e-05,2.337540906965872e-05,2.216508555723025e-05
7,2.2839198779875416e-05,2.41785342972509e-05,2.2465851905104242e-05
8,2.3150145372084122e-05,2.442598925256473e-05,2.2765042001502492e-05
9,2.347124333006871e-05,2.44552591034702e-05,2.306645445528568e-05
10,2.3799757027925407e-05,2.5016886398318866e-05,2.3436767601012467e-05
11,2.407086544144978e-05,2.5016886398318866e-05,2.375353333808404e-05
12,2.433706960246892e-05,2.533120551207032e-05,2.404366329253925e-05
13,2.455489700551298e-05,2.5833118057349522e-05,2.4264777249344852e-05
14,2.4810432650520016e-05,2.5833118057349522e-05,2.4500796275878966e-05
15,2.5039948904187575e-05,2.5833118057349522e-05,2.4754313439116767e-05
16,2.5210992915445303e-05,2.5833118057349522e-05,2.5001250062503124e-05
17,2.53837352343543e-05,2.5868536099542126e-05,2.518511056263537e-05
18,2.5524710986471345e-05,2.589197866500958e-05,2.5349185023701486e-05
19,2.5640007584035706e-05,2.5903380391141043e-05,2.5494595145829083e-05
20,2.5734838265312068e-05,2.6203390718759006e-05,2.5625912923147888e-05
21,2.5835144438310453e-05,2.621231979030144e-05,2.571421224510787e-05
22,2.5947316669555803e-05,2.637269898201382e-05,2.582911457795227e-05
23,2.603902809578791e-05,2.64298551643937e-05,2.589197866500958e-05
24,2.614220341019188e-05,2.6434745829918846e-05,2.601795238714713e-05
25,2.6266914395178908e-05,2.6898351131075664e-05,2.6136957658128594e-05
26,2.6379910915227308e-05,2.6898351131075664e-05,2.623570154265925e-05
27,2.652584122167912e-05,2.699565369975434e-05,2.6367136001687495e-05
28,2.6642575996884896e-05,2.700877785280216e-05,2.6532940645811774e-05
29,2.67444096238305e-05,2.7030679821597515e-05,2.6587259385302562e-05
30,2.685403340759224e-05,2.713777850145187e-05,2.6741542987030352e-05
31,2.6941188522525612e-05,2.7280663465735486e-05,2.682547346960674e-05
32,2.7030557373110292e-05,2.7396509684666173e-05,2.69461884616421e-05
33,2.7105400210631053e-05,2.739951228868126e-05,2.7002214181562887e-05
34,2.719827330360817e-05,2.7403266469363148e-05,2.707898941211514e-05
35,2.7280560852660917e-05,2.751031636863824e-05,2.7179082977740332e-05
36,2.7362627045762004e-05,2.751031636863824e-05,2.725166916473634e-05
37,2.7445064373113725e-05,2.7609055770292657e-05,2.738975623116954e-05
38,2.7487807156978567e-05,2.7609055770292657e-05,2.7435594940876292e-05
39,2.7520410283985667e-05,2.7609055770292657e-05,2.747856671795999e-05
40,2.754011899932416e-05,2.7756960057734476e-05,2.751031636863824e-05
41,2.7568626021583487e-05,2.7756960057734476e-05,2.754138092483957e-05
42,2.759694778959969e-05,2.775850104094379e-05,2.7546691642333755e-05
43,2.7627420007448656e-05,2.775850104094379e-05,2.759686499613644e-05
44,2.7654939644827028e-05,2.778240817914097e-05,2.7609055770292657e-05
45,2.769814310445501e-05,2.7809449650991406e-05,2.7633469658450315e-05
46,2.7746846020420744e-05,2.787068004459309e-05,2.7696227773777213e-05
47,2.7776368410169657e-05,2.787068004459309e-05,2.7746177963985462e-05
48,2.7807377738773566e-05,2.790801518196026e-05,2.775850104094379e-05
49,2.782661216259092e-05,2.790801518196026e-05,2.7809449650991406e-05
50,2.7839843830546984e-05,2.790801518196026e-05,2.7809449650991406e-05
51,2.786008856241977e-05,2.790801518196026e-05,2.7846620812564395e-05
52,2.7873180250861304e-05,2.790801518196026e-05,2.7846620812564395e-05
53,2.7881631684887523e-05,2.790801518196026e-05,2.787068004459309e-05
54,2.7895819037087026e-05,2.790801518196026e-05,2.787068004459309e-05
55,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
56,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
57,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
58,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
59,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
60,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
61,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
62,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
63,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
64,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
65,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
66,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
67,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
68,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
69,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
70,2.790801518196028e-05,2.790801518196026e-05,2.790801518196026e-05
