Iteration,Avg,Max,Min
1,2.1031815782366646e-05,2.1750951604132682e-05,2.054062936488374e-05
2,2.1321755743946703e-05,2.180692151688946e-05,2.1014142517914556e-05
3,2.1622852432435393e-05,2.2310970304098525e-05,2.1273879930221675e-05
4,2.1805294244951347e-05,2.243208685704031e-05,2.1525281443054868e-05
5,2.2018698592671448e-05,2.243208685704031e-05,2.180692151688946e-05
6,2.2244224008219918e-05,2.2942620506114208e-05,2.2026916892442564e-05
7,2.2446720253237218e-05,2.314921987129034e-05,2.2189677362091154e-05
8,2.264963568796367e-05,2.3311110075061775e-05,2.239441035517535e-05
9,2.278802658341414e-05,2.3311110075061775e-05,2.258406919758802e-05
10,2.2934142455332166e-05,2.3311110075061775e-05,2.2760378732702113e-05
11,2.3077753333078575e-05,2.3738308882875185e-05,2.287648983140027e-05
12,2.322341083617184e-05,2.3840743831207534e-05,2.3031391787005687e-05
13,2.3424317522591405e-05,2.397506593143131e-05,2.315243563622893e-05
14,2.3607492672034408e-05,2.397506593143131e-05,2.3409883652878245e-05
15,2.3733256083789714e-05,2.397506593143131e-05,2.3554906487021248e-05
16,2.383062448134557e-05,2.4056388173879573e-05,2.3700613845898608e-05
17,2.391727245938267e-05,2.433386056697895e-05,2.3840743831207534e-05
18,2.3978500404325137e-05,2.433386056697895e-05,2.384586035864174e-05
19,2.4079701671021183e-05,2.433386056697895e-05,2.3969893813370408e-05
20,2.414759891736581e-05,2.453325482691789e-05,2.4056388173879573e-05
21,2.424227226735435e-05,2.453325482691789e-05,2.41196333815726e-05
22,2.428431627310466e-05,2.453325482691789e-05,2.420604182804028e-05
23,2.4336273575564785e-05,2.453325482691789e-05,2.4270077421546973e-05
24,2.4374193371554914e-05,2.4559163023724152e-05,2.4299565037785822e-05
25,2.4448149086911237e-05,2.4778848774685927e-05,2.434452369939382e-05
26,2.4534277095157044e-05,2.4872528292500934e-05,2.4439122146732488e-05
27,2.4606142043603e-05,2.4872528292500934e-05,2.451040466678105e-05
28,2.4682788864079632e-05,2.4899158408445795e-05,2.4536264599077437e-05
29,2.4756852896188687e-05,2.491839226533104e-05,2.4675516952080145e-05
30,2.4828417938081624e-05,2.492398185534121e-05,2.47390035129385e-05
31,2.486500018144446e-05,2.492398185534121e-05,2.4791134690234772e-05
32,2.4887525087461705e-05,2.5045708417862598e-05,2.4872528292500934e-05
33,2.490950924636059e-05,2.5078998846366054e-05,2.4872528292500934e-05
34,2.492291134656334e-05,2.5078998846366054e-05,2.4899158408445795e-05
35,2.4942548190967486e-05,2.5078998846366054e-05,2.4899158408445795e-05
36,2.4978689308659167e-05,2.5078998846366054e-05,2.492398185534121e-05
37,2.5019571495188066e-05,2.5078998846366054e-05,2.495694926252215e-05
38,2.5048857373987376e-05,2.5079627818323176e-05,2.4983760555638835e-05
39,2.5057039742992908e-05,2.5079627818323176e-05,2.5045708417862598e-05
40,2.506776796592876e-05,2.5079627818323176e-05,2.5045708417862598e-05
41,2.5090511245616888e-05,2.5222589351022777e-05,2.5078998846366054e-05
42,2.5095070585666994e-05,2.5222589351022777e-05,2.5078998846366054e-05
43,2.5095712910959046e-05,2.5222589351022777e-05,2.5078998846366054e-05
44,2.510632571125148e-05,2.5254438467560673e-05,2.5078998846366054e-05
45,2.512795172376604e-05,2.5254438467560673e-05,2.5078998846366054e-05
46,2.517456831613303e-05,2.525698987194706e-05,2.5080885856888465e-05
47,2.523237645380852e-05,2.530876695687386e-05,2.5222589351022777e-05
48,2.5234872771358615e-05,2.530876695687386e-05,2.5222589351022777e-05
49,2.5243842397873983e-05,2.530876695687386e-05,2.5222589351022777e-05
50,2.5263873689777377e-05,2.530876695687386e-05,2.523914085964514e-05
51,2.5276188420911184e-05,2.530876695687386e-05,2.525698987194706e-05
52,2.5289222994542934e-05,2.530876695687386e-05,2.525698987194706e-05
53,2.530472190898985e-05,2.530876695687386e-05,2.528892597931366e-05
54,2.5308766956873826e-05,2.530876695687386e-05,2.530876695687386e-05
55,2.5308766956873826e-05,2.530876695687386e-05,2.530876695687386e-05
56,2.5309805331002488e-05,2.5326073192351527e-05,2.530876695687386e-05
57,2.531015145571204e-05,2.5326073192351527e-05,2.530876695687386e-05
58,2.531084370513115e-05,2.5326073192351527e-05,2.530876695687386e-05
59,2.5313266578098022e-05,2.5326073192351527e-05,2.530876695687386e-05
60,2.5317766199322218e-05,2.5326073192351527e-05,2.530876695687386e-05
61,2.5321573571127307e-05,2.5326073192351527e-05,2.530876695687386e-05
62,2.53260731923515e-05,2.5326073192351527e-05,2.5326073192351527e-05
