Iteration,Avg,Max,Min
1,4.2703441994125965e-05,4.811624885723909e-05,4.130353971335344e-05
2,4.374776000614246e-05,4.811624885723909e-05,4.224578598284821e-05
3,4.4909335305367144e-05,4.811624885723909e-05,4.3590078898042804e-05
4,4.568271240066294e-05,4.811624885723909e-05,4.456923831171725e-05
5,4.6331991238634394e-05,4.811624885723909e-05,4.538440591812653e-05
6,4.6963471210634494e-05,4.9677098857426726e-05,4.595799439312469e-05
7,4.7738138705142894e-05,5.0882816872742075e-05,4.663744053726331e-05
8,4.846329172942861e-05,5.0882816872742075e-05,4.7762334622916366e-05
9,4.926316979020827e-05,5.217300568685762e-05,4.811624885723909e-05
10,4.9989235250364956e-05,5.2617732175743226e-05,4.8902146804244705e-05
11,5.071304216167937e-05,5.302226935312831e-05,4.9608096041273936e-05
12,5.150514105111019e-05,5.339313364301351e-05,5.054334091483447e-05
13,5.1981615820290896e-05,5.339313364301351e-05,5.1211143544835355e-05
14,5.244159834177213e-05,5.339313364301351e-05,5.184033177812338e-05
15,5.276424832547351e-05,5.433601391001956e-05,5.218389604967907e-05
16,5.313451537411266e-05,5.433601391001956e-05,5.252928507643011e-05
17,5.3527987208491086e-05,5.4647794961473305e-05,5.302226935312831e-05
18,5.385163463469849e-05,5.4999450005499945e-05,5.3384582532564594e-05
19,5.416079085840502e-05,5.4999450005499945e-05,5.374032674118659e-05
20,5.440515986500378e-05,5.5328095606949206e-05,5.3949072075960293e-05
21,5.467551346859235e-05,5.5328095606949206e-05,5.446919766871834e-05
22,5.484426594262387e-05,5.5682387660782896e-05,5.451670937142234e-05
23,5.5049371482888844e-05,5.623664379709819e-05,5.4647794961473305e-05
24,5.5302714188187925e-05,5.681818181818182e-05,5.5023660173874766e-05
25,5.5451660032950016e-05,5.681818181818182e-05,5.5190683812572435e-05
26,5.5678962187901164e-05,5.681818181818182e-05,5.5328095606949206e-05
27,5.60259599276644e-05,5.696707303178763e-05,5.562044607597753e-05
28,5.63667184506524e-05,5.696707303178763e-05,5.5950316119286074e-05
29,5.662710762628829e-05,5.696707303178763e-05,5.623664379709819e-05
30,5.6824137466726014e-05,5.696707303178763e-05,5.681818181818182e-05
31,5.683604876381448e-05,5.696707303178763e-05,5.681818181818182e-05
32,5.68568935337193e-05,5.696707303178763e-05,5.681818181818182e-05
33,5.6884166507726734e-05,5.713959202331295e-05,5.681818181818182e-05
