Iteration,Avg,Max,Min
1,2.1112604344150943e-05,2.191636714298238e-05,2.0696220870069125e-05
2,2.1393136655671513e-05,2.1992522542335606e-05,2.1029609690444146e-05
3,2.1615310364337612e-05,2.211166390270868e-05,2.1341073029151907e-05
4,2.179017358179058e-05,2.2348366334420955e-05,2.1532697401003425e-05
5,2.203003550722596e-05,2.260500022605e-05,2.1797414826601565e-05
6,2.228546316417077e-05,2.27847524436647e-05,2.195486080618249e-05
7,2.2508223234176433e-05,2.2849308808408547e-05,2.231495325017294e-05
8,2.2630666740416304e-05,2.2933675809558755e-05,2.2406955118868898e-05
9,2.2781708030133e-05,2.3386889309852897e-05,2.2632114971144055e-05
10,2.2848767744547185e-05,2.3386889309852897e-05,2.2731405710129114e-05
11,2.3015261763331316e-05,2.3582680879162342e-05,2.2814382186530387e-05
12,2.320494460129011e-05,2.3763129128843685e-05,2.2979525243008478e-05
13,2.3345426593565717e-05,2.3825407414466787e-05,2.3167991103491415e-05
14,2.3516390498973943e-05,2.389200812328276e-05,2.332143939923972e-05
15,2.3695515505209286e-05,2.4137098720733766e-05,2.3471974462491784e-05
16,2.384207653899335e-05,2.4395003903200624e-05,2.3649048125812936e-05
17,2.403976644286104e-05,2.4484599187111306e-05,2.38299494805071e-05
18,2.4118362752137494e-05,2.4536264599077437e-05,2.3974491141425524e-05
19,2.4247644198633084e-05,2.4539877300613496e-05,2.4045975905932144e-05
20,2.435998838112618e-05,2.465544022288518e-05,2.422832776081795e-05
21,2.4430839624631433e-05,2.465544022288518e-05,2.4309607156748347e-05
22,2.451563048551744e-05,2.4852747471232945e-05,2.4395003903200624e-05
23,2.459150424240086e-05,2.5083402312689693e-05,2.4484599187111306e-05
24,2.4665344974375467e-05,2.5083402312689693e-05,2.4560369387955596e-05
25,2.4747897828542383e-05,2.5113008538422903e-05,2.463661000246366e-05
26,2.4869624799714057e-05,2.5213685988754696e-05,2.471821237888076e-05
27,2.5008131899529458e-05,2.5348542458808618e-05,2.4828065645405568e-05
28,2.514852180033623e-05,2.5479005299633102e-05,2.4965672200724004e-05
29,2.522937213620025e-05,2.5479005299633102e-05,2.5083402312689693e-05
30,2.5300791835920785e-05,2.5479005299633102e-05,2.5201612903225806e-05
31,2.539035971282895e-05,2.5896672277612327e-05,2.5289565525264277e-05
32,2.545272423383199e-05,2.5896672277612327e-05,2.5348542458808618e-05
33,2.5545302291519406e-05,2.5898013622355165e-05,2.540779511154022e-05
34,2.5640126990148403e-05,2.5926213994970316e-05,2.5460192988262852e-05
35,2.5732298702834565e-05,2.595514950166113e-05,2.554865741805268e-05
36,2.5829418007495262e-05,2.6069501290440314e-05,2.56910903298736e-05
37,2.588344837113438e-05,2.6085141903171954e-05,2.5801124929046907e-05
38,2.5925538101093418e-05,2.6085141903171954e-05,2.5871213101182313e-05
39,2.5956662194446656e-05,2.6085141903171954e-05,2.5900696728742004e-05
40,2.5991403182695776e-05,2.6200644535855582e-05,2.5940337224383918e-05
41,2.6018972581683186e-05,2.6200644535855582e-05,2.596256198561674e-05
42,2.6075937955925883e-05,2.6310942721077695e-05,2.6003744539213646e-05
43,2.6135592339559268e-05,2.6310942721077695e-05,2.6064744826148152e-05
44,2.618073130106324e-05,2.6310942721077695e-05,2.6118525870399875e-05
45,2.619246024075904e-05,2.6310942721077695e-05,2.6154047338825684e-05
46,2.622529787279593e-05,2.6340050046095088e-05,2.6200644535855582e-05
47,2.623919819132782e-05,2.6340050046095088e-05,2.6200644535855582e-05
48,2.6263685415135333e-05,2.6369221844263375e-05,2.6200644535855582e-05
49,2.631201216817619e-05,2.6369221844263375e-05,2.623226043388159e-05
50,2.634725059394907e-05,2.64515275757175e-05,2.6310942721077695e-05
51,2.6355879646798786e-05,2.64515275757175e-05,2.6317867200042108e-05
52,2.6357654274483016e-05,2.64515275757175e-05,2.6340050046095088e-05
53,2.636173797481785e-05,2.64515275757175e-05,2.6340050046095088e-05
54,2.637342424799145e-05,2.64515275757175e-05,2.6340050046095088e-05
55,2.639336754948208e-05,2.6455026455026456e-05,2.6369221844263375e-05
56,2.640980168582969e-05,2.6458526260087313e-05,2.6387312979919254e-05
57,2.6426160615071784e-05,2.6458526260087313e-05,2.641100810817949e-05
58,2.643403040783799e-05,2.6484453625721702e-05,2.641658961828028e-05
59,2.6450746011456436e-05,2.651957144372547e-05,2.642356982428326e-05
60,2.6461376569903813e-05,2.651957144372547e-05,2.64515275757175e-05
61,2.6477138345443737e-05,2.651957144372547e-05,2.6458526260087313e-05
62,2.6489003935160683e-05,2.6526606186004563e-05,2.6458526260087313e-05
63,2.64991181543229e-05,2.6526606186004563e-05,2.6484453625721702e-05
64,2.6507362321851323e-05,2.6526606186004563e-05,2.6484453625721702e-05
65,2.6520274917953383e-05,2.6526606186004563e-05,2.651957144372547e-05
66,2.6521119087026877e-05,2.6526606186004563e-05,2.651957144372547e-05
67,2.652370887624161e-05,2.6549142462698454e-05,2.651957144372547e-05
68,2.6525678604079743e-05,2.6549142462698454e-05,2.651957144372547e-05
69,2.652771876332536e-05,2.6549142462698454e-05,2.6526606186004563e-05
70,2.652778913874304e-05,2.6549142462698454e-05,2.6526606186004563e-05
71,2.6529493708421824e-05,2.6556192904185255e-05,2.6526606186004563e-05
72,2.653362890425226e-05,2.6613439787092483e-05,2.6526606186004563e-05
73,2.6536516426669526e-05,2.6613439787092483e-05,2.6526606186004563e-05
74,2.6546393831250282e-05,2.6616981634282673e-05,2.6526606186004563e-05
75,2.655362487659627e-05,2.6616981634282673e-05,2.6530124956888548e-05
76,2.6572959817628885e-05,2.6616981634282673e-05,2.6549142462698454e-05
77,2.6601736140582097e-05,2.6619815790874727e-05,2.6556192904185255e-05
78,2.6615508525390808e-05,2.6630449255678944e-05,2.6613439787092483e-05
79,2.6616741110840754e-05,2.6630449255678944e-05,2.6613439787092483e-05
80,2.661798802666995e-05,2.6630449255678944e-05,2.6616981634282673e-05
81,2.6618498334101928e-05,2.6630449255678944e-05,2.6616981634282673e-05
82,2.6621872185813787e-05,2.663754295303801e-05,2.6616981634282673e-05
83,2.6626082557218873e-05,2.663754295303801e-05,2.6616981634282673e-05
84,2.6630238233573765e-05,2.6670934016109244e-05,2.6624068157614482e-05
85,2.6633203637673615e-05,2.6670934016109244e-05,2.6630449255678944e-05
