Iteration,Avg,Max,Min
1,2.0994019596959546e-05,2.1947632947786582e-05,2.0578672264065523e-05
2,2.132283064251097e-05,2.1947632947786582e-05,2.101325936666036e-05
3,2.1486344759043563e-05,2.2123404349461294e-05,2.1252630012964103e-05
4,2.1662433437306968e-05,2.2677279633535162e-05,2.1473051320592655e-05
5,2.176353649376309e-05,2.2677279633535162e-05,2.1587548302139326e-05
6,2.1875753465398566e-05,2.2677279633535162e-05,2.1690562436283972e-05
7,2.2011794360165987e-05,2.2677279633535162e-05,2.1810726515300224e-05
8,2.2160258826374915e-05,2.2753128555176338e-05,2.1951005356045306e-05
9,2.2287765570853187e-05,2.2753128555176338e-05,2.2123404349461294e-05
10,2.2364242421767005e-05,2.2753128555176338e-05,2.2245456365537338e-05
11,2.2455855499364503e-05,2.2753128555176338e-05,2.232840619836556e-05
12,2.254056525312255e-05,2.287701317715959e-05,2.2430577363061325e-05
13,2.26215177030472e-05,2.287701317715959e-05,2.250528874285457e-05
14,2.2686197996529294e-05,2.287701317715959e-05,2.2575911502426912e-05
15,2.2787169524571617e-05,2.2988505747126437e-05,2.2677279633535162e-05
16,2.286993195349515e-05,2.3422494964163582e-05,2.2770744147918755e-05
17,2.2962898808598917e-05,2.3422494964163582e-05,2.2832092789625095e-05
18,2.3092102265555977e-05,2.3478587528174306e-05,2.288224795203881e-05
19,2.3236402573472017e-05,2.3628931263438954e-05,2.2974245870379304e-05
20,2.3361104733768792e-05,2.3628931263438954e-05,2.315457997591924e-05
21,2.344230323229136e-05,2.3651844843897824e-05,2.3347030257751215e-05
22,2.3488079962393382e-05,2.3651844843897824e-05,2.3422494964163582e-05
23,2.353094815584183e-05,2.3651844843897824e-05,2.347032177811158e-05
24,2.3567483818143016e-05,2.3823704586063134e-05,2.3515579071134628e-05
25,2.3598352288751434e-05,2.3823704586063134e-05,2.352166345203933e-05
26,2.3653482814332628e-05,2.3823704586063134e-05,2.3600490890210518e-05
27,2.3683847212581472e-05,2.3823704586063134e-05,2.3621675249208673e-05
28,2.375225649366546e-05,2.3944639992337717e-05,2.366415826589048e-05
29,2.3796220531644043e-05,2.3976215594130624e-05,2.3729859281934458e-05
30,2.384475814572325e-05,2.401998462720984e-05,2.377103736807074e-05
31,2.389364646071818e-05,2.401998462720984e-05,2.3823704586063134e-05
32,2.3934304791204037e-05,2.401998462720984e-05,2.3878316101148546e-05
33,2.396772852448689e-05,2.407955886248164e-05,2.3944639992337717e-05
34,2.3994104120883106e-05,2.407955886248164e-05,2.395726024771807e-05
35,2.401298234617896e-05,2.4101031524149233e-05,2.3988869164707574e-05
36,2.403413030768774e-05,2.4101031524149233e-05,2.4011909907314027e-05
37,2.405646798749367e-05,2.4175027196905597e-05,2.401998462720984e-05
38,2.407526685376497e-05,2.4175027196905597e-05,2.4040773151264544e-05
39,2.4102911757667898e-05,2.4175027196905597e-05,2.407955886248164e-05
40,2.4123394872934822e-05,2.4175027196905597e-05,2.4086518775441387e-05
41,2.4144158496308507e-05,2.4192572880125802e-05,2.4114980225716216e-05
42,2.4171076286746454e-05,2.4192572880125802e-05,2.4143509017600618e-05
43,2.418230431717529e-05,2.4192572880125802e-05,2.4161008963734324e-05
44,2.4188782971824264e-05,2.4192572880125802e-05,2.4175027196905597e-05
45,2.4193276237786792e-05,2.4227740763173834e-05,2.4192572880125802e-05
46,2.419393191803573e-05,2.4227740763173834e-05,2.4192572880125802e-05
47,2.419459933647632e-05,2.4227740763173834e-05,2.4192572880125802e-05
48,2.4194903778127202e-05,2.4227740763173834e-05,2.4192572880125802e-05
49,2.4199179698326145e-05,2.4227740763173834e-05,2.4192572880125802e-05
50,2.420496770939824e-05,2.4228914786906696e-05,2.4195499637067506e-05
51,2.420999803501059e-05,2.4228914786906696e-05,2.42001839213978e-05
52,2.4226760266391856e-05,2.4247714652893965e-05,2.420135527589545e-05
53,2.4231218351224938e-05,2.4247714652893965e-05,2.4227740763173834e-05
54,2.4233157933541428e-05,2.4275379909695588e-05,2.4227740763173834e-05
55,2.4238247351215154e-05,2.4275379909695588e-05,2.4228914786906696e-05
56,2.4250170402976587e-05,2.431433573234779e-05,2.4228914786906696e-05
57,2.4258604010266496e-05,2.431433573234779e-05,2.4228914786906696e-05
58,2.4271757128995816e-05,2.4361129381958146e-05,2.4247714652893965e-05
59,2.4285242739262544e-05,2.4361129381958146e-05,2.4248890613254443e-05
60,2.4296837825900375e-05,2.4361129381958146e-05,2.4275379909695588e-05
61,2.4310913900946886e-05,2.436231636904037e-05,2.4275379909695588e-05
62,2.433626339198491e-05,2.436231636904037e-05,2.4313153415998054e-05
63,2.435335777887387e-05,2.436231636904037e-05,2.431433573234779e-05
64,2.43615329575661e-05,2.436231636904037e-05,2.4361129381958146e-05
65,2.436193653317405e-05,2.436231636904037e-05,2.4361129381958146e-05
66,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
67,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
68,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
69,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
70,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
71,2.4362316369040352e-05,2.436231636904037e-05,2.436231636904037e-05
72,2.4363979650173514e-05,2.4383107383204915e-05,2.436231636904037e-05
73,2.436522711102339e-05,2.4383107383204915e-05,2.436231636904037e-05
74,2.4371048594989463e-05,2.4383107383204915e-05,2.436231636904037e-05
75,2.4381028281788447e-05,2.4383107383204915e-05,2.436231636904037e-05
76,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
77,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
78,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
79,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
80,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
81,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
82,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
83,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
84,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
85,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
86,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
87,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
88,2.438310738320491e-05,2.4383107383204915e-05,2.4383107383204915e-05
89,2.4383154948398533e-05,2.43842965130456e-05,2.4383107383204915e-05
90,2.438322629618898e-05,2.43842965130456e-05,2.4383107383204915e-05
91,2.4383511687350738e-05,2.43842965130456e-05,2.4383107383204915e-05
92,2.438374951331888e-05,2.43842965130456e-05,2.4383107383204915e-05
93,2.4384130034867902e-05,2.43842965130456e-05,2.4383107383204915e-05
94,2.4384296513045588e-05,2.43842965130456e-05,2.43842965130456e-05
95,2.4384296513045588e-05,2.43842965130456e-05,2.43842965130456e-05
96,2.4385819862137132e-05,2.4403338376689932e-05,2.43842965130456e-05
97,2.438734321122868e-05,2.4403338376689932e-05,2.43842965130456e-05
98,2.4387724048501567e-05,2.4403338376689932e-05,2.43842965130456e-05
99,2.4387724048501567e-05,2.4403338376689932e-05,2.43842965130456e-05
100,2.439644775391863e-05,2.44552591034702e-05,2.43842965130456e-05
