Iteration,Avg,Max,Min
1,2.1813739943807618e-05,2.4309016214113816e-05,2.0777925531914893e-05
2,2.255487398633037e-05,2.4309016214113816e-05,2.1554046772281497e-05
3,2.305368627788975e-05,2.4998750062496874e-05,2.2247435983002957e-05
4,2.357405799002448e-05,2.506831114787797e-05,2.294051524397238e-05
5,2.4096396761884826e-05,2.5986175354711293e-05,2.3527197440240918e-05
6,2.4682754128507476e-05,2.6170474470702153e-05,2.3984841580121363e-05
7,2.509594367755958e-05,2.642147537518495e-05,2.456338581710103e-05
8,2.5468508386242444e-05,2.6495681203963754e-05,2.5065797719012406e-05
9,2.58024596026789e-05,2.6495681203963754e-05,2.5258265767472406e-05
10,2.60616866993593e-05,2.6566069815631476e-05,2.56996736141451e-05
11,2.637387711918168e-05,2.769852920809905e-05,2.6059990097203763e-05
12,2.656529811599379e-05,2.769852920809905e-05,2.6221942521501992e-05
13,2.683983126534842e-05,2.7991602519244228e-05,2.642147537518495e-05
14,2.7054447752825108e-05,2.8096990812284005e-05,2.6606358919781827e-05
15,2.7272424373628868e-05,2.8142061124556764e-05,2.6847079037800687e-05
16,2.7503193393586255e-05,2.8868360277136258e-05,2.7145881969705197e-05
17,2.799632797366887e-05,2.892514173319449e-05,2.7511073206965803e-05
18,2.82970940248202e-05,2.9363401456424713e-05,2.771080998697592e-05
19,2.866447707846374e-05,2.9466364145328107e-05,2.8180127374175732e-05
20,2.8867403994223586e-05,2.9466364145328107e-05,2.8608210556429694e-05
21,2.896844394787538e-05,2.9466364145328107e-05,2.884005306569764e-05
22,2.9020346864255787e-05,2.9466364145328107e-05,2.892514173319449e-05
23,2.9145120924950845e-05,2.9466364145328107e-05,2.897207092362962e-05
24,2.9310167042139017e-05,2.9466364145328107e-05,2.900063801403631e-05
25,2.9372405360003416e-05,2.9466364145328107e-05,2.9341862034564715e-05
26,2.9379875486649222e-05,2.9466364145328107e-05,2.9363401456424713e-05
27,2.940252727820797e-05,2.9466364145328107e-05,2.9363401456424713e-05
28,2.945194936888162e-05,2.9466364145328107e-05,2.9363401456424713e-05
29,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
30,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
31,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
32,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
33,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
34,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
35,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
36,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
37,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
38,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
39,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
40,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
41,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
42,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
43,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
44,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
45,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
46,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
47,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
48,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
49,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
50,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
51,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
52,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
53,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
54,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
55,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
56,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
57,2.946636414532811e-05,2.9466364145328107e-05,2.9466364145328107e-05
