Iteration,Avg,Max,Min
1,2.0999666440615035e-05,2.2062392445836827e-05,2.0635149914364127e-05
2,2.1254034899297922e-05,2.2062392445836827e-05,2.096480010063104e-05
3,2.1480273018122142e-05,2.2440140924085002e-05,2.1232774911353163e-05
4,2.1655396099333592e-05,2.2495669583605156e-05,2.1421991816799127e-05
5,2.1875965770514426e-05,2.2615224569179973e-05,2.1576369560057823e-05
6,2.2125657130979828e-05,2.2945779123930152e-05,2.182643617950061e-05
7,2.237520376530713e-05,2.3044129508007835e-05,2.2088708252341404e-05
8,2.259634878090843e-05,2.3090422092915857e-05,2.233937985881512e-05
9,2.2813587701409907e-05,2.3627256402986485e-05,2.257693089201454e-05
10,2.303455881106653e-05,2.378234398782344e-05,2.2765560260438008e-05
11,2.3233653721469046e-05,2.388744237154528e-05,2.2997493273233217e-05
12,2.3402472089571134e-05,2.388744237154528e-05,2.32034712392974e-05
13,2.3610000476105594e-05,2.421483400731288e-05,2.34192037470726e-05
14,2.3761701504245425e-05,2.4439122146732488e-05,2.3582124749439923e-05
15,2.3920533155901485e-05,2.4439122146732488e-05,2.3742254089603267e-05
16,2.4033647429361887e-05,2.4713325425069198e-05,2.388744237154528e-05
17,2.4150023285260477e-05,2.4713325425069198e-05,2.4006145573266756e-05
18,2.4273338727557192e-05,2.4737167594310453e-05,2.4125452352231604e-05
19,2.4376624089254462e-05,2.482744922786633e-05,2.423831107448433e-05
20,2.452856256783418e-05,2.5021894157387716e-05,2.434452369939382e-05
21,2.4682202353680926e-05,2.523722996163941e-05,2.4486397806018756e-05
22,2.4826724611590564e-05,2.528253229843501e-05,2.4675516952080145e-05
23,2.496807265132347e-05,2.550239722533918e-05,2.4767801857585138e-05
24,2.512031753301513e-05,2.5590500806100776e-05,2.4951967462634428e-05
25,2.5280720674328382e-05,2.5806451612903226e-05,2.5083402312689693e-05
26,2.544315993389904e-05,2.595043466978072e-05,2.5261456070327894e-05
27,2.555625356345482e-05,2.595043466978072e-05,2.540714957188953e-05
28,2.56972923982599e-05,2.615815218812943e-05,2.5516713447307987e-05
29,2.582950274971668e-05,2.6330340451302035e-05,2.566339886054509e-05
30,2.5966352662081848e-05,2.6330340451302035e-05,2.5794469665703675e-05
31,2.610712022369413e-05,2.6590087215486065e-05,2.594572155051632e-05
32,2.6251488544916554e-05,2.6986183074265975e-05,2.6079699561861048e-05
33,2.639449156272598e-05,2.6986183074265975e-05,2.6206824257036532e-05
34,2.6532871927200288e-05,2.7042375402255336e-05,2.638035191389453e-05
35,2.665858179345098e-05,2.7042375402255336e-05,2.650902632346314e-05
36,2.6778642179890455e-05,2.722792495983881e-05,2.6636123911248436e-05
37,2.6883685899155476e-05,2.7256868730920193e-05,2.676874481355569e-05
38,2.6970753736981593e-05,2.7256868730920193e-05,2.6849241508927372e-05
39,2.7053268469083536e-05,2.7256868730920193e-05,2.6961445133459154e-05
40,2.7117876023577526e-05,2.748763056624519e-05,2.7042375402255336e-05
41,2.7181796442910564e-05,2.748763056624519e-05,2.7112761977062604e-05
42,2.7233557171583856e-05,2.748763056624519e-05,2.7168745075664954e-05
43,2.7301193824122437e-05,2.762812543168946e-05,2.7214587018641992e-05
44,2.73682451138659e-05,2.762812543168946e-05,2.728289635227676e-05
45,2.7453011965906943e-05,2.7657926761809936e-05,2.7344818156959256e-05
46,2.7534592222123844e-05,2.7718491005349668e-05,2.744463045805088e-05
47,2.7605289663334467e-05,2.7730020520215187e-05,2.752849198920883e-05
48,2.766736543750331e-05,2.782802281897871e-05,2.762812543168946e-05
49,2.768765657610884e-05,2.7858257187430356e-05,2.7657926761809936e-05
50,2.7720020435950328e-05,2.7858257187430356e-05,2.768855908738509e-05
51,2.7730229530862325e-05,2.791970293436078e-05,2.7718491005349668e-05
52,2.7747611277209887e-05,2.7966552003803452e-05,2.7718491005349668e-05
53,2.7781090082333313e-05,2.7966552003803452e-05,2.7718491005349668e-05
54,2.7826271955872465e-05,2.7966552003803452e-05,2.7764666685176446e-05
55,2.7890872515897245e-05,2.7966552003803452e-05,2.7764666685176446e-05
56,2.793585576937865e-05,2.7966552003803452e-05,2.790490010045764e-05
57,2.7951357169848575e-05,2.7966552003803452e-05,2.791970293436078e-05
58,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
59,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
60,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
61,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
62,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
63,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
64,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
65,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
66,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
67,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
68,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
69,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
70,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
71,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
72,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
73,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
74,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
75,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
76,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
77,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
78,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
79,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
80,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
81,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
82,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
83,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
84,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
85,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
86,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
87,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
88,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
89,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
90,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
91,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
92,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
93,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
94,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
95,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
96,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
97,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
98,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
99,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
100,2.79665520038034e-05,2.7966552003803452e-05,2.7966552003803452e-05
