Iteration,Avg,Max,Min
1,4.173259632585929e-05,4.3628113956633656e-05,4.107788366743346e-05
2,4.224055174828852e-05,4.3628113956633656e-05,4.154031487558676e-05
3,4.262004863263057e-05,4.3802014892685065e-05,4.203270144172166e-05
4,4.296461538261076e-05,4.3802014892685065e-05,4.2468254979402894e-05
5,4.3281192895707214e-05,4.437738528445904e-05,4.287061647946498e-05
6,4.364962372204052e-05,4.450774434751647e-05,4.329566610382301e-05
7,4.3913754948550124e-05,4.528985507246377e-05,4.3535045711798e-05
8,4.423647822163374e-05,4.611057315442431e-05,4.3757931125016406e-05
9,4.448697948234334e-05,4.611057315442431e-05,4.4031526573026284e-05
10,4.473842660580877e-05,4.611057315442431e-05,4.430071324148319e-05
11,4.513180665878737e-05,4.671587405400355e-05,4.459109961651654e-05
12,4.5625113935716104e-05,4.712757434374853e-05,4.512839027031906e-05
13,4.617341513873491e-05,4.730592743270732e-05,4.552075746540423e-05
14,4.6436696304975064e-05,4.730592743270732e-05,4.5892611289582376e-05
15,4.6804177705104735e-05,4.7666714333381e-05,4.641663572224285e-05
16,4.711897512162079e-05,4.821833261005834e-05,4.6700602437771445e-05
17,4.741336199318955e-05,4.831618108904672e-05,4.6988065031482e-05
18,4.77001768699276e-05,4.835823782581363e-05,4.732831653178096e-05
19,4.7939870992234916e-05,4.849425343096843e-05,4.758505829169641e-05
20,4.822919268229837e-05,4.8878244293464976e-05,4.791337262229888e-05
21,4.84304365284298e-05,4.8878244293464976e-05,4.821833261005834e-05
22,4.854144299523604e-05,4.895241824946152e-05,4.831618108904672e-05
23,4.86880345153822e-05,4.9691910157026436e-05,4.849425343096843e-05
24,4.881056783452706e-05,4.9691910157026436e-05,4.861448711716091e-05
25,4.894444647568383e-05,4.9691910157026436e-05,4.874006921089828e-05
26,4.905055056725704e-05,4.9691910157026436e-05,4.895241824946152e-05
27,4.916807662816339e-05,4.9691910157026436e-05,4.8995590396864285e-05
28,4.9328393928121696e-05,4.9691910157026436e-05,4.910385465259023e-05
29,4.953283956118126e-05,4.9897709695124994e-05,4.92029128124385e-05
30,4.964419331226203e-05,4.9897709695124994e-05,4.945109286915241e-05
31,4.970462362174907e-05,4.994755506717946e-05,4.967463116586359e-05
32,4.972741443467051e-05,4.994755506717946e-05,4.9691910157026436e-05
33,4.97759853532264e-05,4.994755506717946e-05,4.9691910157026436e-05
34,4.985015893689714e-05,4.994755506717946e-05,4.9691910157026436e-05
35,4.9900148653494563e-05,5.0122800862112174e-05,4.9872824298039995e-05
36,4.9936781954247966e-05,5.02992807202857e-05,4.9872824298039995e-05
37,4.997284062003939e-05,5.02992807202857e-05,4.9897709695124994e-05
38,4.999471905493461e-05,5.02992807202857e-05,4.994755506717946e-05
39,5.003133364909463e-05,5.02992807202857e-05,4.994755506717946e-05
40,5.008437662268821e-05,5.02992807202857e-05,4.9952545082171936e-05
41,5.0143672984283526e-05,5.02992807202857e-05,5.0015004501350405e-05
42,5.0217369226991237e-05,5.0349932027591764e-05,5.01353654868144e-05
43,5.02492929271902e-05,5.0349932027591764e-05,5.016806301108714e-05
44,5.0290900689292885e-05,5.038037180714394e-05,5.025883298989798e-05
45,5.030992574521938e-05,5.038037180714394e-05,5.027146591594611e-05
46,5.0334604302037375e-05,5.0454086781029264e-05,5.02992807202857e-05
47,5.034331910341842e-05,5.0454086781029264e-05,5.02992807202857e-05
48,5.037088778598283e-05,5.0454086781029264e-05,5.0349932027591764e-05
49,5.038774330453251e-05,5.0454086781029264e-05,5.038037180714394e-05
50,5.0392775550807875e-05,5.0454086781029264e-05,5.038037180714394e-05
51,5.0403703426917685e-05,5.0454086781029264e-05,5.038037180714394e-05
52,5.041823988802944e-05,5.0454086781029264e-05,5.038037180714394e-05
53,5.044523784801025e-05,5.0454086781029264e-05,5.039560550320012e-05
54,5.045408678102926e-05,5.0454086781029264e-05,5.0454086781029264e-05
55,5.045408678102926e-05,5.0454086781029264e-05,5.0454086781029264e-05
56,5.045408678102926e-05,5.0454086781029264e-05,5.0454086781029264e-05
57,5.0456633038247574e-05,5.046681806712087e-05,5.0454086781029264e-05
58,5.0457396915413075e-05,5.046681806712087e-05,5.0454086781029264e-05
59,5.046121630124053e-05,5.046681806712087e-05,5.0454086781029264e-05
60,5.046681806712087e-05,5.046681806712087e-05,5.046681806712087e-05
61,5.0468857645522165e-05,5.0517807527153325e-05,5.046681806712087e-05
62,5.047008163989699e-05,5.052801778586226e-05,5.046681806712087e-05
63,5.047375362302148e-05,5.052801778586226e-05,5.046681806712087e-05
64,5.04749776173963e-05,5.052801778586226e-05,5.046681806712087e-05
65,5.047864960052079e-05,5.052801778586226e-05,5.046681806712087e-05
66,5.049660110579486e-05,5.052801778586226e-05,5.046681806712087e-05
67,5.051883597304565e-05,5.052801778586226e-05,5.046681806712087e-05
68,5.052801778586227e-05,5.052801778586226e-05,5.052801778586226e-05
69,5.052801778586227e-05,5.052801778586226e-05,5.052801778586226e-05
70,5.052801778586227e-05,5.052801778586226e-05,5.052801778586226e-05
71,5.052801778586227e-05,5.052801778586226e-05,5.052801778586226e-05
72,5.0533331683981115e-05,5.056122964910506e-05,5.052801778586226e-05
73,5.0537573606947294e-05,5.0584248065152515e-05,5.052801778586226e-05
74,5.054294013549927e-05,5.0584248065152515e-05,5.052801778586226e-05
75,5.055745474724848e-05,5.0584248065152515e-05,5.052801778586226e-05
76,5.057746029813925e-05,5.067653169817058e-05,5.056122964910506e-05
77,5.058606240693017e-05,5.067653169817058e-05,5.056122964910506e-05
78,5.060946593140349e-05,5.067653169817058e-05,5.0584248065152515e-05
79,5.063499253862636e-05,5.070993914807302e-05,5.0584248065152515e-05
80,5.065723787560915e-05,5.070993914807302e-05,5.0584248065152515e-05
81,5.067088797202672e-05,5.072794602546543e-05,5.0658561296859166e-05
82,5.069216202137134e-05,5.078204346942921e-05,5.0658561296859166e-05
83,5.069889490792784e-05,5.078204346942921e-05,5.067653169817058e-05
84,5.070830111999816e-05,5.078204346942921e-05,5.067653169817058e-05
85,5.0718944123004946e-05,5.078204346942921e-05,5.070993914807302e-05
86,5.0728312307956195e-05,5.078204346942921e-05,5.070993914807302e-05
87,5.075779980016334e-05,5.0841425593573645e-05,5.072794602546543e-05
88,5.07802843265778e-05,5.0841425593573645e-05,5.072794602546543e-05
89,5.081726181153273e-05,5.0895765472312706e-05,5.078204346942921e-05
90,5.0840611281558074e-05,5.0895765472312706e-05,5.078204346942921e-05
91,5.085229356932146e-05,5.0895765472312706e-05,5.0841425593573645e-05
92,5.085664075962059e-05,5.0895765472312706e-05,5.0841425593573645e-05
93,5.086642193779362e-05,5.0895765472312706e-05,5.0841425593573645e-05
94,5.088934676051279e-05,5.09139045873428e-05,5.0841425593573645e-05
95,5.0896491036913925e-05,5.09139045873428e-05,5.0895765472312706e-05
96,5.089685381921453e-05,5.09139045873428e-05,5.0895765472312706e-05
97,5.089721660151512e-05,5.09139045873428e-05,5.0895765472312706e-05
98,5.089721660151512e-05,5.09139045873428e-05,5.0895765472312706e-05
99,5.089794216611633e-05,5.09139045873428e-05,5.0895765472312706e-05
100,5.090120720682175e-05,5.09139045873428e-05,5.0895765472312706e-05
