Iteration,Avg,Max,Min
1,2.103333229074479e-05,2.1681156906532534e-05,2.0612181799443472e-05
2,2.1189488736631992e-05,2.1681156906532534e-05,2.0919189172227685e-05
3,2.1398714138991826e-05,2.210824195259993e-05,2.120845793302369e-05
4,2.1528483021653163e-05,2.2209390130147026e-05,2.1298347248253537e-05
5,2.1744460960090797e-05,2.247494044140783e-05,2.1477201950129936e-05
6,2.2018713836687997e-05,2.2699929630218146e-05,2.1694326933506888e-05
7,2.2210671520982974e-05,2.2699929630218146e-05,2.1947151259766484e-05
8,2.2361222318041927e-05,2.281490269444001e-05,2.2161647053609024e-05
9,2.2568025497298014e-05,2.3106962127689072e-05,2.2314455304146026e-05
10,2.2740480462467147e-05,2.312673450508788e-05,2.2537750732476897e-05
11,2.2899263480654262e-05,2.338524858519246e-05,2.2699929630218146e-05
12,2.300740719137135e-05,2.3801589946208406e-05,2.2813341241958298e-05
13,2.3187363074171653e-05,2.3801589946208406e-05,2.2928417480625487e-05
14,2.335133097098572e-05,2.3946360153256706e-05,2.3151899613363278e-05
15,2.348424256556885e-05,2.3946360153256706e-05,2.3293191400153734e-05
16,2.361994199535617e-05,2.4153422539973914e-05,2.3469770935035674e-05
17,2.3725880784196233e-05,2.4153422539973914e-05,2.355046865432622e-05
18,2.3842168561104656e-05,2.428481227840109e-05,2.367536341682845e-05
19,2.3980272136192837e-05,2.4293071615975123e-05,2.3813492724977973e-05
20,2.4076741402055926e-05,2.433563710697946e-05,2.393546997295292e-05
21,2.421230694115764e-05,2.4348672997321647e-05,2.405407355735694e-05
22,2.4296547047995667e-05,2.4500196001568013e-05,2.4216593209667264e-05
23,2.432194622256934e-05,2.4500196001568013e-05,2.428481227840109e-05
24,2.4361753184667026e-05,2.4530847540782535e-05,2.430310836756021e-05
25,2.4417453849360796e-05,2.45784790837143e-05,2.4348672997321647e-05
26,2.446781864419792e-05,2.45784790837143e-05,2.4385485758876317e-05
27,2.449744078641375e-05,2.4582104228121928e-05,2.4448084492580006e-05
28,2.4513625192817286e-05,2.4582104228121928e-05,2.4475011013754957e-05
29,2.4524113838614768e-05,2.4582104228121928e-05,2.4504398539537846e-05
30,2.454012673443451e-05,2.4582104228121928e-05,2.4523027122467997e-05
31,2.454743846775965e-05,2.4582104228121928e-05,2.453445864716995e-05
32,2.4554477006854937e-05,2.4582104228121928e-05,2.454047952096984e-05
33,2.45637030418061e-05,2.4582104228121928e-05,2.4547105896214836e-05
34,2.456593541635909e-05,2.4582104228121928e-05,2.455976619102586e-05
35,2.4570643798535472e-05,2.4582104228121928e-05,2.455976619102586e-05
36,2.4575581543155948e-05,2.4582104228121928e-05,2.455976619102586e-05
37,2.457880535473178e-05,2.4583917201366867e-05,2.45784790837143e-05
38,2.457898661997298e-05,2.4583917201366867e-05,2.45784790837143e-05
39,2.4579748968486033e-05,2.4616596509366614e-05,2.45784790837143e-05
40,2.458032902367454e-05,2.4616596509366614e-05,2.45784790837143e-05
41,2.4581416615121766e-05,2.4616596509366614e-05,2.45784790837143e-05
42,2.4589619213895522e-05,2.462205150933176e-05,2.4582104228121928e-05
43,2.4598370627312454e-05,2.462387037994632e-05,2.4583917201366867e-05
44,2.4601203155835826e-05,2.462387037994632e-05,2.4583917201366867e-05
45,2.4619106571134932e-05,2.462387037994632e-05,2.458754395023481e-05
46,2.462034223843338e-05,2.462387037994632e-05,2.4618414574101428e-05
47,2.4624239877884734e-05,2.4676734774454645e-05,2.4618414574101428e-05
48,2.4625731077749054e-05,2.4676734774454645e-05,2.462205150933176e-05
49,2.4630138650359483e-05,2.4676734774454645e-05,2.462205150933176e-05
50,2.4634474512645412e-05,2.4676734774454645e-05,2.462387037994632e-05
51,2.4637534591071868e-05,2.4676734774454645e-05,2.462387037994632e-05
52,2.464621952024428e-05,2.4676734774454645e-05,2.462387037994632e-05
53,2.46654519534499e-05,2.4676734774454645e-05,2.465665606430456e-05
54,2.467228395004699e-05,2.4715157806282595e-05,2.4662128834961033e-05
55,2.4685300205246013e-05,2.4715157806282595e-05,2.4665778698633517e-05
56,2.469258022635449e-05,2.4715157806282595e-05,2.467490808596738e-05
57,2.47047647762183e-05,2.4715157806282595e-05,2.4676734774454645e-05
58,2.47151578062826e-05,2.4715157806282595e-05,2.4715157806282595e-05
59,2.4717727776394417e-05,2.4757990641479537e-05,2.4715157806282595e-05
60,2.4719441089802296e-05,2.4757990641479537e-05,2.4715157806282595e-05
61,2.4723222257366164e-05,2.4757990641479537e-05,2.4715157806282595e-05
62,2.472614676822609e-05,2.4757990641479537e-05,2.4715157806282595e-05
63,2.4736976735236726e-05,2.4757990641479537e-05,2.4715157806282595e-05
64,2.4760286145020022e-05,2.4792978628452424e-05,2.4757990641479537e-05
65,2.476334152056139e-05,2.4792978628452424e-05,2.4757990641479537e-05
66,2.476642148908014e-05,2.4796052468447025e-05,2.4757990641479537e-05
67,2.4769280494278326e-05,2.4796052468447025e-05,2.4757990641479537e-05
68,2.4779075022019702e-05,2.4796052468447025e-05,2.4760442716715776e-05
69,2.4786900571288586e-05,2.483114819229241e-05,2.477762085284571e-05
70,2.4792739376978397e-05,2.483114819229241e-05,2.477762085284571e-05
71,2.479836949226289e-05,2.483114819229241e-05,2.4792978628452424e-05
72,2.4802936358714402e-05,2.4837315582931796e-05,2.4792978628452424e-05
73,2.4809830103778303e-05,2.4837315582931796e-05,2.4792978628452424e-05
74,2.4825260364138903e-05,2.485707183693761e-05,2.4812664383901544e-05
75,2.483856661293866e-05,2.486696175461282e-05,2.483114819229241e-05
76,2.4844246250371383e-05,2.4875621890547263e-05,2.483114819229241e-05
77,2.4854533974269494e-05,2.4894199651481205e-05,2.4839783397088777e-05
78,2.486671676848227e-05,2.4894199651481205e-05,2.485707183693761e-05
79,2.487035399364843e-05,2.4905359633393106e-05,2.485707183693761e-05
80,2.4877213294761955e-05,2.4905359633393106e-05,2.486696175461282e-05
81,2.4881571296979312e-05,2.4905359633393106e-05,2.486696175461282e-05
82,2.4891129431947706e-05,2.4905359633393106e-05,2.4875621890547263e-05
83,2.4895787540127964e-05,2.4905359633393106e-05,2.4885526577742385e-05
84,2.4898886843884222e-05,2.4905359633393106e-05,2.4894199651481205e-05
85,2.490245803809603e-05,2.4905359633393106e-05,2.4894199651481205e-05
86,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
87,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
88,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
89,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
90,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
91,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
92,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
93,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
94,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
95,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
96,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
97,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
98,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
99,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
100,2.4905359633393123e-05,2.4905359633393106e-05,2.4905359633393106e-05
