Iteration,Avg,Max,Min
1,2.1760467332480174e-05,2.509977159207851e-05,2.077058884619379e-05
2,2.2480854833395867e-05,2.509977159207851e-05,2.1695738956868872e-05
3,2.3021279523560963e-05,2.509977159207851e-05,2.2024006166721726e-05
4,2.3671535730740187e-05,2.509977159207851e-05,2.2938410368161486e-05
5,2.42441305760822e-05,2.5258265767472406e-05,2.35882436193801e-05
6,2.4702455841135968e-05,2.5491345688138878e-05,2.407839926801666e-05
7,2.5084352385135495e-05,2.5883936429052132e-05,2.469562640456375e-05
8,2.5366825069776566e-05,2.6030820491461892e-05,2.5035675838069248e-05
9,2.5652077591034164e-05,2.6417985364436108e-05,2.538650960879389e-05
10,2.597854812993723e-05,2.6806058169146228e-05,2.5614754098360656e-05
11,2.623504502197666e-05,2.6981086258532768e-05,2.5947067981318112e-05
12,2.6516979682196873e-05,2.6981086258532768e-05,2.6197212616577597e-05
13,2.668884360165673e-05,2.7236824186299878e-05,2.6447330142022162e-05
14,2.6855758953617427e-05,2.7330618491896473e-05,2.6616273189428016e-05
15,2.6970911258240897e-05,2.735154946527721e-05,2.6783083804269223e-05
16,2.712574963714964e-05,2.7692392899670462e-05,2.6896904166330455e-05
17,2.734695705436525e-05,2.7744638348639126e-05,2.714072465734835e-05
18,2.7496938259543372e-05,2.795560649688295e-05,2.733136547501913e-05
19,2.7685581013798762e-05,2.81214848143982e-05,2.750501966608906e-05
20,2.7809858624310165e-05,2.81214848143982e-05,2.7690859247362444e-05
21,2.7914922107724606e-05,2.8348688873139616e-05,2.7769292716114522e-05
22,2.8031873739920665e-05,2.8446265005404792e-05,2.787223368080718e-05
23,2.8173195168467565e-05,2.8446265005404792e-05,2.8020623178659493e-05
24,2.8309304678168528e-05,2.8615578320837863e-05,2.8155531154095222e-05
25,2.8402520085191598e-05,2.865247414114209e-05,2.8306960681631613e-05
26,2.847740882064476e-05,2.882425849595019e-05,2.8367989560579842e-05
27,2.8564739404675192e-05,2.8905075731298415e-05,2.8446265005404792e-05
28,2.8660936683371735e-05,2.8905075731298415e-05,2.8511147858812794e-05
29,2.871046434291598e-05,2.8905075731298415e-05,2.8615578320837863e-05
30,2.8804085428827136e-05,2.905709719599012e-05,2.865247414114209e-05
31,2.8866154180487934e-05,2.905709719599012e-05,2.882425849595019e-05
32,2.8886834653292496e-05,2.9139227227693923e-05,2.882425849595019e-05
33,2.8956213221135896e-05,2.9139227227693923e-05,2.8845044421368408e-05
34,2.902343113004459e-05,2.9139227227693923e-05,2.8905075731298415e-05
35,2.9083268516478857e-05,2.927400468384075e-05,2.8977108084613156e-05
36,2.912962690759082e-05,2.927400468384075e-05,2.905709719599012e-05
37,2.9149034108835424e-05,2.927400468384075e-05,2.9139227227693923e-05
38,2.9154425207081295e-05,2.927400468384075e-05,2.9139227227693923e-05
39,2.9162511854450104e-05,2.927400468384075e-05,2.9139227227693923e-05
40,2.9173836856623065e-05,2.927400468384075e-05,2.9139227227693923e-05
41,2.919421151100351e-05,2.9360815056225962e-05,2.9139227227693923e-05
42,2.9235915489565067e-05,2.9360815056225962e-05,2.9139227227693923e-05
43,2.9268913683836647e-05,2.9360815056225962e-05,2.922523891632814e-05
44,2.927574089128842e-05,2.9360815056225962e-05,2.927400468384075e-05
