Iteration,Avg,Max,Min
1,2.105158262220535e-05,2.241700105359905e-05,2.0637279181112763e-05
2,2.13376893446699e-05,2.241700105359905e-05,2.1012376289634595e-05
3,2.1558922337418524e-05,2.2459292532285233e-05,2.1268902737307782e-05
4,2.1832315585574553e-05,2.3356845891530806e-05,2.1518333620244447e-05
5,2.2199807047131884e-05,2.3600490890210518e-05,2.1805494984736154e-05
6,2.2499171701962326e-05,2.3600490890210518e-05,2.2119000221190002e-05
7,2.27982482553698e-05,2.3600490890210518e-05,2.2471405136963215e-05
8,2.306610494807911e-05,2.3730422401518746e-05,2.2755199563100167e-05
9,2.332066363039801e-05,2.4207799753080442e-05,2.3033513762524475e-05
10,2.3529207880445437e-05,2.4491795248591723e-05,2.3312740412635506e-05
11,2.369958021992155e-05,2.4491795248591723e-05,2.3462612327256516e-05
12,2.3889585915003135e-05,2.4491795248591723e-05,2.366247840798845e-05
13,2.4084835432747787e-05,2.4626295958824835e-05,2.387489554733198e-05
14,2.427452539678355e-05,2.4752475247524754e-05,2.405233788724264e-05
15,2.4483289230878704e-05,2.5121209837465772e-05,2.4254183846713557e-05
16,2.4697332521407552e-05,2.533954996959254e-05,2.4484599187111306e-05
17,2.4871245561419434e-05,2.549199551340879e-05,2.4665778698633517e-05
18,2.505658256674722e-05,2.5736051060325302e-05,2.4861397707779132e-05
19,2.5213436535125905e-05,2.607765926930399e-05,2.50388101557414e-05
20,2.5345927162521975e-05,2.607765926930399e-05,2.518257365902795e-05
21,2.5483482742072868e-05,2.607765926930399e-05,2.5311329351017516e-05
22,2.562051209934629e-05,2.6106934001670842e-05,2.5447235157900096e-05
23,2.5763481615540774e-05,2.6227444397817876e-05,2.559967232419425e-05
24,2.591700001530301e-05,2.6753705388196265e-05,2.5734726439857945e-05
25,2.6074108073029697e-05,2.6753705388196265e-05,2.5896672277612327e-05
26,2.620628442535744e-05,2.6753705388196265e-05,2.603014290548455e-05
27,2.634227653852411e-05,2.684059371393295e-05,2.6162942807807022e-05
28,2.6466450458040464e-05,2.6909932456069534e-05,2.6304021884946208e-05
29,2.6601354795312556e-05,2.6986911347996223e-05,2.6461326770924294e-05
30,2.675757831229442e-05,2.726430012541578e-05,2.660140455416046e-05
31,2.6915537658620837e-05,2.7474791878451522e-05,2.6737253014625278e-05
32,2.708926713996379e-05,2.752091589608102e-05,2.689907467183129e-05
33,2.7223261096435268e-05,2.7665578487246167e-05,2.708852530068263e-05
34,2.7338939214710526e-05,2.77623542476402e-05,2.718942875010196e-05
35,2.7474159315791467e-05,2.7807129748067406e-05,2.733584823137062e-05
36,2.758808152750725e-05,2.7888557324929582e-05,2.7464982147761604e-05
37,2.7692718114603194e-05,2.819124943617501e-05,2.7564915375709797e-05
38,2.7787196870847783e-05,2.819124943617501e-05,2.7675532062103894e-05
39,2.7886521800188792e-05,2.8246991695384442e-05,2.7763895829862847e-05
40,2.7979955425601428e-05,2.834949254408346e-05,2.7853601470670157e-05
41,2.8076587893263615e-05,2.8380871292748687e-05,2.796968086594132e-05
42,2.8153936566922133e-05,2.8408283855572283e-05,2.8067024053439613e-05
43,2.822219901211885e-05,2.8439792958307262e-05,2.8146021559852514e-05
44,2.829155413159615e-05,2.8512773722627736e-05,2.8197608842770133e-05
45,2.8360441075140638e-05,2.8521719289238757e-05,2.82845424975251e-05
46,2.8415637083955e-05,2.865247414114209e-05,2.836396641706376e-05
47,2.8444583748753956e-05,2.865247414114209e-05,2.8408283855572283e-05
48,2.8479717824733664e-05,2.8743065735391335e-05,2.8439792958307262e-05
49,2.8512518463319363e-05,2.8743065735391335e-05,2.8465698832906347e-05
50,2.853760837348344e-05,2.875215641173088e-05,2.8506271379703534e-05
51,2.8570115959518486e-05,2.8765389483373606e-05,2.8521719289238757e-05
52,2.8609120139029052e-05,2.880682145532062e-05,2.856000456960073e-05
53,2.8653002905275285e-05,2.880682145532062e-05,2.8583678719451193e-05
54,2.8700632005426017e-05,2.880682145532062e-05,2.8637704401615166e-05
55,2.8748587312655997e-05,2.8821766197832605e-05,2.8693581245875298e-05
56,2.877311096708844e-05,2.887669650591972e-05,2.875215641173088e-05
57,2.8795463737405774e-05,2.887669650591972e-05,2.875215641173088e-05
58,2.8811166593996914e-05,2.890674683471122e-05,2.880682145532062e-05
59,2.8819903856264038e-05,2.890674683471122e-05,2.880682145532062e-05
60,2.883194511475838e-05,2.890674683471122e-05,2.880682145532062e-05
61,2.8865263271667076e-05,2.8922631959508316e-05,2.8812631457631024e-05
62,2.8880832568918025e-05,2.8922631959508316e-05,2.887669650591972e-05
63,2.888530714641218e-05,2.8937697138061753e-05,2.887669650591972e-05
64,2.8893939526229892e-05,2.8953616306676705e-05,2.887669650591972e-05
65,2.890807711118736e-05,2.8953616306676705e-05,2.8895053166897826e-05
66,2.8911982670809783e-05,2.8962840675413443e-05,2.890674683471122e-05
67,2.89194654368153e-05,2.8962840675413443e-05,2.890674683471122e-05
68,2.893325183297936e-05,2.8993070656113188e-05,2.8916777514313806e-05
69,2.894900233394274e-05,2.8993070656113188e-05,2.8922631959508316e-05
70,2.895668087523114e-05,2.8993070656113188e-05,2.8946911364557403e-05
71,2.8966293371222416e-05,2.8993070656113188e-05,2.8952778019050928e-05
72,2.897172029233943e-05,2.8993070656113188e-05,2.8962840675413443e-05
73,2.8979558860022612e-05,2.8993070656113188e-05,2.8962840675413443e-05
74,2.899288578348141e-05,2.8993070656113188e-05,2.898382702452032e-05
75,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
76,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
77,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
78,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
79,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
80,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
81,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
82,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
83,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
84,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
85,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
86,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
87,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
88,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
89,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
90,2.8993070656113266e-05,2.8993070656113188e-05,2.8993070656113188e-05
