Iteration,Avg,Max,Min
1,2.1350670481482157e-05,2.4475011013754957e-05,2.0424002287488256e-05
2,2.200912399472349e-05,2.4475011013754957e-05,2.1313327223512864e-05
3,2.256782756249606e-05,2.4776393052699388e-05,2.193896579715232e-05
4,2.3085691983066622e-05,2.4776393052699388e-05,2.2373867322966774e-05
5,2.3561066513834513e-05,2.6050485841560945e-05,2.2896918074827128e-05
6,2.412131152068441e-05,2.6050485841560945e-05,2.340385695562629e-05
7,2.466509035719931e-05,2.6779497616624714e-05,2.4117306579201234e-05
8,2.5070141152303284e-05,2.696871628910464e-05,2.4539877300613496e-05
9,2.5566337542374296e-05,2.7106882437450867e-05,2.4946987651241113e-05
10,2.606548617534756e-05,2.7179821700369644e-05,2.5409731927328167e-05
11,2.6577233681484546e-05,2.8440601803134153e-05,2.6050485841560945e-05
12,2.7016506396708746e-05,2.8440601803134153e-05,2.6577366714505926e-05
13,2.7316281248432577e-05,2.8440601803134153e-05,2.6935301406022735e-05
14,2.7667022399750174e-05,2.8493275586961478e-05,2.7240533914464723e-05
15,2.7973313309749965e-05,2.8687819151988067e-05,2.7655632069470946e-05
16,2.8209477636542263e-05,2.900484380891609e-05,2.791502665885046e-05
17,2.84679765507334e-05,2.942820988199288e-05,2.8166633805593892e-05
18,2.875547158170724e-05,2.9663907923229807e-05,2.845516888142731e-05
19,2.9010961599341886e-05,3.0217870848819992e-05,2.8687819151988067e-05
20,2.9218036734502464e-05,3.0396984619125783e-05,2.8935185185185186e-05
21,2.9416474187846508e-05,3.0396984619125783e-05,2.9138378157871734e-05
22,2.9637369643083128e-05,3.071064430931761e-05,2.932981375568265e-05
23,2.9883163582320797e-05,3.071064430931761e-05,2.9577048210588582e-05
24,3.01360655298155e-05,3.074274471224791e-05,2.9813368314352156e-05
25,3.0356928519208348e-05,3.0752198782212926e-05,3.015772490123345e-05
26,3.0533833596769845e-05,3.10231432648756e-05,3.036652394400413e-05
27,3.065306667886463e-05,3.10231432648756e-05,3.049152335650689e-05
28,3.078376293229095e-05,3.150201612903226e-05,3.064758343804591e-05
29,3.089242867063919e-05,3.168367023636018e-05,3.074274471224791e-05
30,3.105344466619003e-05,3.179245882876582e-05,3.0832793759442546e-05
31,3.120468310011262e-05,3.179245882876582e-05,3.102218085931441e-05
32,3.139290770485478e-05,3.200409652435512e-05,3.1150707121051646e-05
33,3.154458462326853e-05,3.200409652435512e-05,3.137353328731882e-05
34,3.16542168542049e-05,3.200409652435512e-05,3.150201612903226e-05
35,3.179333998868037e-05,3.236664940445365e-05,3.163055511624229e-05
36,3.188809975528432e-05,3.236664940445365e-05,3.1795491399319574e-05
37,3.200307488563234e-05,3.2519267666092156e-05,3.180560414745078e-05
38,3.212942687073058e-05,3.257222891762483e-05,3.200409652435512e-05
39,3.223508631820856e-05,3.257222891762483e-05,3.2104790034673176e-05
40,3.234097999986812e-05,3.257222891762483e-05,3.230704616676897e-05
41,3.237939064877793e-05,3.257222891762483e-05,3.230704616676897e-05
42,3.24676911378865e-05,3.257222891762483e-05,3.230704616676897e-05
43,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
44,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
45,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
46,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
47,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
48,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
49,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
50,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
51,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
52,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
53,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
54,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
55,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
56,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
57,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
58,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
59,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
60,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
61,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
62,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
63,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
64,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
65,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
66,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
67,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
68,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
69,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
70,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
71,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
72,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
73,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
74,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
75,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
76,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
77,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
78,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
79,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
80,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
81,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
82,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
83,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
84,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
85,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
86,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
87,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
88,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
89,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
90,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
91,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
92,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
93,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
94,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
95,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
96,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
97,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
98,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
99,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
100,3.257222891762484e-05,3.257222891762483e-05,3.257222891762483e-05
