Iteration,Avg,Max,Min
1,2.105463485774555e-05,2.182357819388067e-05,2.0554984583761563e-05
2,2.1267463168297462e-05,2.203856749311295e-05,2.092050209205021e-05
3,2.153104421955877e-05,2.214937538761407e-05,2.1222861266155902e-05
4,2.1703500289215202e-05,2.214937538761407e-05,2.1441742784853553e-05
5,2.1938191442170916e-05,2.2810739296060585e-05,2.165533370869245e-05
6,2.218359166400596e-05,2.2810739296060585e-05,2.1915406530791147e-05
7,2.2375258883638012e-05,2.2915282201700315e-05,2.2146432209771005e-05
8,2.2619631901489963e-05,2.33912657013871e-05,2.2301516503122213e-05
9,2.2814357287783373e-05,2.33912657013871e-05,2.250680830951363e-05
10,2.3065239546984913e-05,2.344116268166901e-05,2.2796179360339206e-05
11,2.3250882195707212e-05,2.3628931263438954e-05,2.3032983231988207e-05
12,2.340308232026834e-05,2.3812358614120728e-05,2.323906021240501e-05
13,2.3545816732242993e-05,2.3994625203954313e-05,2.33912657013871e-05
14,2.3692285696372385e-05,2.435519618110524e-05,2.350397217129695e-05
15,2.3827622942288364e-05,2.435519618110524e-05,2.3625023625023624e-05
16,2.3981541776846184e-05,2.435519618110524e-05,2.3790265023552363e-05
17,2.4149127799350704e-05,2.462387037994632e-05,2.3909716908951797e-05
18,2.432903127824847e-05,2.462387037994632e-05,2.4131856463717753e-05
19,2.4412275424912203e-05,2.4764121740422477e-05,2.4331492250419718e-05
20,2.447616542727602e-05,2.48071246061869e-05,2.435519618110524e-05
21,2.4580009122581212e-05,2.4921497283556795e-05,2.4426585896089304e-05
22,2.466307556510224e-05,2.4921497283556795e-05,2.457606291472106e-05
23,2.4708768340399027e-05,2.511490067056785e-05,2.462387037994632e-05
24,2.4756782601611884e-05,2.511490067056785e-05,2.462387037994632e-05
25,2.4851473033012744e-05,2.5199072674125592e-05,2.469867615095831e-05
26,2.4962149490954628e-05,2.5272947836635664e-05,2.4815127301603058e-05
27,2.5071445138260505e-05,2.532030181799767e-05,2.4928952485416564e-05
28,2.5147000411897616e-05,2.532030181799767e-05,2.5054493523413425e-05
29,2.518845941170587e-05,2.54958951608791e-05,2.510418235678064e-05
30,2.528307387885349e-05,2.54958951608791e-05,2.519018590357197e-05
31,2.5340245776773036e-05,2.54958951608791e-05,2.5265923848505522e-05
32,2.53921433530982e-05,2.570694087403599e-05,2.5302363240726685e-05
33,2.544704126355617e-05,2.596593269630245e-05,2.532030181799767e-05
34,2.5517035923661337e-05,2.596593269630245e-05,2.5444645174423044e-05
35,2.5563914365007387e-05,2.596593269630245e-05,2.5463434508046446e-05
36,2.5666472711443947e-05,2.596593269630245e-05,2.552518059065268e-05
37,2.5775245449848153e-05,2.5996308524189564e-05,2.5600983077750185e-05
38,2.5909258321224473e-05,2.5996308524189564e-05,2.5747315842323438e-05
39,2.5978852155424432e-05,2.6231572320444888e-05,2.596391016487083e-05
40,2.598786968086752e-05,2.6231572320444888e-05,2.596593269630245e-05
41,2.6019195537321967e-05,2.6231572320444888e-05,2.5967281225655675e-05
42,2.6036097810489433e-05,2.6231572320444888e-05,2.5967281225655675e-05
43,2.6082281966184944e-05,2.6262573206922815e-05,2.5996308524189564e-05
44,2.6157721398768423e-05,2.6316482012684544e-05,2.6050485841560945e-05
45,2.623740016827787e-05,2.6316482012684544e-05,2.61766399664939e-05
46,2.6244241554431898e-05,2.6316482012684544e-05,2.6231572320444888e-05
47,2.6259067140649364e-05,2.6316482012684544e-05,2.6231572320444888e-05
48,2.6270374065582658e-05,2.6316482012684544e-05,2.6231572320444888e-05
49,2.6290112075451358e-05,2.634768403857301e-05,2.623707823896731e-05
50,2.632060050261214e-05,2.634768403857301e-05,2.6316482012684544e-05
51,2.6323096664683218e-05,2.634768403857301e-05,2.6316482012684544e-05
52,2.6331059485348233e-05,2.64389392697565e-05,2.6316482012684544e-05
53,2.6346985126678286e-05,2.64389392697565e-05,2.6316482012684544e-05
54,2.6366706355683144e-05,2.64389392697565e-05,2.6316482012684544e-05
55,2.636841454944924e-05,2.64389392697565e-05,2.634768403857301e-05
56,2.639257146950982e-05,2.648094695866324e-05,2.634768403857301e-05
57,2.6419054873950692e-05,2.648094695866324e-05,2.634768403857301e-05
58,2.644862411480179e-05,2.657312925170068e-05,2.640752086194148e-05
59,2.645870551088027e-05,2.657312925170068e-05,2.64389392697565e-05
60,2.6476208389808073e-05,2.657312925170068e-05,2.64389392697565e-05
61,2.6501858430416204e-05,2.657312925170068e-05,2.648094695866324e-05
62,2.6521080987023364e-05,2.657312925170068e-05,2.648094695866324e-05
63,2.6552843878179218e-05,2.657312925170068e-05,2.648094695866324e-05
64,2.6573341175532353e-05,2.6583725443283623e-05,2.657312925170068e-05
65,2.6573341175532353e-05,2.6583725443283623e-05,2.657312925170068e-05
66,2.6573341175532353e-05,2.6583725443283623e-05,2.657312925170068e-05
67,2.6573341175532353e-05,2.6583725443283623e-05,2.657312925170068e-05
68,2.6573553099364013e-05,2.6583725443283623e-05,2.657312925170068e-05
69,2.6573553099364013e-05,2.6583725443283623e-05,2.657312925170068e-05
70,2.657376502319567e-05,2.6583725443283623e-05,2.657312925170068e-05
71,2.6574612718522305e-05,2.6583725443283623e-05,2.657312925170068e-05
72,2.657588426151226e-05,2.6583725443283623e-05,2.657312925170068e-05
73,2.6577367728333874e-05,2.6583725443283623e-05,2.657312925170068e-05
74,2.6581606204967048e-05,2.6583725443283623e-05,2.657312925170068e-05
75,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
76,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
77,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
78,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
79,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
80,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
81,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
82,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
83,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
84,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
85,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
86,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
87,2.6583725443283654e-05,2.6583725443283623e-05,2.6583725443283623e-05
88,2.6592866792699217e-05,2.6697992310978215e-05,2.6583725443283623e-05
89,2.6596474707804106e-05,2.6735823329679438e-05,2.6583725443283623e-05
