Iteration,Avg,Max,Min
1,2.0538457682440397e-05,2.2012855507616448e-05,1.967729240456513e-05
2,2.0599321087288258e-05,2.239340738086707e-05,1.9756989034871087e-05
3,2.0705130617464923e-05,2.239340738086707e-05,1.9962869063541813e-05
4,2.0845951095593878e-05,2.26690544737379e-05,2.0019218449711722e-05
5,2.0998364928252077e-05,2.2673680391801197e-05,2.016088385314812e-05
6,2.1184202102168343e-05,2.2720559834594324e-05,2.0243324763659185e-05
7,2.141588344859703e-05,2.2720559834594324e-05,2.0354991043803942e-05
8,2.170562497383833e-05,2.314064886379414e-05,2.051871306631648e-05
9,2.2015299102040497e-05,2.314064886379414e-05,2.0795641233597436e-05
10,2.2338896829917924e-05,2.346041055718475e-05,2.1109070567622906e-05
11,2.2630817319213738e-05,2.346041055718475e-05,2.1652520353369133e-05
12,2.2822011839936108e-05,2.346041055718475e-05,2.2095052917651737e-05
13,2.3020696283760954e-05,2.358434942572109e-05,2.252100083327703e-05
14,2.3182660075125708e-05,2.358434942572109e-05,2.2720559834594324e-05
15,2.3310561723366466e-05,2.3657999952684e-05,2.2971079411021525e-05
16,2.341442778343727e-05,2.375691920271779e-05,2.318840579710145e-05
17,2.3498256092761236e-05,2.375691920271779e-05,2.3350301218885723e-05
18,2.3583512099920684e-05,2.375691920271779e-05,2.3399475851740923e-05
19,2.367223796370192e-05,2.3778385447628105e-05,2.346701710745547e-05
20,2.371833912353986e-05,2.3778385447628105e-05,2.3577676655742344e-05
21,2.3717293540415858e-05,2.3778385447628105e-05,2.2861845865435177e-05
22,2.3766633036741532e-05,2.3778385447628105e-05,2.3737745388942958e-05
23,2.3773680517236835e-05,2.3778385447628105e-05,2.375691920271779e-05
24,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
25,2.377834021792544e-05,2.3778385447628105e-05,2.3776689333777164e-05
26,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
27,2.3777856901869113e-05,2.3778385447628105e-05,2.377160244372073e-05
28,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
29,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
30,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
31,2.3778385447628135e-05,2.3778385447628105e-05,2.3778385447628105e-05
32,2.377822694325203e-05,2.3778385447628105e-05,2.376538808878749e-05
33,2.3778385447628132e-05,2.3778385447628105e-05,2.3778385447628105e-05
34,2.3756633495852517e-05,2.3778385447628105e-05,2.324230098779779e-05
35,2.3778385447628132e-05,2.3778385447628105e-05,2.3778385447628105e-05
36,2.3774676150264098e-05,2.3778385447628105e-05,2.3618885660974514e-05
