Iteration,Avg,Max,Min
1,4.2033003663740964e-05,4.324324324324324e-05,4.109476452699926e-05
2,4.248045611946691e-05,4.324324324324324e-05,4.186202277294039e-05
3,4.280680690119736e-05,4.408782294330306e-05,4.234955321221361e-05
4,4.314547263719148e-05,4.4275214734791464e-05,4.2634832658281814e-05
5,4.3544466669695415e-05,4.498627918484862e-05,4.30070531567177e-05
6,4.399986597347025e-05,4.607021100156639e-05,4.3333188889370365e-05
7,4.43456540001709e-05,4.6270590412733666e-05,4.394059231918446e-05
8,4.472608383405125e-05,4.6731155661479505e-05,4.422821760283061e-05
9,4.534617695594365e-05,4.6731155661479505e-05,4.4543429844097995e-05
10,4.585622027951972e-05,4.6731155661479505e-05,4.513653802753329e-05
11,4.612762507528225e-05,4.6873535202024934e-05,4.574565416285453e-05
12,4.640349699001501e-05,4.757600266425615e-05,4.608294930875576e-05
13,4.656606710557404e-05,4.757600266425615e-05,4.6270590412733666e-05
14,4.6819275429375494e-05,4.757600266425615e-05,4.652244708071645e-05
15,4.704363949858411e-05,4.785833931562575e-05,4.675081813931744e-05
16,4.722314538142495e-05,4.785833931562575e-05,4.694394892498357e-05
17,4.7443347094648866e-05,4.7876669698855745e-05,4.715868898844612e-05
18,4.758493081892192e-05,4.7876669698855745e-05,4.737315836846843e-05
19,4.768315964633004e-05,4.7876669698855745e-05,4.7521741196597446e-05
20,4.775647696610954e-05,4.7876669698855745e-05,4.757600266425615e-05
21,4.785524092396038e-05,4.790419161676647e-05,4.7787441460384214e-05
22,4.787218434946292e-05,4.79570305006714e-05,4.785833931562575e-05
23,4.789127635280178e-05,4.801690194948622e-05,4.786750275238141e-05
24,4.790927840116515e-05,4.801690194948622e-05,4.7876669698855745e-05
25,4.79339389826517e-05,4.801690194948622e-05,4.7876669698855745e-05
26,4.796071595594977e-05,4.801690194948622e-05,4.7938638542665386e-05
27,4.796817272629289e-05,4.801690194948622e-05,4.79570305006714e-05
28,4.7973053067758036e-05,4.801690194948622e-05,4.796163069544364e-05
29,4.799562554586284e-05,4.819044865307696e-05,4.796163069544364e-05
30,4.8033602685561856e-05,4.819044865307696e-05,4.796163069544364e-05
31,4.81067302952072e-05,4.819044865307696e-05,4.801690194948622e-05
32,4.816029040760527e-05,4.819044865307696e-05,4.8134777376654636e-05
33,4.817258342016888e-05,4.819044865307696e-05,4.8134777376654636e-05
34,4.819044865307696e-05,4.819044865307696e-05,4.819044865307696e-05
35,4.819044865307696e-05,4.819044865307696e-05,4.819044865307696e-05
36,4.819072737169265e-05,4.819741661846925e-05,4.819044865307696e-05
37,4.81908667310005e-05,4.819741661846925e-05,4.819044865307696e-05
38,4.8191006090308345e-05,4.819741661846925e-05,4.819044865307696e-05
39,4.8191702886847575e-05,4.819741661846925e-05,4.819044865307696e-05
40,4.819184224615542e-05,4.819741661846925e-05,4.819044865307696e-05
41,4.819267840200249e-05,4.819741661846925e-05,4.819044865307696e-05
42,4.819351455784957e-05,4.819741661846925e-05,4.819044865307696e-05
43,4.8194071995080944e-05,4.819741661846925e-05,4.819044865307696e-05
44,4.819588366608291e-05,4.819741661846925e-05,4.819044865307696e-05
45,4.820122883774871e-05,4.822996045143243e-05,4.819741661846925e-05
46,4.820262364520664e-05,4.823461315840247e-05,4.819741661846925e-05
47,4.8205087590829606e-05,4.823461315840247e-05,4.819741661846925e-05
48,4.821103824807195e-05,4.823461315840247e-05,4.819741661846925e-05
49,4.821875545394127e-05,4.823693984853601e-05,4.819741661846925e-05
50,4.8229682805967314e-05,4.8264877648535163e-05,4.8211358596085236e-05
51,4.8234149342813465e-05,4.8264877648535163e-05,4.822996045143243e-05
52,4.823852508358099e-05,4.8264877648535163e-05,4.822996045143243e-05
53,4.824601986040932e-05,4.8278858687780624e-05,4.823461315840247e-05
54,4.828650455461553e-05,4.845900368288428e-05,4.824857666698833e-05
55,4.829316541642105e-05,4.845900368288428e-05,4.8264877648535163e-05
56,4.8320833693959684e-05,4.845900368288428e-05,4.8264877648535163e-05
57,4.835005267286221e-05,4.84613520717228e-05,4.827419744146753e-05
58,4.836866740671904e-05,4.847074790364015e-05,4.8278858687780624e-05
59,4.8431036463604994e-05,4.847074790364015e-05,4.829751267809708e-05
60,4.8455201859484155e-05,4.847074790364015e-05,4.8440224762642895e-05
61,4.8461446622021256e-05,4.848484848484849e-05,4.845900368288428e-05
62,4.8465769547541614e-05,4.848484848484849e-05,4.845900368288428e-05
63,4.847309959487954e-05,4.848484848484849e-05,4.845900368288428e-05
64,4.8478926240740986e-05,4.848484848484849e-05,4.847074790364015e-05
65,4.8484848484848474e-05,4.848484848484849e-05,4.848484848484849e-05
66,4.848847048180516e-05,4.8513074273516714e-05,4.848484848484849e-05
67,4.849152796298849e-05,4.8513074273516714e-05,4.848484848484849e-05
68,4.8501979577530286e-05,4.855783237836263e-05,4.848484848484849e-05
69,4.851007207616475e-05,4.855783237836263e-05,4.848484848484849e-05
70,4.8525277597848354e-05,4.8586143231950245e-05,4.8513074273516714e-05
71,4.853701327966502e-05,4.86215782564302e-05,4.8513074273516714e-05
72,4.8550349777746434e-05,4.86215782564302e-05,4.8513074273516714e-05
73,4.857071859054344e-05,4.86215782564302e-05,4.855783237836263e-05
74,4.858284709858373e-05,4.86215782564302e-05,4.855783237836263e-05
75,4.8598378786097165e-05,4.86215782564302e-05,4.8586143231950245e-05
76,4.8605464551042904e-05,4.86215782564302e-05,4.8586143231950245e-05
77,4.861500956509232e-05,4.863813229571985e-05,4.860031104199067e-05
78,4.862205189099575e-05,4.863813229571985e-05,4.860031104199067e-05
79,4.8624226902716506e-05,4.863813229571985e-05,4.86215782564302e-05
80,4.862555122585968e-05,4.863813229571985e-05,4.86215782564302e-05
81,4.862952419528921e-05,4.863813229571985e-05,4.86215782564302e-05
82,4.8635483649433516e-05,4.863813229571985e-05,4.86215782564302e-05
83,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
84,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
85,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
86,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
87,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
88,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
89,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
90,4.8638132295719834e-05,4.863813229571985e-05,4.863813229571985e-05
91,4.8645717189645094e-05,4.8732943469785574e-05,4.863813229571985e-05
92,4.8645717189645094e-05,4.8732943469785574e-05,4.863813229571985e-05
93,4.865330208357036e-05,4.8732943469785574e-05,4.863813229571985e-05
94,4.866278320097693e-05,4.8732943469785574e-05,4.863813229571985e-05
