Iteration,Avg,Max,Min
1,2.1208998640935002e-05,2.4264777249344852e-05,1.8689492767166298e-05
2,2.1700830212596138e-05,2.5101661730006527e-05,1.886080724254998e-05
3,2.2350675343529842e-05,2.5101661730006527e-05,1.933114247052001e-05
4,2.2683125822225847e-05,2.5831783426327755e-05,1.9656406022722804e-05
5,2.2870727864473554e-05,2.5831783426327755e-05,1.8577691907557404e-05
6,2.321375551807687e-05,2.6917900403768505e-05,2.005052732886875e-05
7,2.328192510201818e-05,2.6917900403768505e-05,2.0181227422251823e-05
8,2.374423291193062e-05,2.7608293531376825e-05,2.0062192797672787e-05
9,2.4009807239791877e-05,2.8087520714546528e-05,2.0100906550885444e-05
10,2.4494206008787194e-05,2.8263757383906615e-05,2.0505669817704595e-05
11,2.4911535143927804e-05,2.925002925002925e-05,2.0442790849806817e-05
12,2.5123250119396165e-05,2.925002925002925e-05,2.0676108756332058e-05
13,2.557968267772088e-05,3.017046311660884e-05,2.1907724663716426e-05
14,2.5870302951782213e-05,3.017046311660884e-05,2.2000748025432864e-05
15,2.5882790844271384e-05,3.017046311660884e-05,2.128021790943139e-05
16,2.6436951151718045e-05,3.1480198954857394e-05,2.1204860153947284e-05
17,2.657033664705811e-05,3.159158400202186e-05,2.1125124110104147e-05
18,2.7318915079579424e-05,3.398355196085095e-05,2.2564704289550287e-05
19,2.7807563207736338e-05,3.398355196085095e-05,2.3838470523731198e-05
20,2.806236926438499e-05,3.398355196085095e-05,2.246433786364147e-05
21,2.8260643919325528e-05,3.398355196085095e-05,2.2655701307233964e-05
22,2.897863330479629e-05,3.446849579484351e-05,2.3925734520049766e-05
23,2.8754014916075004e-05,3.446849579484351e-05,2.255147373880883e-05
24,2.917497953277597e-05,3.529453287685738e-05,2.431788337143135e-05
25,2.939326160082736e-05,3.529453287685738e-05,2.3655201778871172e-05
26,3.029829548517846e-05,3.529453287685738e-05,2.4822518989227025e-05
27,3.0717451709992914e-05,3.529453287685738e-05,2.5658131061733464e-05
28,3.122169283682731e-05,3.535942859163396e-05,2.6103526586441827e-05
29,3.0922735209421514e-05,3.535942859163396e-05,2.653646109754803e-05
30,3.109235428170506e-05,3.5409510994653166e-05,2.5938991492010792e-05
