Iteration,Avg,Max,Min
1,2.144049682508519e-05,2.4036150370156717e-05,2.0508613617719442e-05
2,2.201423046600223e-05,2.4791134690234772e-05,2.126664114669729e-05
3,2.264046947905415e-05,2.5333772452055837e-05,2.195630694917115e-05
4,2.3134912109204835e-05,2.5333772452055837e-05,2.2467870944549296e-05
5,2.363300144988577e-05,2.5333772452055837e-05,2.297582942744233e-05
6,2.4141936437531086e-05,2.582978173834431e-05,2.362223324593107e-05
7,2.4603714086312618e-05,2.6378264310208388e-05,2.4054652169729625e-05
8,2.507657545579493e-05,2.6476740183748578e-05,2.4528440727022985e-05
9,2.544515186881953e-05,2.6928773394371888e-05,2.496754219514631e-05
10,2.5879739685760543e-05,2.7176867050766388e-05,2.540456774127988e-05
