Iteration,Avg,Max,Min
1,2.0991767397912823e-05,2.1740548296628042e-05,2.068808573142727e-05
2,2.1190680078126367e-05,2.1740548296628042e-05,2.0932325790718607e-05
3,2.14022733282757e-05,2.1996392591614976e-05,2.116939751894661e-05
4,2.155729011060886e-05,2.2585089324028278e-05,2.1329238119614367e-05
5,2.178465290873296e-05,2.268190890945382e-05,2.1484123232930865e-05
6,2.2033934113525995e-05,2.268190890945382e-05,2.168209709243078e-05
7,2.2223778130866308e-05,2.268190890945382e-05,2.196595277320154e-05
8,2.2404959798163294e-05,2.2915282201700315e-05,2.220248667850799e-05
9,2.2548148150540265e-05,2.3299161230195714e-05,2.236886254333967e-05
10,2.2698941304744666e-05,2.3299161230195714e-05,2.248353081367898e-05
11,2.2838310405003368e-05,2.3299161230195714e-05,2.2637238256932653e-05
12,2.293164466613029e-05,2.3299161230195714e-05,2.27966990379793e-05
13,2.300729621991366e-05,2.3311110075061775e-05,2.286498227963873e-05
14,2.3176464020448353e-05,2.3557680981884145e-05,2.2990619827110538e-05
15,2.328655048567597e-05,2.3557680981884145e-05,2.314118436581584e-05
16,2.337274728771389e-05,2.3799890520503604e-05,2.32725918685564e-05
17,2.3431941320844243e-05,2.3807823250720186e-05,2.33007898967775e-05
18,2.3540632503578862e-05,2.3810657650364302e-05,2.3423043590284122e-05
19,2.3630366971327182e-05,2.385666913185581e-05,2.352111019640127e-05
20,2.3735938966434623e-05,2.3965872597421273e-05,2.360160490913382e-05
21,2.3798039056282407e-05,2.3965872597421273e-05,2.3714665148928097e-05
22,2.384267393669994e-05,2.3965872597421273e-05,2.3781212841854935e-05
23,2.388647924027027e-05,2.3984841580121363e-05,2.3807823250720186e-05
24,2.394379919511061e-05,2.3984841580121363e-05,2.3904001529856096e-05
25,2.3964549076407062e-05,2.4050602467591815e-05,2.392630697451848e-05
26,2.3981889853800942e-05,2.4050602467591815e-05,2.3965872597421273e-05
27,2.4018004373692133e-05,2.4134186074574636e-05,2.3984841580121363e-05
28,2.404650221332889e-05,2.419959828666844e-05,2.3984841580121363e-05
29,2.4083457182346217e-05,2.419959828666844e-05,2.4050602467591815e-05
30,2.4117985907797997e-05,2.419959828666844e-05,2.408825938237703e-05
31,2.4147220072397125e-05,2.419959828666844e-05,2.408825938237703e-05
32,2.4176428188270563e-05,2.422950184144214e-05,2.4154589371980676e-05
33,2.4189464364914415e-05,2.422950184144214e-05,2.4154589371980676e-05
34,2.4202799557419557e-05,2.422950184144214e-05,2.419959828666844e-05
35,2.4203010472693332e-05,2.422950184144214e-05,2.419959828666844e-05
36,2.4208464057794578e-05,2.425065476767873e-05,2.419959828666844e-05
37,2.4215572842763582e-05,2.425065476767873e-05,2.419959828666844e-05
38,2.423154862683595e-05,2.425065476767873e-05,2.42101440503571e-05
39,2.4235565516193238e-05,2.425065476767873e-05,2.422950184144214e-05
40,2.423782166422176e-05,2.425065476767873e-05,2.422950184144214e-05
41,2.424444949905752e-05,2.425065476767873e-05,2.422950184144214e-05
42,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
43,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
44,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
45,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
46,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
47,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
48,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
49,2.4250654767678715e-05,2.425065476767873e-05,2.425065476767873e-05
50,2.4252176812325626e-05,2.4326757000024328e-05,2.425065476767873e-05
51,2.4252176812325626e-05,2.4326757000024328e-05,2.425065476767873e-05
52,2.425369885697254e-05,2.4326757000024328e-05,2.425065476767873e-05
53,2.425369885697254e-05,2.4326757000024328e-05,2.425065476767873e-05
54,2.425369885697254e-05,2.4326757000024328e-05,2.425065476767873e-05
55,2.425369885697254e-05,2.4326757000024328e-05,2.425065476767873e-05
56,2.4260431594689554e-05,2.4326757000024328e-05,2.425065476767873e-05
57,2.4272169209106075e-05,2.4326757000024328e-05,2.425065476767873e-05
58,2.4283351523537967e-05,2.4326757000024328e-05,2.425065476767873e-05
59,2.4302986932417608e-05,2.4326757000024328e-05,2.425712553062462e-05
60,2.43247720732197e-05,2.433563710697946e-05,2.428304315096768e-05
61,2.4326934602163456e-05,2.433563710697946e-05,2.4326757000024328e-05
62,2.4327112204302557e-05,2.433563710697946e-05,2.4326757000024328e-05
63,2.432782261285897e-05,2.433563710697946e-05,2.4326757000024328e-05
64,2.4328710623554482e-05,2.433563710697946e-05,2.4326757000024328e-05
65,2.4329953838528205e-05,2.433563710697946e-05,2.4326757000024328e-05
66,2.433279547275384e-05,2.433563710697946e-05,2.4326757000024328e-05
67,2.433563710697947e-05,2.433563710697946e-05,2.433563710697946e-05
68,2.433563710697947e-05,2.433563710697946e-05,2.433563710697946e-05
69,2.4335660797061837e-05,2.433682161109759e-05,2.433563710697946e-05
70,2.4335660797061837e-05,2.433682161109759e-05,2.433563710697946e-05
71,2.4335660797061837e-05,2.433682161109759e-05,2.433563710697946e-05
72,2.4335660797061837e-05,2.433682161109759e-05,2.433563710697946e-05
73,2.4336585082873818e-05,2.434689455359969e-05,2.433563710697946e-05
74,2.4336585082873818e-05,2.434689455359969e-05,2.433563710697946e-05
75,2.4336857611970947e-05,2.434689455359969e-05,2.433563710697946e-05
76,2.433884994106795e-05,2.4385485758876317e-05,2.433563710697946e-05
77,2.434140940146268e-05,2.4385485758876317e-05,2.433563710697946e-05
78,2.4343435741854312e-05,2.4385485758876317e-05,2.433682161109759e-05
79,2.4347464918855183e-05,2.4385485758876317e-05,2.433682161109759e-05
80,2.4349981850021822e-05,2.4385485758876317e-05,2.434689455359969e-05
81,2.4353069146443954e-05,2.4385485758876317e-05,2.434689455359969e-05
82,2.4359172391497434e-05,2.4385485758876317e-05,2.434689455359969e-05
83,2.4365346984341695e-05,2.4385485758876317e-05,2.434689455359969e-05
84,2.4381555290557875e-05,2.4385485758876317e-05,2.434689455359969e-05
85,2.4385485758876307e-05,2.4385485758876317e-05,2.4385485758876317e-05
86,2.4385485758876307e-05,2.4385485758876317e-05,2.4385485758876317e-05
87,2.4385485758876307e-05,2.4385485758876317e-05,2.4385485758876317e-05
88,2.4385485758876307e-05,2.4385485758876317e-05,2.4385485758876317e-05
89,2.4385485758876307e-05,2.4385485758876317e-05,2.4385485758876317e-05
90,2.4385783266205674e-05,2.4400361125344655e-05,2.4385485758876317e-05
91,2.4385783266205674e-05,2.4400361125344655e-05,2.4385485758876317e-05
92,2.438608077353504e-05,2.4400361125344655e-05,2.4385485758876317e-05
93,2.4387270802852506e-05,2.4400361125344655e-05,2.4385485758876317e-05
94,2.4387568310181872e-05,2.4400361125344655e-05,2.4385485758876317e-05
95,2.439264980229114e-05,2.441108263151471e-05,2.4385485758876317e-05
96,2.4395029860926075e-05,2.441108263151471e-05,2.4385485758876317e-05
97,2.4399813620842372e-05,2.441108263151471e-05,2.439559903393428e-05
98,2.4400575555468042e-05,2.441108263151471e-05,2.4400361125344655e-05
99,2.4401433275961644e-05,2.441108263151471e-05,2.4400361125344655e-05
100,2.4402743672388086e-05,2.441108263151471e-05,2.4400361125344655e-05
