Iteration,Avg,Max,Min
1,2.1449909552393154e-05,2.34203007166612e-05,2.0600292524153842e-05
2,2.2202145353661336e-05,2.483053162168202e-05,2.1363413018863893e-05
3,2.2725650027246683e-05,2.483053162168202e-05,2.2130258702724234e-05
4,2.316404570103829e-05,2.483053162168202e-05,2.2528611336397224e-05
5,2.3712899127529306e-05,2.53665465983461e-05,2.3074438137431354e-05
6,2.4419119019312243e-05,2.7380756804118067e-05,2.3697805583202996e-05
7,2.4967883246058242e-05,2.7380756804118067e-05,2.4249478636209322e-05
8,2.553962449675986e-05,2.8764562059542644e-05,2.474573754670758e-05
9,2.6178225940684113e-05,2.8764562059542644e-05,2.5542131746315548e-05
10,2.677697515368583e-05,2.8959485679534332e-05,2.6083100759018232e-05
11,2.7373969049390363e-05,2.8959485679534332e-05,2.658160552897395e-05
12,2.7932379055290655e-05,2.950113579372806e-05,2.727322314951181e-05
13,2.8452275717393145e-05,2.9903411979306838e-05,2.7878449958182326e-05
14,2.8863651738610177e-05,2.997961386257345e-05,2.8443028613686787e-05
15,2.9192290924241285e-05,3.006072265977274e-05,2.8846708590549817e-05
16,2.952812379719167e-05,3.0337044565118466e-05,2.913243605430286e-05
17,2.977873341960204e-05,3.0456234391179874e-05,2.9515067441929104e-05
18,3.0043409750145882e-05,3.096838128271035e-05,2.9743315189911066e-05
19,3.0239907469779964e-05,3.096838128271035e-05,2.9991302522268542e-05
20,3.045017072782559e-05,3.108582797102801e-05,3.0205092578608753e-05
21,3.0657013654631945e-05,3.1577617784514334e-05,3.0400680975253844e-05
22,3.085002470041689e-05,3.1577617784514334e-05,3.061005846521167e-05
23,3.101326222127949e-05,3.1855249745158005e-05,3.079765937788728e-05
24,3.113193597850424e-05,3.1855249745158005e-05,3.096838128271035e-05
25,3.129337660804638e-05,3.1855249745158005e-05,3.108582797102801e-05
26,3.144882081450525e-05,3.19744204636291e-05,3.130282351468102e-05
27,3.161105480802907e-05,3.234571095872687e-05,3.1426775612822124e-05
28,3.174621392696182e-05,3.234571095872687e-05,3.1577617784514334e-05
