Iteration,Avg,Max,Min
1,2.118195227835003e-05,2.2819067612897336e-05,2.055371713974472e-05
2,2.161833858151998e-05,2.3024498065942163e-05,2.1053518042864963e-05
3,2.2145905465491643e-05,2.3197550338684236e-05,2.154615185727829e-05
4,2.2564029692867352e-05,2.3197550338684236e-05,2.2069209039548023e-05
5,2.2902227646751546e-05,2.3865778859693085e-05,2.2508328081390114e-05
6,2.3164423012591207e-05,2.4816974810770568e-05,2.280917841339355e-05
7,2.35099163931715e-05,2.521686503933831e-05,2.3024498065942163e-05
8,2.3923491077464508e-05,2.521686503933831e-05,2.33029618064456e-05
9,2.4529441267295997e-05,2.5614097999538947e-05,2.3860653781913625e-05
10,2.49568653447021e-05,2.6195840100592027e-05,2.4380729471425787e-05
11,2.5286561932690963e-05,2.6195840100592027e-05,2.4899158408445795e-05
12,2.5550479637505705e-05,2.6195840100592027e-05,2.5207330291648813e-05
13,2.5739308727825364e-05,2.6419381258090937e-05,2.540392236561325e-05
14,2.5948739952135636e-05,2.6448729138564892e-05,2.5621316935690495e-05
15,2.6207801254817722e-05,2.6678049301035108e-05,2.597605008182456e-05
16,2.6320935485515223e-05,2.685500980207858e-05,2.6074259491030454e-05
17,2.643217334801021e-05,2.7043106712099086e-05,2.6234324990817986e-05
18,2.657563089601416e-05,2.742355683532154e-05,2.632479532471635e-05
19,2.677663545565594e-05,2.742355683532154e-05,2.6473235558850002e-05
20,2.6938734823823916e-05,2.7457440966501922e-05,2.6628321883154923e-05
21,2.7202104061031918e-05,2.8151568042339957e-05,2.6931674342193854e-05
22,2.735345037948182e-05,2.8151568042339957e-05,2.714661888861742e-05
23,2.755291991179487e-05,2.8461647929415115e-05,2.7313449142357696e-05
24,2.7746501482317493e-05,2.8494087476848555e-05,2.7443877270980843e-05
25,2.792609024854998e-05,2.863442430489935e-05,2.757555702625193e-05
26,2.8157288078587754e-05,2.863442430489935e-05,2.787068004459309e-05
27,2.841226045610573e-05,2.9063008602650547e-05,2.8151568042339957e-05
28,2.8542183420404965e-05,2.9063008602650547e-05,2.8391346317642383e-05
29,2.8661538536819077e-05,2.9279147391227968e-05,2.8469750889679714e-05
30,2.8728231718727e-05,2.9279147391227968e-05,2.852090582396897e-05
31,2.8838246087783483e-05,2.9279147391227968e-05,2.86000286000286e-05
32,2.9009736506945654e-05,2.9279147391227968e-05,2.872160151650056e-05
33,2.919039294148631e-05,2.9580547831745843e-05,2.9063008602650547e-05
34,2.932177832779807e-05,2.9580547831745843e-05,2.914857026262862e-05
35,2.9383503200037543e-05,2.9580547831745843e-05,2.92107261786528e-05
36,2.9462834420327454e-05,2.9580547831745843e-05,2.9279147391227968e-05
37,2.9520548546752382e-05,2.9580547831745843e-05,2.942820988199288e-05
38,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
39,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
40,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
41,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
42,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
43,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
44,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
45,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
46,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
47,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
48,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
49,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
50,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
51,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
52,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
53,2.9580547831745864e-05,2.9580547831745843e-05,2.9580547831745843e-05
