Iteration,Avg,Max,Min
1,2.1429697298792855e-05,2.5503047614189897e-05,1.854565011776488e-05
2,2.2192439739776975e-05,2.5503047614189897e-05,1.9412198625616337e-05
3,2.2743212810800593e-05,2.5561065385205254e-05,1.9625159454420567e-05
4,2.3306635562856603e-05,2.652449537147556e-05,2.0023627880899462e-05
5,2.3881250417977757e-05,2.726504348774436e-05,2.0903010033444815e-05
6,2.459640274580888e-05,2.7607531334548064e-05,2.18350146294598e-05
7,2.5138187908129434e-05,2.7883891475894377e-05,2.1865092380015304e-05
8,2.5612848782564434e-05,2.9227801484772315e-05,2.198768689533861e-05
9,2.621686451079612e-05,2.959105166597621e-05,2.2824796859307953e-05
10,2.6810825493417447e-05,3.0770177543924426e-05,2.3483549773383745e-05
11,2.76076846055434e-05,3.290123050602092e-05,2.4044241404183697e-05
12,2.8422177240888158e-05,3.290123050602092e-05,2.3990595686490896e-05
13,2.909711634240576e-05,3.3567184720217515e-05,2.498126405196103e-05
14,3.029295653486488e-05,3.3982397118292725e-05,2.6268092148467256e-05
15,3.1259229535539705e-05,3.5356928190078845e-05,2.7100271002710027e-05
16,3.182112185791531e-05,3.5641729336707415e-05,2.82845424975251e-05
17,3.246095403571181e-05,3.5641729336707415e-05,2.7696227773777213e-05
18,3.3197982218611045e-05,3.631477648255075e-05,2.9346167390538794e-05
19,3.354354020847978e-05,3.816356905697821e-05,2.9295444558371174e-05
20,3.395722261395372e-05,3.816356905697821e-05,2.9830265787668168e-05
21,3.4467726872485996e-05,3.816356905697821e-05,3.0325084910237748e-05
22,3.5195391657097675e-05,3.934684241589613e-05,3.0037246185269735e-05
23,3.603875703733643e-05,3.934684241589613e-05,3.1612556507444756e-05
24,3.694399923130036e-05,4.008337341670675e-05,3.37894914681534e-05
25,3.750066790632143e-05,4.008337341670675e-05,3.4332406358361656e-05
