Iteration,Avg,Max,Min
1,2.1026117604909326e-05,2.2414991146078496e-05,2.0618556701030927e-05
2,2.1351978539873476e-05,2.2414991146078496e-05,2.096655833944858e-05
3,2.1639275322894224e-05,2.2614713132363915e-05,2.127478512467024e-05
4,2.1901086374035327e-05,2.262750599628909e-05,2.1614611477358694e-05
5,2.2128954620586382e-05,2.318141777551115e-05,2.187752958935877e-05
6,2.2343002649199266e-05,2.318141777551115e-05,2.2077979423323178e-05
7,2.2572918390938138e-05,2.3252569408919687e-05,2.2309477065857575e-05
8,2.279272510300481e-05,2.3543260741612713e-05,2.2531149313926503e-05
9,2.3011353988583594e-05,2.3936615841252362e-05,2.2741744746656964e-05
10,2.3245415599556846e-05,2.4051180912982827e-05,2.2974245870379304e-05
11,2.347704108674597e-05,2.4535060601599685e-05,2.320131783485302e-05
12,2.369648743066626e-05,2.485212982752622e-05,2.343511987063814e-05
13,2.391650401664062e-05,2.5071453642882215e-05,2.3643456673365648e-05
14,2.409561410432875e-05,2.5071453642882215e-05,2.3843017572303952e-05
15,2.4313260769307304e-05,2.515786560668193e-05,2.4046554128793344e-05
16,2.452819351728276e-05,2.536204316619747e-05,2.4267721503628025e-05
17,2.4748522517304446e-05,2.554865741805268e-05,2.4489995836700708e-05
18,2.4948893882882318e-05,2.558788157928405e-05,2.4699896260435705e-05
19,2.516752413400546e-05,2.5989552200015593e-05,2.4913425845187973e-05
20,2.5430076888998473e-05,2.6083100759018232e-05,2.5135101168782203e-05
21,2.5680820522616927e-05,2.635046113306983e-05,2.5427176566314076e-05
22,2.5880908591137223e-05,2.645712622694923e-05,2.5668009959187865e-05
23,2.606128345292382e-05,2.664535038635758e-05,2.5854490925073685e-05
24,2.623315636682691e-05,2.703506447862878e-05,2.6031498112716386e-05
25,2.6419357187430846e-05,2.7243502424671715e-05,2.6213006894020814e-05
26,2.659372589881108e-05,2.7284385146380725e-05,2.6364355391510678e-05
27,2.676132837984472e-05,2.7583163237160036e-05,2.6555487691531455e-05
28,2.6952471320076418e-05,2.803947958725886e-05,2.6701556700755655e-05
29,2.7167478391205697e-05,2.8110417720807333e-05,2.689473401108063e-05
30,2.7397751166225242e-05,2.8331019633396607e-05,2.7073857483214208e-05
31,2.7684301785865833e-05,2.8494899413005074e-05,2.7281407720638384e-05
32,2.7975552443793405e-05,2.8553480669293585e-05,2.7657926761809936e-05
33,2.8185411415772336e-05,2.8658222043904397e-05,2.7980637398919947e-05
34,2.8316274805496536e-05,2.8762080073630926e-05,2.817774521682775e-05
35,2.841503842388648e-05,2.8762080073630926e-05,2.8310967668874922e-05
36,2.8507074025948847e-05,2.887836432944438e-05,2.8401022436807727e-05
37,2.859736575615476e-05,2.89779477817381e-05,2.849002849002849e-05
38,2.8698801244483304e-05,2.89779477817381e-05,2.858531286624932e-05
39,2.8803509013651763e-05,2.9118015316076056e-05,2.868370478731033e-05
40,2.888949875185261e-05,2.9197080291970804e-05,2.8793550244745177e-05
41,2.898228535258582e-05,2.9281719422564493e-05,2.8875028875028874e-05
42,2.9071552148689214e-05,2.9324653235975483e-05,2.8962840675413443e-05
43,2.915703599147341e-05,2.940830490530526e-05,2.906216396872911e-05
44,2.921745191402252e-05,2.942820988199288e-05,2.915026963999417e-05
45,2.9268378577840004e-05,2.945334590009425e-05,2.9203048798294542e-05
46,2.9321142037767974e-05,2.9537734455767243e-05,2.9248318221702253e-05
47,2.937146165141529e-05,2.9636654614427123e-05,2.9304888055327628e-05
48,2.9429651209755647e-05,2.965687001393873e-05,2.9367713136178086e-05
49,2.9468054774736734e-05,2.965687001393873e-05,2.9424746211563926e-05
50,2.9517919470427495e-05,2.9707088111223337e-05,2.945161100312187e-05
51,2.956956424578833e-05,2.9707088111223337e-05,2.9522038201517433e-05
52,2.960214689069957e-05,2.9707088111223337e-05,2.955781508630882e-05
53,2.964139042925159e-05,2.9754820280885503e-05,2.95980583673711e-05
54,2.9679339260046087e-05,2.9754820280885503e-05,2.9636654614427123e-05
55,2.970429897410505e-05,2.9754820280885503e-05,2.969738366049951e-05
56,2.970962344496738e-05,2.9754820280885503e-05,2.970091181799281e-05
57,2.971782344398605e-05,2.9754820280885503e-05,2.970091181799281e-05
58,2.973584506353367e-05,2.9754820280885503e-05,2.9707088111223337e-05
59,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
60,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
61,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
62,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
63,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
64,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
65,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
66,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
67,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
68,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
69,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
70,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
71,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
72,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
73,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
74,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
75,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
76,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
77,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
78,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
79,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
80,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
81,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
82,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
83,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
84,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
85,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
86,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
87,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
88,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
89,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
90,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
91,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
92,2.97548202808856e-05,2.9754820280885503e-05,2.9754820280885503e-05
