Iteration,Avg,Max,Min
1,2.10846477954533e-05,2.269941435510964e-05,2.063855695209791e-05
2,2.13750755318832e-05,2.269941435510964e-05,2.102342008998024e-05
3,2.1603052634936834e-05,2.269941435510964e-05,2.1307423506349613e-05
4,2.1852301152934987e-05,2.2794620469569182e-05,2.1598738633663794e-05
5,2.210757746271177e-05,2.3122991190140358e-05,2.1814056978316828e-05
6,2.236552075189382e-05,2.3143862247731902e-05,2.2080904433845612e-05
7,2.263407814757697e-05,2.338251455561531e-05,2.2327409127444852e-05
8,2.2829573268700737e-05,2.338251455561531e-05,2.256572266726842e-05
9,2.3062491917353548e-05,2.3921728105638353e-05,2.2808137943618282e-05
10,2.3267716801370392e-05,2.404308520869398e-05,2.3012311586698885e-05
11,2.3475354472023147e-05,2.431551816369207e-05,2.3256354798948812e-05
12,2.3657473794388577e-05,2.431551816369207e-05,2.342359224210625e-05
13,2.384407453295488e-05,2.441883180308654e-05,2.361553902467824e-05
14,2.4028793619547274e-05,2.4697456162015314e-05,2.379479369913863e-05
15,2.4229380730283873e-05,2.4877478418787472e-05,2.3991746839087353e-05
16,2.4430023435585075e-05,2.508403150554357e-05,2.419608507343512e-05
17,2.46303850002296e-05,2.529404325281396e-05,2.439559903393428e-05
18,2.4833859354411966e-05,2.5618691397243427e-05,2.4572439551798704e-05
19,2.5046110316432927e-05,2.586452163567235e-05,2.483114819229241e-05
20,2.52669017820995e-05,2.6038276266111184e-05,2.5010629517544957e-05
21,2.551490399316512e-05,2.6119890296460755e-05,2.52518875785965e-05
22,2.574136552336052e-05,2.6385920472835694e-05,2.5473812920317912e-05
23,2.5926087728776272e-05,2.6700843746662394e-05,2.5700334104343358e-05
24,2.6126039332265808e-05,2.6799592646191777e-05,2.5898013622355165e-05
25,2.6332210911646273e-05,2.713409670592066e-05,2.6080379730328874e-05
26,2.6528464582864767e-05,2.713409670592066e-05,2.6257056583956937e-05
27,2.673097607868296e-05,2.7205702315205268e-05,2.651464934376243e-05
28,2.6876187910312966e-05,2.7343322760581868e-05,2.6700843746662394e-05
29,2.702323624516838e-05,2.76464571065218e-05,2.6853567496441904e-05
30,2.7180527234797908e-05,2.7887001868429127e-05,2.699856907583898e-05
31,2.730402848115265e-05,2.7887001868429127e-05,2.714661888861742e-05
32,2.7421464330823493e-05,2.7898672023211696e-05,2.7260583921707604e-05
33,2.754987725569817e-05,2.8030048211682924e-05,2.7362775679964975e-05
34,2.7695318241786905e-05,2.808988764044944e-05,2.7536072254653597e-05
35,2.7829504054780168e-05,2.835994441450895e-05,2.7658691743880515e-05
36,2.7957105052445198e-05,2.835994441450895e-05,2.7817185457175443e-05
37,2.8068751456425707e-05,2.8611484649938486e-05,2.792984024131382e-05
38,2.818105469657504e-05,2.8611484649938486e-05,2.8044984154583953e-05
39,2.827910043175708e-05,2.8644266849989973e-05,2.8179333276974668e-05
40,2.836362268740992e-05,2.8743065735391335e-05,2.8282142655127553e-05
41,2.84117013463741e-05,2.8743065735391335e-05,2.833744226246139e-05
42,2.847360835488294e-05,2.8784433378428946e-05,2.835994441450895e-05
43,2.8576942195713846e-05,2.888420322925392e-05,2.8410705153701913e-05
44,2.8674718468377542e-05,2.888420322925392e-05,2.8611484649938486e-05
45,2.872147126772545e-05,2.888420322925392e-05,2.8644266849989973e-05
46,2.8770203139270498e-05,2.888420322925392e-05,2.8743065735391335e-05
47,2.8806954962359652e-05,2.888420322925392e-05,2.8784433378428946e-05
48,2.8826102586399944e-05,2.888420322925392e-05,2.8784433378428946e-05
49,2.887247233813611e-05,2.888420322925392e-05,2.8784433378428946e-05
50,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
51,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
52,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
53,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
54,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
55,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
56,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
57,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
58,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
59,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
60,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
61,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
62,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
63,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
64,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
65,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
66,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
67,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
68,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
69,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
70,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
71,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
72,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
73,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
74,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
75,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
76,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
77,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
78,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
79,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
80,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
81,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
82,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
83,2.8884203229253962e-05,2.888420322925392e-05,2.888420322925392e-05
84,2.888932365374302e-05,2.8903404821087924e-05,2.888420322925392e-05
85,2.889495612068097e-05,2.8903404821087924e-05,2.888420322925392e-05
86,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
87,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
88,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
89,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
90,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
91,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
92,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
93,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
94,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
95,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
96,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
97,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
98,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
99,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
100,2.890340482108789e-05,2.8903404821087924e-05,2.8903404821087924e-05
