Iteration,Avg,Max,Min
1,2.1340029266311853e-05,2.330730684069456e-05,2.0535145902211634e-05
2,2.1963237892654238e-05,2.40633346969223e-05,2.1315598755169033e-05
3,2.2400271944956675e-05,2.40633346969223e-05,2.185792349726776e-05
4,2.2945717745468912e-05,2.506831114787797e-05,2.2284619155858625e-05
5,2.343583426705872e-05,2.5109855618330194e-05,2.2870211549456832e-05
6,2.390225668298146e-05,2.5311329351017516e-05,2.332089552238806e-05
7,2.434246358039206e-05,2.6516758591429783e-05,2.3788001332128076e-05
8,2.484397364539644e-05,2.6516758591429783e-05,2.4287761397032035e-05
9,2.526414458933558e-05,2.6952724920489463e-05,2.4769642326364806e-05
10,2.5718720753467377e-05,2.698836801338623e-05,2.515786560668193e-05
11,2.616891958255335e-05,2.7500481258422024e-05,2.5666692333359e-05
12,2.6644480038271484e-05,2.8125439459991562e-05,2.612944527187688e-05
13,2.71057506467546e-05,2.9026733621665555e-05,2.6610606987945394e-05
14,2.7560869649121776e-05,2.9262012055948967e-05,2.691355366562601e-05
15,2.8090509569747706e-05,2.939188196220204e-05,2.7498968788670424e-05
16,2.8585655025350158e-05,3.0124111338715508e-05,2.8022193577313233e-05
17,2.899965341161773e-05,3.0316810671517358e-05,2.858858172046085e-05
18,2.940457797580837e-05,3.064570500444363e-05,2.897207092362962e-05
19,2.9736854446537597e-05,3.072951877573597e-05,2.9320354189878612e-05
20,3.0130065385740145e-05,3.1538776926230804e-05,2.97167989064218e-05
21,3.045245483202484e-05,3.198669353548924e-05,3.0071570337403018e-05
22,3.073393728523879e-05,3.202049311559398e-05,3.0359148729469626e-05
23,3.1010875869954055e-05,3.202049311559398e-05,3.064382680109092e-05
24,3.1378297347259496e-05,3.248546275541695e-05,3.093867953715735e-05
25,3.1783124237247704e-05,3.290556103981573e-05,3.137451761679164e-05
26,3.205683558320222e-05,3.290556103981573e-05,3.172387538861747e-05
27,3.228571120071365e-05,3.292831505811848e-05,3.2024594888874656e-05
28,3.250987516909745e-05,3.3206043499916987e-05,3.2241423781274184e-05
29,3.272404802988418e-05,3.3367813407187425e-05,3.2484407484407486e-05
30,3.289757479484197e-05,3.375755325254026e-05,3.267760277106072e-05
31,3.3060561070832175e-05,3.375755325254026e-05,3.290556103981573e-05
32,3.3253374420181344e-05,3.388796638313735e-05,3.298261816022956e-05
33,3.3443226553348325e-05,3.4030968181044753e-05,3.318841060701603e-05
34,3.361613926522722e-05,3.412619868272873e-05,3.343028114866446e-05
35,3.3772355061324425e-05,3.4130857708454215e-05,3.36089265308866e-05
36,3.383923705921313e-05,3.4163506542311505e-05,3.375755325254026e-05
37,3.393561984906947e-05,3.447206039504981e-05,3.375755325254026e-05
38,3.408154135178208e-05,3.460806367883717e-05,3.3973161202649904e-05
39,3.4148723814684905e-05,3.460806367883717e-05,3.40657468915006e-05
40,3.422579259233458e-05,3.460806367883717e-05,3.4143676591095326e-05
41,3.429581395424318e-05,3.460806367883717e-05,3.418219107844813e-05
42,3.440056434175303e-05,3.4668053388802216e-05,3.42383675146369e-05
43,3.451631194233675e-05,3.480561066443911e-05,3.439144340887987e-05
44,3.458903457969985e-05,3.4936938825420114e-05,3.447206039504981e-05
45,3.462934232730263e-05,3.4936938825420114e-05,3.460806367883717e-05
46,3.464907844495854e-05,3.4936938825420114e-05,3.460806367883717e-05
47,3.468012276736249e-05,3.4936938825420114e-05,3.460806367883717e-05
48,3.474068895592527e-05,3.5138269088864683e-05,3.460806367883717e-05
49,3.4848929394798286e-05,3.5138269088864683e-05,3.476930565696603e-05
50,3.490757599098183e-05,3.5138269088864683e-05,3.480561066443911e-05
51,3.497988928162162e-05,3.5138269088864683e-05,3.4936938825420114e-05
52,3.5030892948360926e-05,3.5138269088864683e-05,3.4936938825420114e-05
53,3.5136926887108336e-05,3.5138269088864683e-05,3.4936938825420114e-05
54,3.513826908886463e-05,3.5138269088864683e-05,3.5138269088864683e-05
55,3.513826908886463e-05,3.5138269088864683e-05,3.5138269088864683e-05
56,3.513826908886463e-05,3.5138269088864683e-05,3.5138269088864683e-05
