Iteration,Avg,Max,Min
1,4.120242871819949e-06,4.349433486288411e-06,3.869519792593739e-06
2,4.1319833013060956e-06,4.349433486288411e-06,3.934993900759454e-06
3,4.146152165869003e-06,4.349433486288411e-06,3.950539248607435e-06
4,4.168624057705878e-06,4.373400975268417e-06,3.993610223642173e-06
5,4.1919719637937265e-06,4.397053973837529e-06,4.037223197884495e-06
6,4.215568655581484e-06,4.397053973837529e-06,4.06371911573472e-06
7,4.24546020090525e-06,4.397053973837529e-06,4.10559592724884e-06
8,4.2712359145992135e-06,4.397053973837529e-06,4.134879778370444e-06
9,4.301291118046033e-06,4.398214324984056e-06,4.176760504552669e-06
10,4.323982219792532e-06,4.398214324984056e-06,4.213364793123789e-06
11,4.33729614958898e-06,4.432722356435205e-06,4.246104199397053e-06
12,4.35207562886765e-06,4.432722356435205e-06,4.289452236949342e-06
13,4.364804391634428e-06,4.432722356435205e-06,4.31480842250604e-06
14,4.3786097771264714e-06,4.432722356435205e-06,4.338583018786065e-06
15,4.392640725961136e-06,4.476977145031675e-06,4.342633807404191e-06
16,4.397383235419359e-06,4.476977145031675e-06,4.29331959471063e-06
17,4.407073689638985e-06,4.476977145031675e-06,4.320494264543864e-06
18,4.420933351078327e-06,4.484204390036098e-06,4.367193641366058e-06
19,4.42188739173708e-06,4.484204390036098e-06,4.338112487256794e-06
20,4.441591380047316e-06,4.495190146543199e-06,4.375793112501641e-06
21,4.438501215171012e-06,4.495190146543199e-06,4.332567913002036e-06
22,4.428814563370644e-06,4.495190146543199e-06,4.2149631190727085e-06
23,4.467987888552423e-06,4.495190146543199e-06,4.3600531926489505e-06
24,4.450400336258154e-06,4.495190146543199e-06,4.30950893145726e-06
25,4.469917694214852e-06,4.495190146543199e-06,4.365477801545379e-06
26,4.463806698515885e-06,4.503490204908804e-06,4.345086793108692e-06
27,4.474649097559214e-06,4.503490204908804e-06,4.406256884776382e-06
28,4.483225775670614e-06,4.503490204908804e-06,4.381256982628316e-06
29,4.491013737616054e-06,4.503490204908804e-06,4.442075337597726e-06
30,4.489949400286344e-06,4.5079565432989225e-06,4.4213551453520506e-06
31,4.471695056715181e-06,4.5079565432989225e-06,4.293688278231e-06
32,4.491814297259826e-06,4.5079565432989225e-06,4.416766043902655e-06
