Iteration,Avg,Max,Min
1,2.1500391159817743e-05,2.409058058299205e-05,2.0710365537951745e-05
2,2.2051183746498048e-05,2.4296613052140532e-05,2.1408233606645115e-05
3,2.2542609115360112e-05,2.4734720126641766e-05,2.19264586576622e-05
4,2.301378340921767e-05,2.5145213608589605e-05,2.242403856934634e-05
5,2.354183881324598e-05,2.5145213608589605e-05,2.2910032303145547e-05
6,2.4042148838768646e-05,2.6049128656646437e-05,2.3466466419486555e-05
7,2.449030331731111e-05,2.6137640816539898e-05,2.4025178386949524e-05
8,2.49266501291585e-05,2.7005130974885227e-05,2.4389649032950417e-05
9,2.5377636162456312e-05,2.7005130974885227e-05,2.4770869457517957e-05
10,2.5968425064207617e-05,2.807884539787724e-05,2.53324889170361e-05
