Iteration,Avg,Max,Min
1,2.1542753233444836e-05,2.3080829063379955e-05,2.0747318409095626e-05
2,2.208792437793525e-05,2.434926586963403e-05,2.1389916793223675e-05
3,2.257139792176407e-05,2.4544695891217908e-05,2.205071664829107e-05
4,2.3049635681019653e-05,2.4845337772367015e-05,2.2390900338102596e-05
5,2.3650467528654645e-05,2.5173064820641914e-05,2.2900064120179538e-05
6,2.4055777699103666e-05,2.53151739152448e-05,2.3407691767514807e-05
7,2.4579057223365572e-05,2.576522724930434e-05,2.4158674171961443e-05
8,2.4764060233799677e-05,2.6227444397817876e-05,2.436469069025169e-05
9,2.511876522056254e-05,2.6273613410052286e-05,2.4594195769798327e-05
10,2.549037895022996e-05,2.6785953446012912e-05,2.489481938808534e-05
11,2.595546490443591e-05,2.6834111522567488e-05,2.536204316619747e-05
12,2.627358263854311e-05,2.6881720430107527e-05,2.583044893320246e-05
13,2.654198976367671e-05,2.7320911425605157e-05,2.619378159624905e-05
14,2.683479921873639e-05,2.79041214387365e-05,2.6587259385302562e-05
15,2.6970289210407577e-05,2.79041214387365e-05,2.6781649213958597e-05
16,2.706292623230955e-05,2.79041214387365e-05,2.6852125345721114e-05
17,2.722858681270751e-05,2.79041214387365e-05,2.695999137280276e-05
18,2.7468807400135562e-05,2.8104097577426788e-05,2.7168745075664954e-05
19,2.7675513667301858e-05,2.8741413502716065e-05,2.737700878801982e-05
20,2.7983770202918827e-05,2.8890879149452517e-05,2.768319353320599e-05
21,2.8302067450004005e-05,2.9733587059942913e-05,2.7890890835053272e-05
22,2.8558318698893962e-05,2.9733587059942913e-05,2.8189660032700004e-05
23,2.8852330623687534e-05,2.9733587059942913e-05,2.8575510787255323e-05
24,2.897295842419311e-05,2.9733587059942913e-05,2.8741413502716065e-05
25,2.9204235758460826e-05,2.9986805805445604e-05,2.887753039360074e-05
26,2.9457130448157145e-05,3.0291097446460486e-05,2.91468710833892e-05
27,2.9601683712217505e-05,3.071724773460298e-05,2.9328953542937587e-05
28,2.9788446476364008e-05,3.071724773460298e-05,2.9422148993762505e-05
29,3.004368100629026e-05,3.071724773460298e-05,2.9733587059942913e-05
30,3.0242160983004538e-05,3.071724773460298e-05,2.99805126667666e-05
31,3.0383486988493558e-05,3.081284279287607e-05,3.0229746070133012e-05
32,3.052187717797871e-05,3.081284279287607e-05,3.0291097446460486e-05
33,3.067067557995645e-05,3.081284279287607e-05,3.0410850591491042e-05
34,3.074325078619387e-05,3.081284279287607e-05,3.0663559425978165e-05
35,3.077078096723591e-05,3.081284279287607e-05,3.071724773460298e-05
