Iteration,Avg,Max,Min
1,2.0607820173711903e-05,2.2077979423323178e-05,1.9573685137700873e-05
2,2.06328516083482e-05,2.213074846191298e-05,1.960438354015958e-05
3,2.0651940904916618e-05,2.213074846191298e-05,1.965022597759874e-05
4,2.070055503849875e-05,2.2333891680625348e-05,1.969783520791065e-05
5,2.0755790277349905e-05,2.2333891680625348e-05,1.9844025955985952e-05
6,2.0817145203322528e-05,2.2333891680625348e-05,1.9933819718534465e-05
7,2.0897237216288676e-05,2.2649543611696225e-05,2.0061387846811243e-05
8,2.098163083375137e-05,2.2649543611696225e-05,2.0121534065757174e-05
9,2.1083894400979858e-05,2.3155652294725142e-05,2.0209369063497837e-05
10,2.118674147887696e-05,2.3155652294725142e-05,2.030456852791878e-05
11,2.1313503450584364e-05,2.3155652294725142e-05,2.0390269763268967e-05
12,2.144794512975081e-05,2.3155652294725142e-05,2.0484247613585153e-05
13,2.1614654421502964e-05,2.3431825104857417e-05,2.0610057708161584e-05
14,2.1783920989027834e-05,2.3718602499940705e-05,2.074516637623434e-05
15,2.1987324354201522e-05,2.3818030248898416e-05,2.0844189682126108e-05
16,2.2207514219349707e-05,2.390628735357399e-05,2.0951183741881417e-05
17,2.244263349092959e-05,2.3994625203954313e-05,2.1220159151193635e-05
18,2.26794690439571e-05,2.4165679901404027e-05,2.1439444289604014e-05
19,2.2922535891534735e-05,2.4635396137169885e-05,2.1761364872804822e-05
20,2.316409110269618e-05,2.4635396137169885e-05,2.199978000219998e-05
21,2.3411137143227588e-05,2.4635396137169885e-05,2.2275187668456106e-05
22,2.3636247748026147e-05,2.47469623103764e-05,2.2546897546897547e-05
23,2.3870771015674283e-05,2.5035675838069248e-05,2.2903735599276242e-05
24,2.4094397248933916e-05,2.5363973012732714e-05,2.3173359905452693e-05
25,2.4310298455059067e-05,2.5470568757800363e-05,2.3479138785189358e-05
26,2.45186639122789e-05,2.557152355137319e-05,2.3781778401388856e-05
27,2.4724507151756465e-05,2.5672622715136577e-05,2.398541686654514e-05
28,2.494085917212758e-05,2.591143471614023e-05,2.4287761397032035e-05
29,2.5134461236887022e-05,2.596525848414821e-05,2.446842349947393e-05
30,2.531664734896995e-05,2.596525848414821e-05,2.4457053414204656e-05
31,2.549998712220972e-05,2.612739718869206e-05,2.4933303413369238e-05
32,2.5646212221751814e-05,2.612739718869206e-05,2.5220044891679908e-05
33,2.5757560109809554e-05,2.6140373807345446e-05,2.5363973012732714e-05
34,2.584806482781878e-05,2.635393332454869e-05,2.554735201696344e-05
35,2.594009463767313e-05,2.635393332454869e-05,2.5657472738935215e-05
36,2.6027863035041073e-05,2.6400549131421932e-05,2.576921094676081e-05
37,2.611227330829767e-05,2.646412787466589e-05,2.5877908029914863e-05
38,2.6193106279868872e-05,2.6494979201441327e-05,2.5980774227071968e-05
39,2.627310483281595e-05,2.6494979201441327e-05,2.6074259491030454e-05
40,2.6342420150841357e-05,2.6494979201441327e-05,2.612739718869206e-05
41,2.639393723677758e-05,2.6494979201441327e-05,2.616362732529238e-05
42,2.644187551890346e-05,2.6494979201441327e-05,2.632895395065954e-05
43,2.6469794297177236e-05,2.6494979201441327e-05,2.6400549131421932e-05
44,2.6482831344142383e-05,2.6494979201441327e-05,2.6310942721077695e-05
45,2.6489155107489583e-05,2.6494979201441327e-05,2.622950819672131e-05
46,2.648503293753047e-05,2.6494979201441327e-05,2.586117720078618e-05
47,2.6494083671730552e-05,2.6494979201441327e-05,2.6318559848405097e-05
48,2.6494979201441395e-05,2.6494979201441327e-05,2.6494979201441327e-05
49,2.6494979201441395e-05,2.6494979201441327e-05,2.6494979201441327e-05
50,2.6494979201441395e-05,2.6494979201441327e-05,2.6494979201441327e-05
