Iteration,Avg,Max,Min
1,2.0959119400375645e-05,2.1742439066814515e-05,2.057316847367663e-05
2,2.1275948962709874e-05,2.211166390270868e-05,2.0937585058939304e-05
3,2.1526653188130947e-05,2.2562158747348947e-05,2.1223762124074112e-05
4,2.180967395513812e-05,2.3080296351005146e-05,2.1493820526598603e-05
5,2.206275632159855e-05,2.309575500023096e-05,2.1703272853546315e-05
6,2.232856212050178e-05,2.3945786738823304e-05,2.1996392591614976e-05
7,2.264512552746575e-05,2.3945786738823304e-05,2.2229632099588753e-05
8,2.2959137634582542e-05,2.3945786738823304e-05,2.2608066558147947e-05
9,2.320720834099643e-05,2.4073762006788802e-05,2.294209415435441e-05
10,2.3423146329142e-05,2.427302296227972e-05,2.316316130825535e-05
11,2.3656822633110698e-05,2.4679170779861795e-05,2.3401666198633343e-05
12,2.392886898449665e-05,2.4978144123891593e-05,2.362055933484505e-05
13,2.418917857680504e-05,2.5107964246258914e-05,2.391371930076285e-05
14,2.439544590282035e-05,2.5107964246258914e-05,2.4120796951131264e-05
15,2.467275505896266e-05,2.5556492626951876e-05,2.4343931057987243e-05
16,2.4885341949182335e-05,2.5556492626951876e-05,2.461356699812937e-05
17,2.5093139066713767e-05,2.5775853180740283e-05,2.482560015888384e-05
18,2.5287608823509396e-05,2.577917558196489e-05,2.5084660729963627e-05
19,2.546406993242158e-05,2.5959192149940294e-05,2.5265923848505522e-05
20,2.559310543634666e-05,2.618075191119489e-05,2.5438819638768762e-05
21,2.573248088823914e-05,2.6290882322010725e-05,2.55656397801355e-05
22,2.5875874797936363e-05,2.6441735635527116e-05,2.5705619248367694e-05
23,2.603979233234989e-05,2.6621233095516984e-05,2.5853154084798345e-05
24,2.619901296817365e-05,2.6752989646593008e-05,2.6026078130286547e-05
25,2.6373899583892386e-05,2.6793130241406102e-05,2.6195153896529142e-05
26,2.6508007334258442e-05,2.703287197231834e-05,2.633658151171978e-05
27,2.665905671243967e-05,2.703287197231834e-05,2.6470432526867487e-05
28,2.6798126213046514e-05,2.7216809101300964e-05,2.6632576968147438e-05
29,2.6906981118703302e-05,2.7257611688063892e-05,2.6793130241406102e-05
30,2.699010166015087e-05,2.7257611688063892e-05,2.6886056890896382e-05
31,2.7081291834199032e-05,2.738000711880185e-05,2.6992738953221582e-05
32,2.7169535067480947e-05,2.738000711880185e-05,2.706286704013423e-05
33,2.72479359492168e-05,2.749216473305108e-05,2.7170221437304713e-05
34,2.7325109592492464e-05,2.7524703421320635e-05,2.725166916473634e-05
35,2.7386119010080496e-05,2.7554281935412764e-05,2.7309719529180435e-05
36,2.742002995882647e-05,2.7659456768269073e-05,2.738000711880185e-05
37,2.7470766556634008e-05,2.7659456768269073e-05,2.7386755764912087e-05
38,2.7522237901893838e-05,2.77069710739222e-05,2.745141100252553e-05
39,2.7553774274922926e-05,2.77069710739222e-05,2.7524703421320635e-05
40,2.757975482697463e-05,2.7813317016187352e-05,2.7534555867613855e-05
41,2.7609752391427277e-05,2.7813317016187352e-05,2.7554281935412764e-05
42,2.7651215658708e-05,2.7813317016187352e-05,2.7608293531376825e-05
43,2.7685854687361466e-05,2.7813317016187352e-05,2.7659456768269073e-05
44,2.77194756684891e-05,2.7887001868429127e-05,2.7659456768269073e-05
45,2.7777335119837393e-05,2.7887001868429127e-05,2.77069710739222e-05
46,2.7824557670618797e-05,2.7887001868429127e-05,2.7813317016187352e-05
47,2.7836838479325745e-05,2.7887001868429127e-05,2.7813317016187352e-05
48,2.7856632287513328e-05,2.7887001868429127e-05,2.7813317016187352e-05
49,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
50,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
51,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
52,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
53,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
54,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
55,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
56,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
57,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
58,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
59,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
60,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
61,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
62,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
63,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
64,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
65,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
66,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
67,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
68,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
69,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
70,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
71,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
72,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
73,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
74,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
75,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
76,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
77,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
78,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
79,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
80,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
81,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
82,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
83,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
84,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
85,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
86,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
87,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
88,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
89,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
90,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
91,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
92,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
93,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
94,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
95,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
96,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
97,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
98,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
99,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
100,2.7887001868429205e-05,2.7887001868429127e-05,2.7887001868429127e-05
