Iteration,Avg,Max,Min
1,2.0584104358532356e-05,2.1698092737648362e-05,1.9536973722770343e-05
2,2.0616676411423055e-05,2.180121650788114e-05,1.957905041605482e-05
3,2.0678822794515335e-05,2.2462824026236578e-05,1.9795708290442633e-05
4,2.072305432481388e-05,2.2462824026236578e-05,1.9813750743015655e-05
5,2.0803156737905502e-05,2.2462824026236578e-05,1.9940577080300703e-05
6,2.0886232578508596e-05,2.2462824026236578e-05,2.0048115477145148e-05
7,2.0986357001581175e-05,2.2462824026236578e-05,2.0263835133437355e-05
8,2.1112365823900734e-05,2.2693232877955795e-05,2.0312404785602567e-05
9,2.1236079757968077e-05,2.2700444928720602e-05,2.0377804495343672e-05
10,2.1404919013989224e-05,2.2700444928720602e-05,2.0449061388082287e-05
11,2.1584686330755505e-05,2.3251488095238094e-05,2.0614731286977675e-05
12,2.179971910391598e-05,2.3251488095238094e-05,2.0720664718924182e-05
13,2.200749952331372e-05,2.3416461772626156e-05,2.0951183741881417e-05
14,2.224374195240412e-05,2.3712415820923836e-05,2.1104170184028365e-05
15,2.2486990041523116e-05,2.3712415820923836e-05,2.1490587122840196e-05
16,2.2716107141354786e-05,2.3848703822947222e-05,2.169950525128027e-05
17,2.2936377892512087e-05,2.3866348448687352e-05,2.209700585570655e-05
18,2.3147697876027844e-05,2.4151672503320856e-05,2.238388360380526e-05
19,2.3373909586459132e-05,2.42883513067133e-05,2.268551076427486e-05
20,2.3570335767844392e-05,2.434156078087727e-05,2.293525377858306e-05
21,2.3752707907713876e-05,2.4412274491614384e-05,2.3166917641607783e-05
22,2.3927973671428504e-05,2.4536264599077437e-05,2.3355209379452086e-05
23,2.4087353494639842e-05,2.461114392596968e-05,2.358434942572109e-05
24,2.4212173118532745e-05,2.4664561957379637e-05,2.3869196801527628e-05
25,2.43139848394146e-05,2.4668821077040727e-05,2.3942346828836164e-05
26,2.442581606639948e-05,2.4737779536908766e-05,2.4106841521623838e-05
27,2.45111631247888e-05,2.4737779536908766e-05,2.42518310132415e-05
28,2.4584557592323798e-05,2.4791134690234772e-05,2.44081034903588e-05
29,2.4642360571297973e-05,2.479974208268234e-05,2.449719507116435e-05
30,2.4652540963009885e-05,2.4871909665224097e-05,2.3944066660281583e-05
31,2.47244808326251e-05,2.4928331048236322e-05,2.4260067928190198e-05
32,2.4778398902485925e-05,2.4942631946522997e-05,2.4664561957379637e-05
33,2.4830223708665485e-05,2.4942631946522997e-05,2.4714546982353814e-05
34,2.487086282623194e-05,2.4942631946522997e-05,2.477271038224292e-05
35,2.4906766189329852e-05,2.4946987651241113e-05,2.4812664383901544e-05
36,2.4911737709013948e-05,2.495321272613849e-05,2.458875310433008e-05
37,2.4936451153351114e-05,2.495321272613849e-05,2.4915908807773765e-05
38,2.494264264488794e-05,2.495321272613849e-05,2.4934546814611646e-05
39,2.4947579876807803e-05,2.495321272613849e-05,2.4936412149019997e-05
40,2.494949929939856e-05,2.495321272613849e-05,2.4885526577742385e-05
41,2.495321272613854e-05,2.495321272613849e-05,2.495321272613849e-05
42,2.4953212726138543e-05,2.495321272613849e-05,2.495321272613849e-05
43,2.4953212726138543e-05,2.495321272613849e-05,2.495321272613849e-05
44,2.4950680180741036e-05,2.495321272613849e-05,2.4770869457517957e-05
45,2.495048322288404e-05,2.495321272613849e-05,2.4821286735504367e-05
46,2.4945827106602398e-05,2.495321272613849e-05,2.44140625e-05
47,2.4953212726138547e-05,2.495321272613849e-05,2.495321272613849e-05
48,2.4953212726138547e-05,2.495321272613849e-05,2.495321272613849e-05
49,2.4953212726138547e-05,2.495321272613849e-05,2.495321272613849e-05
50,2.494565747521991e-05,2.495321272613849e-05,2.465118572203323e-05
51,2.495205394942868e-05,2.495321272613849e-05,2.4865725084543466e-05
52,2.495321272613855e-05,2.495321272613849e-05,2.495321272613849e-05
53,2.495321272613855e-05,2.495321272613849e-05,2.495321272613849e-05
54,2.495321272613855e-05,2.495321272613849e-05,2.495321272613849e-05
55,2.495321272613855e-05,2.495321272613849e-05,2.495321272613849e-05
56,2.4948912672248123e-05,2.495321272613849e-05,2.461780852268531e-05
57,2.4953212726138553e-05,2.495321272613849e-05,2.495321272613849e-05
58,2.495321272613855e-05,2.495321272613849e-05,2.495321272613849e-05
59,2.4952305544992306e-05,2.495321272613849e-05,2.4808970923886077e-05
60,2.4950496864561014e-05,2.495321272613849e-05,2.4735943799935685e-05
61,2.4942533043181086e-05,2.495321272613849e-05,2.460932693490833e-05
62,2.4953212726138543e-05,2.495321272613849e-05,2.495321272613849e-05
63,2.495321272613854e-05,2.495321272613849e-05,2.495321272613849e-05
64,2.495321272613854e-05,2.495321272613849e-05,2.495321272613849e-05
65,2.4950777040185935e-05,2.495321272613849e-05,2.4551324543959147e-05
66,2.4951111944274995e-05,2.495321272613849e-05,2.4604482936791083e-05
67,2.4945668572260318e-05,2.495321272613849e-05,2.453325482691789e-05
68,2.495321272613853e-05,2.495321272613849e-05,2.495321272613849e-05
