Iteration,Avg,Max,Min
1,2.157032369445613e-05,2.4458249767646627e-05,2.067910169982216e-05
2,2.2124759652170802e-05,2.4458249767646627e-05,2.1467519642780472e-05
3,2.2713298745573314e-05,2.511868579035945e-05,2.2041482069254335e-05
4,2.332070240487383e-05,2.511868579035945e-05,2.26690544737379e-05
5,2.3871629767561344e-05,2.6412403264573045e-05,2.3199164830066116e-05
6,2.4497380306115683e-05,2.6412403264573045e-05,2.3744509082274723e-05
7,2.5061583228165534e-05,2.6962899050905955e-05,2.4325573475394683e-05
8,2.5652216777593405e-05,2.7408524050979856e-05,2.5002500250025003e-05
9,2.603794461883404e-05,2.7408524050979856e-05,2.5604260548955347e-05
10,2.6406723345965585e-05,2.7615155197172207e-05,2.6029465354781613e-05
11,2.679881965977368e-05,2.8197608842770133e-05,2.6317867200042108e-05
12,2.709373604472573e-05,2.8197608842770133e-05,2.668801708033093e-05
13,2.7423087232982558e-05,2.838328792007266e-05,2.7016804452369373e-05
14,2.7811745789338917e-05,2.9005685114282398e-05,2.7408524050979856e-05
15,2.814133335295117e-05,2.928772258669166e-05,2.769852920809905e-05
16,2.8497153393805147e-05,2.9549081023580167e-05,2.8089098620825256e-05
17,2.880816026158059e-05,2.9706205626355346e-05,2.8411512344802115e-05
18,2.9084253170949728e-05,2.9925784055542255e-05,2.8754636685165482e-05
19,2.935633752945792e-05,3.004717406327935e-05,2.9041907472482794e-05
20,2.9614541951712767e-05,3.074368985765672e-05,2.9312619082515022e-05
21,2.9874490204669092e-05,3.0843254580223306e-05,2.9578797917652626e-05
22,3.012252961989213e-05,3.092528451261752e-05,2.981959147159684e-05
23,3.0362858480418946e-05,3.1345997116168264e-05,3.0062530062530064e-05
24,3.055055413629127e-05,3.1345997116168264e-05,3.0278257183516515e-05
25,3.0745290115564884e-05,3.135385966012416e-05,3.045994517209869e-05
26,3.093402702518008e-05,3.15357931251971e-05,3.069461923324841e-05
27,3.116137474237288e-05,3.213574137155344e-05,3.0905213709552804e-05
28,3.140070228801687e-05,3.2255983484936457e-05,3.11710981577881e-05
29,3.160941331224574e-05,3.248018708587761e-05,3.1345997116168264e-05
30,3.1852507827604545e-05,3.269897325223988e-05,3.156964263164541e-05
31,3.210201563865839e-05,3.290339563042906e-05,3.1791448100460974e-05
32,3.240476977420116e-05,3.347056264015798e-05,3.21099444497961e-05
33,3.2636096477502694e-05,3.347056264015798e-05,3.236874474007898e-05
34,3.281352869733769e-05,3.3734777181796714e-05,3.261365860022177e-05
35,3.301101497852265e-05,3.4312379906670324e-05,3.2751449251629386e-05
36,3.324728716180468e-05,3.4312379906670324e-05,3.294458720432233e-05
37,3.351997320753133e-05,3.4312379906670324e-05,3.3193918874062273e-05
38,3.378984856679152e-05,3.451727589658624e-05,3.349747094094396e-05
39,3.399120796243832e-05,3.45435075477564e-05,3.3734777181796714e-05
40,3.41811394476781e-05,3.464283239797686e-05,3.393396450507313e-05
41,3.439473666200142e-05,3.4904013961605584e-05,3.417985439382028e-05
42,3.453142148573164e-05,3.501645773513551e-05,3.435599683924829e-05
43,3.46839305579777e-05,3.524850193866761e-05,3.449822334149791e-05
44,3.4824380573127724e-05,3.566079452250196e-05,3.4653636899192574e-05
45,3.494889545210897e-05,3.5857716580608144e-05,3.4804399276068494e-05
46,3.5054136269152483e-05,3.5857716580608144e-05,3.4888183372291806e-05
