Iteration,Avg,Max,Min
1,2.1511106986141335e-05,2.44140625e-05,2.063855695209791e-05
2,2.206383054287633e-05,2.44140625e-05,2.1357025393503193e-05
3,2.26228452936256e-05,2.4743288383026105e-05,2.1887106305675328e-05
4,2.31728722113099e-05,2.584380007236264e-05,2.242755898448013e-05
5,2.3828477935816584e-05,2.6511134676564155e-05,2.2996435552489364e-05
6,2.4497723212605663e-05,2.7434842249657064e-05,2.367928772702517e-05
7,2.5136614732367916e-05,2.7434842249657064e-05,2.4348080153879866e-05
8,2.5699507784879465e-05,2.7632706070905525e-05,2.499000399840064e-05
9,2.6305818210968217e-05,2.7755419245607703e-05,2.5594430651890148e-05
10,2.686505985908599e-05,2.8933510792199525e-05,2.6284662899198317e-05
11,2.725329058929654e-05,2.952378140592247e-05,2.6758000642192015e-05
12,2.7665573040960478e-05,2.966918854769322e-05,2.7159890274043293e-05
13,2.8067920885913786e-05,3.0185945423810673e-05,2.7489897462682465e-05
14,2.851609877651643e-05,3.0233401862377556e-05,2.796498783523029e-05
15,2.892954455393714e-05,3.1308703819661866e-05,2.842362571769655e-05
16,2.9304619561016605e-05,3.136270973812137e-05,2.878857669276831e-05
17,2.9693273290270864e-05,3.136270973812137e-05,2.9186002393252197e-05
18,3.009443697426668e-05,3.136270973812137e-05,2.954646181119811e-05
19,3.0503197328074083e-05,3.155071777882947e-05,3.0058011963088763e-05
20,3.07949763175659e-05,3.160256612836963e-05,3.037667071688943e-05
21,3.108920548756054e-05,3.250024375182814e-05,3.070781513895286e-05
22,3.134075611088109e-05,3.250024375182814e-05,3.102795618852586e-05
23,3.155003164561198e-05,3.250024375182814e-05,3.1277367696734645e-05
24,3.1751249105964136e-05,3.2665860908764253e-05,3.1494079113126735e-05
25,3.1943807786919124e-05,3.2835330815957974e-05,3.169270750800241e-05
26,3.2168762102578284e-05,3.3655302392892e-05,3.189589180913498e-05
27,3.240120075631281e-05,3.3655302392892e-05,3.210169817983371e-05
28,3.264925382932131e-05,3.365983372042142e-05,3.23185314459311e-05
29,3.291575510667207e-05,3.365983372042142e-05,3.254043148612151e-05
30,3.3252349110930505e-05,3.404834865509023e-05,3.285690816494168e-05
31,3.3482577225931437e-05,3.409478349812479e-05,3.321928047038501e-05
32,3.360642638627638e-05,3.41740140796938e-05,3.34235769912096e-05
33,3.37548086715782e-05,3.466925530439606e-05,3.3531167219930924e-05
34,3.3918732502320914e-05,3.466925530439606e-05,3.365983372042142e-05
35,3.409400129383975e-05,3.466925530439606e-05,3.387419125368382e-05
36,3.420574270701031e-05,3.466925530439606e-05,3.406690740614567e-05
37,3.4307959716705035e-05,3.466925530439606e-05,3.409478349812479e-05
38,3.441459397069895e-05,3.46716593856182e-05,3.4279446044151926e-05
39,3.453184759777572e-05,3.4806822137138876e-05,3.437961976140544e-05
40,3.46086180183021e-05,3.491010647582475e-05,3.448038066340252e-05
41,3.46835667797998e-05,3.507049168829347e-05,3.466925530439606e-05
42,3.471141818940542e-05,3.5211267605633805e-05,3.466925530439606e-05
43,3.4771518734893097e-05,3.5211267605633805e-05,3.466925530439606e-05
44,3.4854787650547956e-05,3.5211267605633805e-05,3.466925530439606e-05
45,3.4981397232960436e-05,3.5211267605633805e-05,3.4806822137138876e-05
46,3.511441377450361e-05,3.5211267605633805e-05,3.507049168829347e-05
47,3.51673455194237e-05,3.5211267605633805e-05,3.507049168829347e-05
48,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
49,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
50,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
51,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
52,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
53,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
54,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
55,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
56,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
57,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
58,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
59,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
60,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
61,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
62,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
63,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
64,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
65,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
66,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
67,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
68,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
69,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
70,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
71,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
72,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
73,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
74,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
75,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
76,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
77,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
78,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
79,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
80,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
81,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
82,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
83,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
84,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
85,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
86,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
87,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
88,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
89,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
90,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
91,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
92,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
93,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
94,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
95,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
96,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
97,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
98,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
99,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
100,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
101,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
102,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
103,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
104,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
105,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
106,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
107,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
108,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
109,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
110,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
111,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
112,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
113,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
114,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
115,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
116,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
117,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
118,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
119,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
120,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
121,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
122,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
123,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
124,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
125,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
126,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
127,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
128,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
129,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
130,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
131,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
132,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
133,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
134,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
135,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
136,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
137,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
138,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
139,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
140,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
141,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
142,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
143,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
144,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
145,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
146,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
147,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
148,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
149,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
150,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
151,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
152,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
153,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
154,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
155,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
156,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
157,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
158,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
159,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
160,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
161,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
162,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
163,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
164,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
165,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
166,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
167,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
168,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
169,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
170,3.521126760563394e-05,3.5211267605633805e-05,3.5211267605633805e-05
