Iteration,Avg,Max,Min
1,2.0633617146649025e-05,2.3107496071725667e-05,1.85649308456326e-05
2,2.066625430394056e-05,2.3107496071725667e-05,1.8876472364844458e-05
3,2.0721813688436512e-05,2.3107496071725667e-05,1.9099642836678953e-05
4,2.078514714221515e-05,2.3107496071725667e-05,1.92648532018186e-05
5,2.086263108851191e-05,2.3135830460634384e-05,1.9372336303758232e-05
6,2.097515626302999e-05,2.3422494964163582e-05,1.9456388505165672e-05
7,2.1094617272660884e-05,2.3422494964163582e-05,1.958096729978461e-05
8,2.1237549672368935e-05,2.365464222353637e-05,1.969162908847449e-05
9,2.1417401091849768e-05,2.446243792656376e-05,1.9782002334276274e-05
10,2.162152912749499e-05,2.446243792656376e-05,1.9930641368039225e-05
11,2.1835996964836604e-05,2.446243792656376e-05,2.018856116124604e-05
12,2.2098300074379445e-05,2.5255076270330337e-05,2.0346293922562004e-05
13,2.2379372777700774e-05,2.5541479362484675e-05,2.0522502924456666e-05
14,2.2689995337459272e-05,2.6196526340607235e-05,2.071422653078134e-05
15,2.3029744395724605e-05,2.6315096971132338e-05,2.1053961302819126e-05
16,2.3434786961527536e-05,2.7677830058123445e-05,2.1352009224067983e-05
17,2.3811251043346287e-05,2.7677830058123445e-05,2.1709397998393504e-05
18,2.4248045418599924e-05,2.779939953297009e-05,2.218475463661372e-05
19,2.468917057143363e-05,2.845273999886189e-05,2.2632114971144055e-05
20,2.5179227712060854e-05,2.845273999886189e-05,2.294209415435441e-05
21,2.573038287767185e-05,2.9357367231306698e-05,2.336448598130841e-05
22,2.626559569397865e-05,2.9448141822251015e-05,2.400384061449832e-05
23,2.685354055117953e-05,3.191930798940279e-05,2.4517014808276945e-05
24,2.7482260530333203e-05,3.201946783644456e-05,2.5010004001600642e-05
25,2.8092375471312565e-05,3.201946783644456e-05,2.584179652169419e-05
26,2.8689917077065163e-05,3.2763252735731606e-05,2.639567110993797e-05
