Iteration,Avg,Max,Min
1,2.1345816813963502e-05,2.3819164900078605e-05,2.0493903063838507e-05
2,2.194014381396215e-05,2.4028642141432588e-05,2.128021790943139e-05
3,2.246243294765822e-05,2.488924286923192e-05,2.181120223346711e-05
4,2.293964149760461e-05,2.5e-05,2.2326910625376767e-05
5,2.3351009204884763e-05,2.509473261562398e-05,2.2802937018287956e-05
6,2.3820779673245913e-05,2.6180066497368904e-05,2.322125208991269e-05
7,2.4286387966865222e-05,2.6402640264026404e-05,2.3679848448969927e-05
8,2.482578619138763e-05,2.7010966452379667e-05,2.4192572880125802e-05
9,2.5404648185058947e-05,2.790645755427806e-05,2.4764735017335315e-05
10,2.587196927478608e-05,2.790645755427806e-05,2.5211143325349805e-05
