Iteration,Avg,Max,Min
1,2.1451943473438195e-05,2.3726481125584264e-05,2.0610057708161584e-05
2,2.202719028521072e-05,2.3726481125584264e-05,2.1289731962274594e-05
3,2.2528161488690308e-05,2.4347487339306584e-05,2.1820720956620407e-05
4,2.3074090474414557e-05,2.464268112370626e-05,2.229853275654462e-05
5,2.369666072660012e-05,2.5078369905956112e-05,2.2907933017203857e-05
6,2.4339959221793807e-05,2.5078369905956112e-05,2.3726481125584264e-05
7,2.4816871852965664e-05,2.6440337378704954e-05,2.4347487339306584e-05
8,2.505749267070165e-05,2.64459312934705e-05,2.467490808596738e-05
9,2.5379186976631547e-05,2.7182776992497555e-05,2.4902878772786134e-05
10,2.5857812447190466e-05,2.7182776992497555e-05,2.5319019647559248e-05
11,2.637713693067206e-05,2.8463268152449266e-05,2.5763235862424322e-05
12,2.695398193044774e-05,2.8463268152449266e-05,2.6440337378704954e-05
13,2.7281159831630297e-05,2.8463268152449266e-05,2.6782366489903047e-05
14,2.7663607222986732e-05,2.8463268152449266e-05,2.7182776992497555e-05
15,2.788090130825773e-05,2.8463268152449266e-05,2.75178866263071e-05
16,2.821737091423288e-05,2.8764562059542644e-05,2.781563795165642e-05
17,2.836787888396313e-05,2.9125648045669017e-05,2.816742718720072e-05
18,2.8549499318730115e-05,2.947070611811859e-05,2.829895010895096e-05
19,2.8736640527837615e-05,2.947070611811859e-05,2.8463268152449266e-05
20,2.89521470085899e-05,2.9712384121701924e-05,2.864508736751647e-05
21,2.9133156862307933e-05,2.9712384121701924e-05,2.877863474156786e-05
22,2.941893948744389e-05,2.9950880555888343e-05,2.908414041822994e-05
23,2.9581770637413072e-05,2.9950880555888343e-05,2.928343436118188e-05
24,2.968678570555064e-05,2.9950880555888343e-05,2.9507229271171435e-05
25,2.9737065190638827e-05,3.0485016614334054e-05,2.9652473016249555e-05
26,2.9823795325090964e-05,3.0485016614334054e-05,2.9712384121701924e-05
27,2.992471821801779e-05,3.0485016614334054e-05,2.9712384121701924e-05
28,3.004740680852695e-05,3.0485016614334054e-05,2.9950880555888343e-05
29,3.0122688024256878e-05,3.054834275240568e-05,3.0026423252462165e-05
30,3.0197777054175148e-05,3.064288778574493e-05,3.0026423252462165e-05
31,3.024986588209109e-05,3.064288778574493e-05,3.0026423252462165e-05
32,3.0355415405869906e-05,3.078343851008158e-05,3.023888720895071e-05
33,3.0442190582126524e-05,3.078343851008158e-05,3.023888720895071e-05
34,3.0631851327171057e-05,3.120222159817779e-05,3.023888720895071e-05
35,3.075137441878584e-05,3.120222159817779e-05,3.054834275240568e-05
36,3.084206814241502e-05,3.120222159817779e-05,3.078343851008158e-05
37,3.0909073436510404e-05,3.120222159817779e-05,3.078343851008158e-05
