Iteration,Avg,Max,Min
1,2.1399221129965074e-05,2.3260141421659845e-05,2.0599019486672435e-05
2,2.1913642771521588e-05,2.3599376976447822e-05,2.1310147892426374e-05
3,2.2419720262334638e-05,2.4393218685205512e-05,2.185887907668095e-05
4,2.287498906732108e-05,2.467490808596738e-05,2.23488657950609e-05
5,2.3413570038956065e-05,2.6334500829536777e-05,2.2795140076135767e-05
6,2.390697026394151e-05,2.6334500829536777e-05,2.329807557895718e-05
7,2.449445595662877e-05,2.6334500829536777e-05,2.3890866521728743e-05
8,2.5052278620835957e-05,2.677161138328916e-05,2.439917042820544e-05
9,2.5560373564498565e-05,2.7514858023332598e-05,2.4963802486394726e-05
10,2.6045734136402855e-05,2.7514858023332598e-05,2.5524529072438612e-05
11,2.653328762096412e-05,2.8498147620404674e-05,2.5988201356584112e-05
12,2.6993082587948508e-05,2.9001479075432847e-05,2.6463427543135387e-05
13,2.7374741770031546e-05,2.9001479075432847e-05,2.6955631031322443e-05
14,2.7677024281261944e-05,2.9001479075432847e-05,2.731195717485115e-05
15,2.7977580576399964e-05,2.9356505401596995e-05,2.7611342739597425e-05
16,2.8301624396254172e-05,2.9577923038244256e-05,2.7925160569673275e-05
17,2.863233913726409e-05,2.962699611886351e-05,2.821909303834975e-05
18,2.8897875621676753e-05,2.9754820280885503e-05,2.8561636010510682e-05
19,2.918895745747141e-05,3.004266057802079e-05,2.884088483834684e-05
20,2.9447082451118095e-05,3.0406227195329603e-05,2.9107844564110028e-05
21,2.9675124660896443e-05,3.0512922222561255e-05,2.9386699579770195e-05
22,2.9887025993118492e-05,3.0721966205837174e-05,2.9653352311478814e-05
23,3.012312862886312e-05,3.1266610386767973e-05,2.984451010236667e-05
24,3.0343752065409878e-05,3.137747097583935e-05,3.0041758043680716e-05
25,3.0592330144229616e-05,3.159158400202186e-05,3.031221582297666e-05
26,3.083181679062636e-05,3.2232070910556004e-05,3.0515715593530668e-05
27,3.1108040648207694e-05,3.2232070910556004e-05,3.0768284052798373e-05
28,3.138787805228313e-05,3.2404406999351915e-05,3.107133979617201e-05
29,3.1633418651735336e-05,3.282778543759438e-05,3.13302838523717e-05
30,3.185974349833316e-05,3.282778543759438e-05,3.155868337172973e-05
31,3.2079418431299615e-05,3.282778543759438e-05,3.1809651048128e-05
32,3.2272917266055245e-05,3.322590291391168e-05,3.202049311559398e-05
33,3.2485525862007346e-05,3.3376723073328663e-05,3.22393448965117e-05
34,3.267908909359071e-05,3.3376723073328663e-05,3.243067942273391e-05
35,3.285200497308753e-05,3.344257909169955e-05,3.26253629571629e-05
36,3.3047357574976556e-05,3.366323301689894e-05,3.282778543759438e-05
37,3.3213013711717304e-05,3.366323301689894e-05,3.299132328197684e-05
38,3.337361401594524e-05,3.3709758975223326e-05,3.3196122692869474e-05
39,3.3478721253852094e-05,3.3829499323410016e-05,3.3376723073328663e-05
40,3.353517100362035e-05,3.389256058295204e-05,3.344257909169955e-05
41,3.362537587065476e-05,3.4035601238895884e-05,3.350308228357009e-05
42,3.367022614008735e-05,3.4035601238895884e-05,3.360666756284447e-05
43,3.371397312102007e-05,3.4035601238895884e-05,3.364511136531862e-05
44,3.376373998506622e-05,3.4035601238895884e-05,3.366323301689894e-05
45,3.38366705630988e-05,3.4035601238895884e-05,3.3786066626123385e-05
46,3.388239867354912e-05,3.4035601238895884e-05,3.379177508194505e-05
47,3.393467082900084e-05,3.412270524807207e-05,3.389256058295204e-05
48,3.396981710047448e-05,3.412270524807207e-05,3.390520105784227e-05
49,3.4022844225475274e-05,3.42383675146369e-05,3.395585738539898e-05
50,3.404623393744977e-05,3.42383675146369e-05,3.4035601238895884e-05
51,3.4057530598103157e-05,3.43713480442703e-05,3.4035601238895884e-05
52,3.407296138176665e-05,3.43713480442703e-05,3.4035601238895884e-05
53,3.411020750189115e-05,3.43713480442703e-05,3.40529864469114e-05
54,3.4170091456807656e-05,3.43713480442703e-05,3.4073872154831676e-05
55,3.422750083815653e-05,3.43713480442703e-05,3.412270524807207e-05
56,3.432320785836761e-05,3.43713480442703e-05,3.422547744541036e-05
57,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
58,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
59,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
60,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
61,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
62,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
63,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
64,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
65,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
66,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
67,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
68,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
69,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
70,3.4371348044270386e-05,3.43713480442703e-05,3.43713480442703e-05
