Iteration,Avg,Max,Min
1,2.165329140333066e-05,2.449659497329871e-05,2.078353943676608e-05
2,2.222679647576461e-05,2.4837315582931796e-05,2.147535702781059e-05
3,2.287577001850945e-05,2.516166368920313e-05,2.2133197583054823e-05
4,2.3501259593779623e-05,2.5621316935690495e-05,2.276296920170267e-05
5,2.406120709702429e-05,2.5621316935690495e-05,2.338251455561531e-05
6,2.4642707181063826e-05,2.609262883235486e-05,2.402691013935608e-05
7,2.5067760853313986e-05,2.6646770411426134e-05,2.452783909737552e-05
8,2.5469601029785473e-05,2.68867797703869e-05,2.499937501562461e-05
9,2.5820272833407773e-05,2.68867797703869e-05,2.540650406504065e-05
10,2.6156183197862562e-05,2.7829571702891493e-05,2.5748641759147206e-05
