Iteration,Avg,Max,Min
1,2.0994730156887815e-05,2.1958717610891526e-05,2.0558365198799392e-05
2,2.1319970338314385e-05,2.1958717610891526e-05,2.0966118752096612e-05
3,2.1547762505595172e-05,2.2388393856624726e-05,2.1233676611105212e-05
4,2.1754851530707375e-05,2.2491116009176375e-05,2.1549402004094387e-05
5,2.197921840627849e-05,2.3245002324500234e-05,2.172071504593931e-05
6,2.2208320941169973e-05,2.3245002324500234e-05,2.191444600280505e-05
7,2.242033657214377e-05,2.3245002324500234e-05,2.2135157270292405e-05
8,2.2685001259557238e-05,2.372704408484791e-05,2.2333392889047703e-05
9,2.2879822631112154e-05,2.372704408484791e-05,2.253825869413329e-05
10,2.3159552786516905e-05,2.3921728105638353e-05,2.2761414849547046e-05
11,2.3298115082700713e-05,2.397276693675984e-05,2.298058140870964e-05
12,2.3532665286855558e-05,2.4200769584472787e-05,2.319270821253798e-05
13,2.3732362489151287e-05,2.4200769584472787e-05,2.3411527836306598e-05
14,2.3875768748583113e-05,2.4222459064044183e-05,2.3693875133278048e-05
15,2.397641934393963e-05,2.4699286190629092e-05,2.3848703822947222e-05
16,2.404045609512398e-05,2.4699286190629092e-05,2.3932033026205577e-05
17,2.4141405224435975e-05,2.4699286190629092e-05,2.3955538520505943e-05
18,2.438276143347086e-05,2.4699286190629092e-05,2.4109747570942933e-05
19,2.456013359659907e-05,2.4788676532559927e-05,2.431551816369207e-05
20,2.4634640843944088e-05,2.4788676532559927e-05,2.4557353699565336e-05
21,2.4702784052430448e-05,2.4947610018960184e-05,2.4645717806531115e-05
22,2.474302490942254e-05,2.5035675838069248e-05,2.4652401143871413e-05
23,2.4780704491224702e-05,2.5035675838069248e-05,2.4690748376583295e-05
24,2.4849965870182993e-05,2.5035675838069248e-05,2.4780076818238138e-05
25,2.4892498112571753e-05,2.5035675838069248e-05,2.48071246061869e-05
26,2.4959610415191053e-05,2.5360113613308988e-05,2.4848424609879734e-05
27,2.500610365123204e-05,2.5360113613308988e-05,2.4947610018960184e-05
28,2.506460543271223e-05,2.5360113613308988e-05,2.5035675838069248e-05
29,2.5096057364159045e-05,2.5360113613308988e-05,2.5035675838069248e-05
30,2.5113113753771686e-05,2.5360113613308988e-05,2.5035675838069248e-05
31,2.5171608799690948e-05,2.539295599400726e-05,2.5035675838069248e-05
32,2.529366732293238e-05,2.539295599400726e-05,2.50676827434072e-05
33,2.536536839422069e-05,2.539295599400726e-05,2.5360113613308988e-05
34,2.5369257900966324e-05,2.539295599400726e-05,2.5360113613308988e-05
35,2.5372542139036155e-05,2.539295599400726e-05,2.5360113613308988e-05
36,2.538092570610878e-05,2.5398760540485624e-05,2.5360113613308988e-05
37,2.539251805785873e-05,2.5398760540485624e-05,2.536783358701167e-05
38,2.5393304266795938e-05,2.5398760540485624e-05,2.539295599400726e-05
39,2.5393536448655072e-05,2.5398760540485624e-05,2.539295599400726e-05
40,2.539458126702117e-05,2.5398760540485624e-05,2.539295599400726e-05
41,2.5395626085387286e-05,2.5398760540485624e-05,2.539295599400726e-05
42,2.5397251358401254e-05,2.5398760540485624e-05,2.539295599400726e-05
43,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
44,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
45,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
46,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
47,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
48,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
49,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
50,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
51,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
52,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
53,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
54,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
55,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
56,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
57,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
58,2.5398760540485647e-05,2.5398760540485624e-05,2.5398760540485624e-05
