Iteration,Avg,Max,Min
1,2.1545296527477233e-05,2.4531449318025707e-05,2.062919030428056e-05
2,2.2134941993521135e-05,2.4531449318025707e-05,2.146014850422765e-05
3,2.265183401126076e-05,2.4531449318025707e-05,2.200897966370279e-05
4,2.31805547619861e-05,2.4789905550459853e-05,2.2572853885916798e-05
5,2.3634743761959157e-05,2.5345972524965784e-05,2.3129409043598938e-05
6,2.40615287162237e-05,2.6144474365342883e-05,2.3523876734885908e-05
7,2.451562666204435e-05,2.6937478113299033e-05,2.401421641611834e-05
8,2.4934175541669463e-05,2.6937478113299033e-05,2.4459446238137168e-05
9,2.533354522710249e-05,2.7009507346586e-05,2.4800357125142602e-05
10,2.5788777127996148e-05,2.7009507346586e-05,2.52831715210356e-05
11,2.6198453156075197e-05,2.7309719529180435e-05,2.5772531635782584e-05
12,2.6571797869927628e-05,2.8239812487645084e-05,2.615678376186864e-05
13,2.6952504370248006e-05,2.867712425797941e-05,2.6551257202028515e-05
14,2.735123263505353e-05,2.92654375182909e-05,2.6858616244091105e-05
15,2.7752239792007588e-05,2.956917708980159e-05,2.7247956403269754e-05
16,2.8115987489795637e-05,2.971326697370376e-05,2.7675532062103894e-05
17,2.8449874110758437e-05,2.971326697370376e-05,2.8019838045336096e-05
18,2.8783062781938426e-05,3.0421952480910223e-05,2.836396641706376e-05
19,2.9085159298054538e-05,3.0421952480910223e-05,2.8672190842102245e-05
20,2.945295743491408e-05,3.1042403923759856e-05,2.9015784586815228e-05
21,2.9811171627279327e-05,3.1191515907673116e-05,2.9400523329315263e-05
22,3.0155075611744152e-05,3.154972236244321e-05,2.9738008148214232e-05
23,3.0490611017504538e-05,3.182888789865682e-05,3.0077901765572835e-05
24,3.0819930149550526e-05,3.222480020623872e-05,3.041640052316209e-05
25,3.120019043939407e-05,3.2589212970506765e-05,3.075976622577668e-05
26,3.156371862900867e-05,3.283425269240872e-05,3.109742824268433e-05
27,3.195386552929396e-05,3.2857987776828546e-05,3.151591553734636e-05
28,3.232119842544528e-05,3.314880498558027e-05,3.189385724309498e-05
29,3.26241890884513e-05,3.3407944409180505e-05,3.2285142377477883e-05
30,3.284585757889947e-05,3.3845529005618355e-05,3.2615786040443576e-05
31,3.3066984205267305e-05,3.3951246010728594e-05,3.281701233919664e-05
32,3.330265813319251e-05,3.4044871140162734e-05,3.30338266384778e-05
33,3.34967046776681e-05,3.4678873630184493e-05,3.3239155725444575e-05
34,3.371408376398727e-05,3.4678873630184493e-05,3.34627225271048e-05
35,3.3862718653021676e-05,3.481651695564376e-05,3.367683707146225e-05
36,3.400820474611222e-05,3.487966515521451e-05,3.381119826886665e-05
37,3.416945297925595e-05,3.4882098507046184e-05,3.3951246010728594e-05
38,3.4367696900576145e-05,3.5559348552734516e-05,3.410990210458096e-05
39,3.458610606332604e-05,3.5559348552734516e-05,3.434065934065934e-05
40,3.478269473571678e-05,3.5559348552734516e-05,3.454708768050853e-05
41,3.498394121638814e-05,3.5758984444841765e-05,3.4777770049384435e-05
42,3.512924447288074e-05,3.588988981803826e-05,3.491863956980236e-05
43,3.530611213816005e-05,3.6082846214909435e-05,3.5084026242851626e-05
44,3.5482868795231385e-05,3.625290023201856e-05,3.5265904923120326e-05
45,3.565730216423041e-05,3.6423238025860496e-05,3.5443396895158435e-05
46,3.581812760554761e-05,3.6423238025860496e-05,3.560873126090518e-05
47,3.597972035483748e-05,3.6423238025860496e-05,3.579866828953963e-05
48,3.6112137756640414e-05,3.6685131516196485e-05,3.5963461123498524e-05
49,3.6230633807815046e-05,3.6685131516196485e-05,3.6082846214909435e-05
50,3.635786729967204e-05,3.6896284544146404e-05,3.619778469557663e-05
51,3.646532379669385e-05,3.6896284544146404e-05,3.633060853769301e-05
52,3.65566058121151e-05,3.6896284544146404e-05,3.6423238025860496e-05
53,3.661024827274099e-05,3.713468751160459e-05,3.659652333028362e-05
54,3.661869308030646e-05,3.713468751160459e-05,3.659652333028362e-05
55,3.66523507387219e-05,3.714572267003454e-05,3.659652333028362e-05
56,3.673941296515504e-05,3.728560775540641e-05,3.659652333028362e-05
57,3.687303442927367e-05,3.728560775540641e-05,3.6685131516196485e-05
58,3.702344028124947e-05,3.728560775540641e-05,3.681478481758274e-05
59,3.7162589258365214e-05,3.728560775540641e-05,3.713468751160459e-05
60,3.718203947147299e-05,3.728560775540641e-05,3.713468751160459e-05
61,3.722507738324765e-05,3.728560775540641e-05,3.713468751160459e-05
62,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
63,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
64,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
65,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
66,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
67,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
68,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
69,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
70,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
71,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
72,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
73,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
74,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
75,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
76,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
77,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
78,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
79,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
80,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
81,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
82,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
83,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
84,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
85,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
86,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
87,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
88,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
89,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
90,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
91,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
92,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
93,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
94,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
95,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
96,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
97,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
98,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
99,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
100,3.72856077554065e-05,3.728560775540641e-05,3.728560775540641e-05
