Iteration,Avg,Max,Min
1,2.1162703576143525e-05,2.2656214599664686e-05,2.0688513737173122e-05
2,2.1486678336339157e-05,2.2657241254304877e-05,2.114164904862579e-05
3,2.1762220152130432e-05,2.315618849137432e-05,2.1421991816799127e-05
4,2.2112127118283816e-05,2.315618849137432e-05,2.1735350373848025e-05
5,2.243078926969715e-05,2.3315458148752622e-05,2.2067261011563244e-05
6,2.27392934191453e-05,2.40610187435336e-05,2.23929059274022e-05
7,2.3042145043219786e-05,2.40610187435336e-05,2.2740710419793514e-05
8,2.3347632336626113e-05,2.4088839640594513e-05,2.3030861354214647e-05
9,2.3594839865335496e-05,2.4517014808276945e-05,2.3325247247620826e-05
10,2.3788341491587517e-05,2.4517014808276945e-05,2.355046865432622e-05
11,2.3974383912442575e-05,2.4762895277715872e-05,2.3768212392745942e-05
12,2.413386880723232e-05,2.483114819229241e-05,2.3957834211787255e-05
13,2.427616707018526e-05,2.483361478096752e-05,2.4089419926768162e-05
14,2.441367400551335e-05,2.508780732563974e-05,2.424536307431204e-05
15,2.45461750070331e-05,2.5106073159097185e-05,2.4368253039939565e-05
16,2.469852566502145e-05,2.5106073159097185e-05,2.4517014808276945e-05
17,2.4829617427568832e-05,2.529404325281396e-05,2.4693796918214143e-05
18,2.494348311844596e-05,2.538650960879389e-05,2.4802202435576278e-05
19,2.5064667894242983e-05,2.5477707006369428e-05,2.492460307569602e-05
20,2.517246194299765e-05,2.5687790593131085e-05,2.5041945258307666e-05
21,2.528796599575581e-05,2.5749967812540233e-05,2.513762851612579e-05
22,2.5394945721190448e-05,2.5749967812540233e-05,2.5276780749203783e-05
23,2.5494584437996093e-05,2.5813779395441288e-05,2.5367190076355242e-05
24,2.5595179119032013e-05,2.5920837761476452e-05,2.547511081673205e-05
25,2.5679355477531562e-05,2.5920837761476452e-05,2.55656397801355e-05
26,2.5777009540081802e-05,2.615199539724881e-05,2.568449170390918e-05
27,2.584354569358141e-05,2.6154731390908616e-05,2.5749304768771242e-05
28,2.5926205058725156e-05,2.6197212616577597e-05,2.5827113303546062e-05
29,2.600441709212555e-05,2.6261193833871688e-05,2.589063794531897e-05
30,2.6081984730945898e-05,2.6401246138817753e-05,2.598752598752599e-05
31,2.6145068512873883e-05,2.6401246138817753e-05,2.6074259491030454e-05
32,2.620213899131206e-05,2.641310089804543e-05,2.613149367617853e-05
33,2.6265953898099202e-05,2.64459312934705e-05,2.6197212616577597e-05
34,2.6318363959464242e-05,2.6516055471588045e-05,2.6263952724885094e-05
35,2.636914477712754e-05,2.663115845539281e-05,2.6315789473684212e-05
36,2.641919453267641e-05,2.6702982723170177e-05,2.6351155498168594e-05
37,2.6466200273856137e-05,2.6741542987030352e-05,2.641310089804543e-05
38,2.6497547548263305e-05,2.6741542987030352e-05,2.6450827910913612e-05
39,2.655061011980731e-05,2.677161138328916e-05,2.6480245736680435e-05
40,2.661421184518791e-05,2.677161138328916e-05,2.6532236667551075e-05
41,2.6652365104112065e-05,2.6779497616624714e-05,2.660848278431164e-05
42,2.6688864643882682e-05,2.6779497616624714e-05,2.6633995632024715e-05
43,2.672144278444048e-05,2.680533962365303e-05,2.6679472813617204e-05
44,2.674599492258347e-05,2.680533962365303e-05,2.6702982723170177e-05
45,2.6771885684918298e-05,2.685140432844638e-05,2.6747265092144328e-05
46,2.6778548813687804e-05,2.685140432844638e-05,2.677161138328916e-05
47,2.6783580250402825e-05,2.6875940657923027e-05,2.677161138328916e-05
48,2.6796220099445362e-05,2.6875940657923027e-05,2.6779497616624714e-05
49,2.6814123235736155e-05,2.6875940657923027e-05,2.6779497616624714e-05
50,2.6828314130445974e-05,2.6875940657923027e-05,2.680390264822558e-05
51,2.6849536601193892e-05,2.6877385367951407e-05,2.6818998578593075e-05
52,2.685833310296585e-05,2.6934575915102215e-05,2.685140432844638e-05
53,2.6865895923321254e-05,2.6934575915102215e-05,2.685140432844638e-05
54,2.6876776025459623e-05,2.6934575915102215e-05,2.6875940657923027e-05
55,2.687791167555797e-05,2.6934575915102215e-05,2.6875940657923027e-05
56,2.6879737893953996e-05,2.6934575915102215e-05,2.6875940657923027e-05
57,2.6883085921456795e-05,2.6934575915102215e-05,2.6875940657923027e-05
58,2.688819145982138e-05,2.6951998490688084e-05,2.6875940657923027e-05
59,2.6901329616264898e-05,2.6951998490688084e-05,2.689328743545611e-05
60,2.691062977577443e-05,2.6954177897574123e-05,2.689328743545611e-05
61,2.6925423834465104e-05,2.6954177897574123e-05,2.6909932456069534e-05
62,2.6938485160972125e-05,2.6954177897574123e-05,2.6934575915102215e-05
63,2.6944550498118886e-05,2.6954177897574123e-05,2.6934575915102215e-05
64,2.6952467126653367e-05,2.6971625849606216e-05,2.6951998490688084e-05
65,2.69530339628979e-05,2.6971625849606216e-05,2.6951998490688084e-05
66,2.695412404724929e-05,2.6971625849606216e-05,2.6951998490688084e-05
67,2.6956271651818093e-05,2.6971625849606216e-05,2.6954177897574123e-05
68,2.6959325043423716e-05,2.6971625849606216e-05,2.6954177897574123e-05
69,2.696316359287076e-05,2.6971625849606216e-05,2.6954177897574123e-05
70,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
71,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
72,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
73,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
74,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
75,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
76,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
77,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
78,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
79,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
80,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
81,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
82,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
83,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
84,2.6971625849606263e-05,2.6971625849606216e-05,2.6971625849606216e-05
