Iteration,Avg,Max,Min
1,4.184018747178002e-05,4.4279135671271696e-05,4.109307581672488e-05
2,4.245909975596203e-05,4.4279135671271696e-05,4.185851820845542e-05
3,4.291818397912049e-05,4.4279135671271696e-05,4.2304763516371946e-05
4,4.329448623645e-05,4.4279135671271696e-05,4.279722673970727e-05
5,4.375904844190074e-05,4.49034575662326e-05,4.336513443191674e-05
6,4.405532102234279e-05,4.49034575662326e-05,4.363763309478094e-05
7,4.4294916497326856e-05,4.525706010137581e-05,4.392322220758115e-05
8,4.4625253683049035e-05,4.538234626730202e-05,4.4230173824583133e-05
9,4.492919888721885e-05,4.5662100456621006e-05,4.454938299104557e-05
10,4.5234974815464875e-05,4.574356159370569e-05,4.49034575662326e-05
11,4.542231359962155e-05,4.659615115791436e-05,4.5108033740809235e-05
12,4.5672098465845055e-05,4.659615115791436e-05,4.531242919932937e-05
13,4.586332971629489e-05,4.672242209036116e-05,4.555808656036447e-05
14,4.6252047308356705e-05,4.734400151500805e-05,4.574356159370569e-05
15,4.6507675628292354e-05,4.734400151500805e-05,4.621926418931411e-05
16,4.6820328358484116e-05,4.7744091668656006e-05,4.6373585605639025e-05
17,4.7058031699754234e-05,4.780114722753346e-05,4.6704964737751625e-05
18,4.731633436199321e-05,4.796853264258646e-05,4.699910701696668e-05
19,4.744759610831787e-05,4.796853264258646e-05,4.7198753952895644e-05
20,4.755661656448299e-05,4.796853264258646e-05,4.739336492890995e-05
21,4.7720578714097745e-05,4.837695321948624e-05,4.749916876454662e-05
22,4.784874579080207e-05,4.837695321948624e-05,4.771675335210192e-05
23,4.7918387272938325e-05,4.837695321948624e-05,4.777146132900205e-05
24,4.8006539466410854e-05,4.847074790364015e-05,4.78537589127626e-05
25,4.8097244768478574e-05,4.8534265191225004e-05,4.79570305006714e-05
26,4.8217489755196544e-05,4.8725819811918335e-05,4.807923457858551e-05
27,4.831772015233086e-05,4.8725819811918335e-05,4.812551133355792e-05
28,4.8449307195456894e-05,4.905567819475104e-05,4.826021910139472e-05
29,4.854069730588886e-05,4.905567819475104e-05,4.837695321948624e-05
30,4.8625969599833815e-05,4.905567819475104e-05,4.84824978182876e-05
31,4.874926364644149e-05,4.905567819475104e-05,4.86050354816759e-05
32,4.880510226483538e-05,4.905567819475104e-05,4.8711578742267036e-05
33,4.888785148494332e-05,4.9060491586125696e-05,4.878524734120402e-05
