Iteration,Avg,Max,Min
1,2.0569814785146954e-05,2.2056066521096628e-05,1.9594012069911435e-05
2,2.060822119534513e-05,2.2056066521096628e-05,1.9647909462433196e-05
3,2.0661519024508252e-05,2.2056066521096628e-05,1.973242827262323e-05
4,2.0780129930898005e-05,2.2056066521096628e-05,1.996247055535593e-05
5,2.092913352401919e-05,2.2170982617949626e-05,2.0017615501641443e-05
6,2.1123558658516946e-05,2.2270226933612454e-05,2.021794949556216e-05
7,2.128469245820131e-05,2.2270226933612454e-05,2.03062177638793e-05
8,2.1516318591485555e-05,2.236736154603203e-05,2.0523345305284762e-05
9,2.17243663958718e-05,2.2742779167614282e-05,2.08494047494944e-05
10,2.195358165885384e-05,2.2742779167614282e-05,2.1126016689553186e-05
11,2.2167834987038428e-05,2.2904784809546716e-05,2.1490587122840196e-05
12,2.2376652321876326e-05,2.303245272589078e-05,2.1758997345402324e-05
13,2.2553826023456574e-05,2.3042536522420388e-05,2.2057526027880714e-05
14,2.270630867274548e-05,2.3065922406237024e-05,2.2265764161026006e-05
15,2.2837982605500057e-05,2.3121387283236996e-05,2.255299954894001e-05
16,2.2917499690217648e-05,2.3124595319581908e-05,2.270302177219788e-05
17,2.299229931762147e-05,2.3148148148148147e-05,2.2818546914932458e-05
18,2.3050262654175584e-05,2.3169601482854495e-05,2.2944726154693344e-05
19,2.30938552026227e-05,2.3180343069077424e-05,2.2714366837024417e-05
20,2.307025590237693e-05,2.3180880409837964e-05,2.2546389195770298e-05
21,2.3145253625768583e-05,2.3180880409837964e-05,2.2928417480625487e-05
22,2.3172605558389082e-05,2.3180880409837964e-05,2.3139042506421085e-05
23,2.316836374485124e-05,2.3180880409837964e-05,2.2755717373990216e-05
24,2.3179431011689172e-05,2.3180880409837964e-05,2.313101406365655e-05
25,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
26,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
27,2.3178237978577996e-05,2.3180880409837964e-05,2.2977413202821626e-05
28,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
29,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
30,2.3180638623309798e-05,2.3180880409837964e-05,2.3178731196254315e-05
31,2.3177412075871552e-05,2.3180880409837964e-05,2.3040412884198886e-05
32,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
33,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
34,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
35,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
36,2.318088040983795e-05,2.3180880409837964e-05,2.3180880409837964e-05
37,2.3181084389509965e-05,2.3198626641302833e-05,2.3180880409837964e-05
38,2.3181082071559154e-05,2.3198626641302833e-05,2.3180880409837964e-05
39,2.318147859741543e-05,2.3198626641302833e-05,2.3180880409837964e-05
40,2.31838381150821e-05,2.3198626641302833e-05,2.3180880409837964e-05
