Iteration,Avg,Max,Min
1,2.1054055110732044e-05,2.241348395194549e-05,2.0600292524153842e-05
2,2.1407794057204115e-05,2.241348395194549e-05,2.1018117617386185e-05
3,2.1703618299937303e-05,2.253267237494367e-05,2.1355657113569383e-05
4,2.1956106171802298e-05,2.269580808424684e-05,2.1658147795200555e-05
5,2.2179879895145503e-05,2.3113905325443786e-05,2.1921652015695903e-05
6,2.242680810112786e-05,2.3810657650364302e-05,2.2156245845703905e-05
7,2.2612138931625545e-05,2.3810657650364302e-05,2.2356860202553154e-05
8,2.2839932944410212e-05,2.3831085267623087e-05,2.2573872999390506e-05
9,2.309320199287442e-05,2.3831085267623087e-05,2.279046446966589e-05
10,2.332188017539128e-05,2.4039617289292755e-05,2.3028209556706965e-05
11,2.3550466456779608e-05,2.4274790629930816e-05,2.3285055651283005e-05
12,2.3745345947713595e-05,2.4287761397032035e-05,2.3508945153630958e-05
13,2.3964278283023605e-05,2.4775165374228874e-05,2.3712415820923836e-05
14,2.4188359998057222e-05,2.4775165374228874e-05,2.3919439328342144e-05
15,2.4379971287323226e-05,2.5158498540807085e-05,2.4159257827599535e-05
16,2.459916763659181e-05,2.5451768897938406e-05,2.4325573475394683e-05
17,2.48562262866957e-05,2.5516062361256412e-05,2.4560972614515536e-05
18,2.5055766922688658e-05,2.577917558196489e-05,2.481328006749212e-05
19,2.5216194625511312e-05,2.577917558196489e-05,2.5040691123074996e-05
20,2.537145913915963e-05,2.6156099602427287e-05,2.5180037266455153e-05
21,2.554361783408381e-05,2.6465528648934763e-05,2.534533012292485e-05
22,2.57234183983649e-05,2.6465528648934763e-05,2.54880970586736e-05
23,2.5930557998521782e-05,2.6688729349595664e-05,2.5671963648499473e-05
24,2.6121331904313877e-05,2.6797438164911436e-05,2.589466052100057e-05
25,2.629589744519106e-05,2.683699210992432e-05,2.6066103638828067e-05
26,2.6485617228135527e-05,2.7241275981366966e-05,2.6261883502284785e-05
27,2.6628941777088786e-05,2.7249441386451578e-05,2.6441735635527116e-05
28,2.6782375739312733e-05,2.7393507738665938e-05,2.659362284924075e-05
29,2.6938484294344324e-05,2.757555702625193e-05,2.676086491115393e-05
30,2.706871928453602e-05,2.757555702625193e-05,2.6877385367951407e-05
