Iteration,Avg,Max,Min
1,6.152351588267152e-06,6.419803810795542e-06,5.694371683028495e-06
2,6.170272280641338e-06,6.419803810795542e-06,5.834339756941406e-06
3,6.1975290635950555e-06,6.562627150901048e-06,5.848671474274618e-06
4,6.2245514820448475e-06,6.562627150901048e-06,5.961074185568239e-06
5,6.252345334910939e-06,6.562627150901048e-06,6.010121043837823e-06
6,6.284558285668221e-06,6.562627150901048e-06,6.096445772114857e-06
7,6.320050598314714e-06,6.562627150901048e-06,6.13963997151207e-06
8,6.3644241867071e-06,6.608817484287537e-06,6.184865633794106e-06
9,6.397977789325226e-06,6.608817484287537e-06,6.232626553482169e-06
10,6.437595868058848e-06,6.608817484287537e-06,6.306283580960069e-06
11,6.475442779225864e-06,6.668089192361037e-06,6.364683643399505e-06
12,6.506294001387232e-06,6.668089192361037e-06,6.4031964756806596e-06
13,6.536335648805239e-06,6.668089192361037e-06,6.430413282661677e-06
14,6.561434723970638e-06,6.668089192361037e-06,6.449906798846757e-06
15,6.5813765830469846e-06,6.668089192361037e-06,6.5128335384875895e-06
16,6.590913786685868e-06,6.690216227788482e-06,6.430165190943756e-06
17,6.605576841419598e-06,6.690216227788482e-06,6.4431744231748095e-06
18,6.620330575040456e-06,6.690216227788482e-06,6.504318867728172e-06
19,6.643190860307486e-06,6.690216227788482e-06,6.483318421700963e-06
20,6.654810785666718e-06,6.690216227788482e-06,6.495742041092064e-06
21,6.665667990946138e-06,6.690216227788482e-06,6.6133629611994e-06
22,6.659323153039272e-06,6.694515852613539e-06,6.506688876164698e-06
23,6.666355674948111e-06,6.694515852613539e-06,6.492578982223319e-06
24,6.682662062215059e-06,6.694515852613539e-06,6.607245505421245e-06
25,6.684531542758511e-06,6.7043900345946525e-06,6.611919969320691e-06
26,6.67875010449911e-06,6.7056938046094936e-06,6.491862450418401e-06
27,6.681260697703808e-06,6.7056938046094936e-06,6.604714445170963e-06
28,6.685892630105682e-06,6.7129862719430736e-06,6.572547782422378e-06
29,6.673689674561088e-06,6.715736313329393e-06,6.539324226234461e-06
30,6.681498846971965e-06,6.720113973132984e-06,6.581068897210285e-06
31,6.6801506811356686e-06,6.720113973132984e-06,6.3212723456977424e-06
32,6.6893448372303815e-06,6.720113973132984e-06,6.486262096878811e-06
33,6.673389829557238e-06,6.720113973132984e-06,6.424010381200776e-06
