Iteration,Avg,Max,Min
1,2.154238463361016e-05,2.389314983394261e-05,2.0671407309409625e-05
2,2.2163370731947373e-05,2.4191987613702342e-05,2.1437146287086264e-05
3,2.2701807750543517e-05,2.5010629517544957e-05,2.2036139268400178e-05
4,2.318376638880244e-05,2.5010629517544957e-05,2.257642118571364e-05
5,2.3634785743981606e-05,2.54569522936714e-05,2.3062730627306272e-05
6,2.4069515010547422e-05,2.547511081673205e-05,2.358045651763818e-05
7,2.4461152736281012e-05,2.6333807341865487e-05,2.3919439328342144e-05
8,2.4927335698886024e-05,2.6500596263415928e-05,2.4351044659815906e-05
9,2.5392632973023893e-05,2.791191001200212e-05,2.4877478418787472e-05
10,2.5868484982685346e-05,2.8490840194877346e-05,2.532030181799767e-05
