Iteration,Avg,Max,Min
1,4.2720753614024345e-05,4.649000464900047e-05,4.1142104830083104e-05
2,4.409179398056151e-05,5.0291691812512574e-05,4.269125683060109e-05
3,4.516026243770017e-05,5.0291691812512574e-05,4.3907793633369924e-05
4,4.64741507880695e-05,5.0841425593573645e-05,4.5006525946262205e-05
5,4.754921937142283e-05,5.103603143819537e-05,4.6180844185831714e-05
6,4.8649365030968385e-05,5.103603143819537e-05,4.7118691985110494e-05
7,4.957448867289442e-05,5.103603143819537e-05,4.827419744146753e-05
8,5.070213389335446e-05,5.265374894692502e-05,4.964503797845405e-05
9,5.112414184559287e-05,5.265374894692502e-05,5.051525560719337e-05
10,5.1495955971033936e-05,5.265374894692502e-05,5.092686901609289e-05
11,5.186478072594194e-05,5.265374894692502e-05,5.141123849673539e-05
12,5.2074809098348294e-05,5.292125317527519e-05,5.178395733001916e-05
13,5.2342301660088423e-05,5.3339022829101774e-05,5.1966949020423014e-05
14,5.265384412423099e-05,5.345878327809259e-05,5.226845076311938e-05
15,5.306090022413811e-05,5.432420686657975e-05,5.2612195506918506e-05
16,5.331168023913228e-05,5.432420686657975e-05,5.289605924358635e-05
17,5.3477181287753726e-05,5.4743526577982154e-05,5.307855626326964e-05
18,5.3699806284171375e-05,5.518763796909492e-05,5.3304904051172706e-05
19,5.409027911447434e-05,5.565759447876663e-05,5.361067924730606e-05
20,5.434598015237758e-05,5.5682387660782896e-05,5.38184166621818e-05
21,5.474285336135294e-05,5.5682387660782896e-05,5.428881650380022e-05
22,5.5197261268841015e-05,5.620187714269657e-05,5.457323728443571e-05
23,5.539046341316418e-05,5.620187714269657e-05,5.5023660173874766e-05
24,5.567778089287166e-05,5.6385678037778406e-05,5.535259603675413e-05
25,5.5901494789638886e-05,5.6385678037778406e-05,5.554629783924901e-05
26,5.620767761416924e-05,5.675691015381123e-05,5.583161185863436e-05
27,5.641324082491148e-05,5.722788142382969e-05,5.620187714269657e-05
28,5.656211826384147e-05,5.722788142382969e-05,5.6385678037778406e-05
29,5.6729185854095384e-05,5.722788142382969e-05,5.6385678037778406e-05
30,5.687857577989202e-05,5.722788142382969e-05,5.6551490131764975e-05
31,5.706097627178618e-05,5.730659025787966e-05,5.694436535504812e-05
32,5.7139528493690884e-05,5.730659025787966e-05,5.694436535504812e-05
33,5.723650246857332e-05,5.730659025787966e-05,5.711348449368896e-05
34,5.727573473139806e-05,5.754733268113023e-05,5.722788142382969e-05
35,5.7305911932695185e-05,5.754733268113023e-05,5.722788142382969e-05
36,5.735503036544806e-05,5.754733268113023e-05,5.730659025787966e-05
37,5.740540271933944e-05,5.754733268113023e-05,5.730659025787966e-05
38,5.746399537123828e-05,5.754733268113023e-05,5.730659025787966e-05
39,5.7526342413926746e-05,5.772005772005772e-05,5.739869130983814e-05
40,5.755078718190882e-05,5.772005772005772e-05,5.754733268113023e-05
41,5.755424168268737e-05,5.772005772005772e-05,5.754733268113023e-05
42,5.755424168268737e-05,5.772005772005772e-05,5.754733268113023e-05
43,5.756460518502302e-05,5.772005772005772e-05,5.754733268113023e-05
44,5.7571514186580116e-05,5.772005772005772e-05,5.754733268113023e-05
45,5.757496868735867e-05,5.772005772005772e-05,5.754733268113023e-05
46,5.758878669047287e-05,5.772005772005772e-05,5.754733268113023e-05
47,5.761296819592271e-05,5.772005772005772e-05,5.754733268113023e-05
48,5.7682058211493684e-05,5.772005772005772e-05,5.754733268113023e-05
49,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
50,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
51,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
52,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
53,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
54,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
55,5.772005772005772e-05,5.772005772005772e-05,5.772005772005772e-05
