Iteration,Avg,Max,Min
1,2.1413677689902655e-05,2.371129131692512e-05,2.0582484305855718e-05
2,2.2083765476429654e-05,2.5001875140635547e-05,2.1359306249733008e-05
3,2.265610937254979e-05,2.5316455696202533e-05,2.1974641263981366e-05
4,2.3187054642134896e-05,2.552192333214231e-05,2.2552490922622405e-05
5,2.3703998321992e-05,2.552192333214231e-05,2.307923100002308e-05
6,2.4212689636329083e-05,2.6284662899198317e-05,2.361944352591053e-05
7,2.4794563230877553e-05,2.664606037997282e-05,2.4176196117302902e-05
8,2.5244521994866983e-05,2.664606037997282e-05,2.4658480051289637e-05
9,2.57479679603165e-05,2.7869126581572935e-05,2.516166368920313e-05
10,2.6165646824343006e-05,2.7869126581572935e-05,2.566735112936345e-05
11,2.6573667946998362e-05,2.7869126581572935e-05,2.6154731390908616e-05
12,2.6900642468030203e-05,2.8527414845666685e-05,2.6498489586093593e-05
13,2.73325914131133e-05,2.9268863782707956e-05,2.6873051703751478e-05
14,2.775781245064071e-05,2.9436006122689274e-05,2.7243502424671715e-05
15,2.81705831572136e-05,2.956131015726617e-05,2.7650279267820604e-05
16,2.8511537688874485e-05,2.9586674161957454e-05,2.8132560625668147e-05
17,2.8801182617730004e-05,2.9586674161957454e-05,2.8480291638186374e-05
18,2.907689329570799e-05,2.9750394192723054e-05,2.872572676088705e-05
19,2.938663070267981e-05,3.0367446097783177e-05,2.9097680914831087e-05
20,2.9687022940188034e-05,3.119735446434142e-05,2.936943816264795e-05
21,3.0006400111276143e-05,3.130086390384375e-05,2.9586674161957454e-05
22,3.0411412450544276e-05,3.204922761361451e-05,3.000570108320581e-05
23,3.071577367520776e-05,3.204922761361451e-05,3.0337044565118466e-05
24,3.096751325784497e-05,3.241070849808777e-05,3.0584781012967946e-05
25,3.128870211307549e-05,3.3768952824772905e-05,3.0803351404632826e-05
26,3.166285669181915e-05,3.3768952824772905e-05,3.120222159817779e-05
27,3.2026774362472414e-05,3.396393030601501e-05,3.157662067005589e-05
28,3.239412578000005e-05,3.418219107844813e-05,3.1940718027341254e-05
29,3.286992868357904e-05,3.425713404816553e-05,3.22809735941636e-05
30,3.333512210982665e-05,3.444949703734326e-05,3.268828451882845e-05
31,3.370988381516652e-05,3.462963604252519e-05,3.3370040377748854e-05
32,3.393448372609432e-05,3.4848062447727906e-05,3.364850768868401e-05
33,3.4129744558429266e-05,3.4848062447727906e-05,3.389830508474576e-05
34,3.427370026553288e-05,3.4848062447727906e-05,3.408083975189148e-05
35,3.4413478485003556e-05,3.4848062447727906e-05,3.4236023143551646e-05
36,3.45544240297698e-05,3.4952813701502974e-05,3.437607425232039e-05
37,3.4690841492493194e-05,3.507910337811766e-05,3.4564999481525006e-05
38,3.4805239097665925e-05,3.5203830176723225e-05,3.462963604252519e-05
39,3.491694526698214e-05,3.534817956875221e-05,3.4848062447727906e-05
40,3.500251697770089e-05,3.534817956875221e-05,3.4848062447727906e-05
41,3.51079269533521e-05,3.534817956875221e-05,3.494426389908096e-05
42,3.519619889125596e-05,3.534817956875221e-05,3.507910337811766e-05
43,3.5312238978937845e-05,3.5497497426431435e-05,3.5211267605633805e-05
44,3.5348926158040716e-05,3.5497497426431435e-05,3.534817956875221e-05
