Iteration,Avg,Max,Min
1,2.146039426788201e-05,2.4200769584472787e-05,1.930576470133982e-05
2,2.1928099547724025e-05,2.4726157802339094e-05,1.9293100787158512e-05
3,2.228935193976096e-05,2.484225170169424e-05,1.85628631360101e-05
4,2.2655649761559857e-05,2.690052187012428e-05,1.996167358671351e-05
5,2.2873889846124092e-05,2.8055212658511953e-05,2.011384435907235e-05
6,2.3121918178774363e-05,2.8055212658511953e-05,1.9013937215979313e-05
7,2.3583724480108488e-05,2.8055212658511953e-05,2.0052135552436335e-05
8,2.3525854930050242e-05,2.8055212658511953e-05,1.940617116242965e-05
9,2.410984571658084e-05,2.8055212658511953e-05,1.998321410015587e-05
10,2.445771248810972e-05,2.8055212658511953e-05,2.123863732902897e-05
11,2.4884158255142952e-05,2.965687001393873e-05,2.0346293922562004e-05
12,2.526353501358505e-05,2.965687001393873e-05,2.1422450728363323e-05
13,2.5819744561962613e-05,2.965687001393873e-05,2.2378373539811128e-05
14,2.5550899066033815e-05,2.9904306220095695e-05,2.085027418110548e-05
15,2.586342601562496e-05,3.086610284585468e-05,2.1341073029151907e-05
16,2.573102820122744e-05,3.1219755861509166e-05,2.195341485368049e-05
17,2.63789077857104e-05,3.1855249745158005e-05,2.198430320750984e-05
18,2.6981731846066484e-05,3.209860692045965e-05,2.2674708629994104e-05
19,2.7615326362484993e-05,3.209860692045965e-05,2.4120796951131264e-05
20,2.8164990496857623e-05,3.277828766225252e-05,2.2922636103151864e-05
21,2.8388895213826307e-05,3.293048374880627e-05,2.287648983140027e-05
22,2.9131615545230556e-05,3.3434752081313316e-05,2.3298618391929358e-05
23,2.9092334565484873e-05,3.3434752081313316e-05,2.5177501384762575e-05
24,2.934027943636884e-05,3.3434752081313316e-05,2.3043598488339938e-05
25,2.9818957509750922e-05,3.4205575508807936e-05,2.4640859473178423e-05
26,3.024853359161739e-05,3.4205575508807936e-05,2.569307057886488e-05
27,3.0133693765335688e-05,3.4205575508807936e-05,2.539811545983288e-05
28,3.049413250236093e-05,3.5160507717731446e-05,2.5531045751633988e-05
29,3.079742888922316e-05,3.5160507717731446e-05,2.611375150154071e-05
30,3.0779208629129846e-05,3.532570298148933e-05,2.655196219000584e-05
31,3.0870682849543194e-05,3.6603221083455344e-05,2.515470141369422e-05
32,3.107932294415222e-05,3.6603221083455344e-05,2.594976126219639e-05
33,3.143546308749515e-05,3.698635203609868e-05,2.6321330806485575e-05
34,3.193408123058724e-05,3.698635203609868e-05,2.661839863713799e-05
35,3.196905826614639e-05,3.698635203609868e-05,2.6702982723170177e-05
36,3.209662818179707e-05,3.698635203609868e-05,2.7058473360932975e-05
37,3.1945931948923374e-05,3.7089236703508645e-05,2.5982124298482642e-05
38,3.220787729557861e-05,3.7676135935498456e-05,2.5207965717166626e-05
39,3.279855732600827e-05,3.7811472000604984e-05,2.7467999780256003e-05
40,3.219604089436192e-05,3.804017041996348e-05,2.567460011810316e-05
41,3.315283007156388e-05,3.804017041996348e-05,2.619446772841576e-05
42,3.3728191818676245e-05,3.804017041996348e-05,2.8343064452128563e-05
43,3.366709606650409e-05,3.834355828220859e-05,2.8741413502716065e-05
44,3.390471614402131e-05,3.834355828220859e-05,2.7548968291137498e-05
45,3.4037379330789876e-05,3.834355828220859e-05,2.8550219836692744e-05
46,3.432109120215017e-05,3.8785246092386455e-05,2.8710057133013694e-05
47,3.548248830585336e-05,3.8785246092386455e-05,2.9014942695488176e-05
48,3.4724703714747005e-05,3.897723729342064e-05,2.9264581077521874e-05
49,3.489004773718725e-05,3.92187622558632e-05,2.945768403688102e-05
50,3.458749070135564e-05,3.92187622558632e-05,2.8856697639522133e-05
51,3.460259539953042e-05,3.92187622558632e-05,2.8044197655505076e-05
52,3.542615898913368e-05,3.92187622558632e-05,2.878526194588371e-05
53,3.585722064948033e-05,3.92187622558632e-05,3.0950170225936245e-05
54,3.642738099538736e-05,3.945707070707071e-05,3.1598571744557146e-05
55,3.614385469155152e-05,3.945707070707071e-05,2.9080757262919125e-05
56,3.61403181785464e-05,3.945707070707071e-05,3.081949024563134e-05
57,3.656390350861831e-05,3.945707070707071e-05,3.1433690629616825e-05
58,3.672193636126824e-05,3.945707070707071e-05,3.1375502008032126e-05
59,3.6881869842022075e-05,3.945707070707071e-05,3.1852205765249246e-05
60,3.651651611685532e-05,3.945707070707071e-05,2.8963679545849506e-05
61,3.5805062068599e-05,3.945707070707071e-05,2.896200185356812e-05
62,3.55902793910433e-05,3.945707070707071e-05,2.907568400546623e-05
63,3.598695902142464e-05,3.945707070707071e-05,2.961558964638986e-05
64,3.617674392885182e-05,3.945707070707071e-05,2.931863492435792e-05
65,3.654057107413468e-05,3.945707070707071e-05,3.107230525432682e-05
66,3.68761591401149e-05,3.945707070707071e-05,2.9733587059942913e-05
67,3.598069203231529e-05,3.945707070707071e-05,2.97000297000297e-05
68,3.567763264493923e-05,3.945707070707071e-05,2.8641805579423727e-05
69,3.56370609383269e-05,3.945707070707071e-05,2.9707970648524998e-05
70,3.593328974112855e-05,3.945707070707071e-05,2.91129290517919e-05
71,3.5659708771659465e-05,3.945707070707071e-05,2.9212432811404535e-05
72,3.5797561828924044e-05,3.945707070707071e-05,2.899391127863149e-05
73,3.656305793485005e-05,3.945707070707071e-05,3.0804300280319136e-05
74,3.6567706535272376e-05,3.945707070707071e-05,3.0123203903967227e-05
75,3.651801119158367e-05,3.945707070707071e-05,2.9663028001898435e-05
76,3.606165445117682e-05,3.945707070707071e-05,2.9020836960937954e-05
77,3.6342113655984796e-05,3.945707070707071e-05,2.95159386068477e-05
78,3.632177745675752e-05,3.945707070707071e-05,3.067484662576687e-05
79,3.644964188803876e-05,3.945707070707071e-05,3.1832940727064365e-05
80,3.641952941692936e-05,3.945707070707071e-05,3.110419906687403e-05
81,3.596687314915983e-05,3.945707070707071e-05,3.07607124180996e-05
82,3.5475727909039707e-05,3.945707070707071e-05,2.7901785714285713e-05
83,3.582111193032474e-05,3.945707070707071e-05,2.7683959913626046e-05
84,3.6198963192904675e-05,3.945707070707071e-05,2.9890898221491557e-05
85,3.65522485434946e-05,3.945707070707071e-05,3.146039136726861e-05
86,3.6648624545228914e-05,3.945707070707071e-05,3.125879153511925e-05
87,3.6798003814246325e-05,3.945707070707071e-05,3.089661990978187e-05
88,3.682231139040714e-05,3.945707070707071e-05,3.0314053595246755e-05
89,3.64927355777591e-05,3.945707070707071e-05,2.6279136993141146e-05
90,3.6174683793592607e-05,3.945707070707071e-05,2.9374614458185237e-05
91,3.613233460102495e-05,3.945707070707071e-05,3.131654766378555e-05
92,3.535241042888901e-05,3.945707070707071e-05,2.9439472444653793e-05
93,3.509337046465991e-05,3.945707070707071e-05,2.95159386068477e-05
94,3.556670749153494e-05,3.945707070707071e-05,2.9755705656559646e-05
95,3.5491385502939896e-05,3.945707070707071e-05,2.875298312199891e-05
96,3.495748156847726e-05,3.945707070707071e-05,2.9270577215782695e-05
97,3.513483629628134e-05,3.945707070707071e-05,2.7311211252219036e-05
98,3.552425591751377e-05,3.945707070707071e-05,2.8866693608914036e-05
99,3.611115987727451e-05,3.945707070707071e-05,2.9715032835111284e-05
100,3.643599486833912e-05,3.945707070707071e-05,2.8262958566502742e-05
101,3.671503239676263e-05,3.945707070707071e-05,3.17218627077782e-05
102,3.635887214207462e-05,3.945707070707071e-05,3.089757454039858e-05
103,3.626166729473408e-05,3.945707070707071e-05,2.7449903925336262e-05
104,3.633559936922392e-05,3.945707070707071e-05,3.0082425846820288e-05
105,3.6420042274809386e-05,3.945707070707071e-05,2.9534244957027673e-05
106,3.6508607384133925e-05,3.945707070707071e-05,3.158659464923087e-05
107,3.6752514321186114e-05,3.945707070707071e-05,2.9771651433505016e-05
108,3.693567598482486e-05,3.945707070707071e-05,3.025443983904638e-05
109,3.660399763962381e-05,3.945707070707071e-05,2.9448141822251015e-05
110,3.721148714049862e-05,3.945707070707071e-05,3.227368081329676e-05
111,3.7331466809439504e-05,3.945707070707071e-05,3.2232070910556004e-05
112,3.6621353708946864e-05,3.945707070707071e-05,3.0089667208280676e-05
113,3.66746726990869e-05,3.945707070707071e-05,2.9815146094215862e-05
114,3.660722342211634e-05,3.945707070707071e-05,2.7810996468003448e-05
115,3.683959081388106e-05,3.945707070707071e-05,3.062880945817636e-05
116,3.663299804768735e-05,3.945707070707071e-05,2.9214993134476612e-05
117,3.648094652700401e-05,3.945707070707071e-05,2.8654116163786927e-05
118,3.689747254618668e-05,3.945707070707071e-05,2.9619098394644868e-05
119,3.7067635062285944e-05,3.945707070707071e-05,3.203485392106612e-05
120,3.691819281531039e-05,3.945707070707071e-05,3.0489664003902676e-05
121,3.711522671626061e-05,3.945707070707071e-05,3.2258064516129034e-05
122,3.70825175135048e-05,3.945707070707071e-05,3.128421711246676e-05
123,3.7376127419451336e-05,3.945707070707071e-05,3.162755392497944e-05
124,3.686522976529404e-05,3.945707070707071e-05,3.222791582068388e-05
125,3.709009459728519e-05,3.945707070707071e-05,3.116332699679018e-05
126,3.6970733926047926e-05,3.945707070707071e-05,3.186540054808489e-05
127,3.543181282384418e-05,3.945707070707071e-05,2.9611204879926563e-05
128,3.586461263980212e-05,3.945707070707071e-05,3.012229652388698e-05
129,3.6130859991187856e-05,3.945707070707071e-05,3.081474177246395e-05
130,3.6236027587238385e-05,3.945707070707071e-05,2.9626118385969072e-05
131,3.605764971185144e-05,3.945707070707071e-05,2.876373468331128e-05
