Iteration,Avg,Max,Min
1,2.142327306783265e-05,2.35882436193801e-05,2.054822668803682e-05
2,2.202877151096612e-05,2.400384061449832e-05,2.1360218728639783e-05
3,2.2511311672501052e-05,2.4247714652893965e-05,2.1922132585057873e-05
4,2.2911756100601344e-05,2.486696175461282e-05,2.2381378692927485e-05
5,2.3355181477464067e-05,2.4910943377425704e-05,2.2808137943618282e-05
6,2.3824765784240745e-05,2.5763899623847067e-05,2.324230098779779e-05
7,2.432064532589611e-05,2.6006449599500677e-05,2.3757483607336312e-05
8,2.492296889109404e-05,2.7173174641993425e-05,2.4291301285009838e-05
9,2.5491071104723292e-05,2.718351591594857e-05,2.4819438584299223e-05
10,2.5990292219737672e-05,2.790334282046989e-05,2.5438819638768762e-05
11,2.6426111752806825e-05,2.8203175677581295e-05,2.5921509668723107e-05
12,2.691695107802742e-05,2.8612303290414877e-05,2.6332420476090162e-05
13,2.7393504191995666e-05,2.9551700700375305e-05,2.6852846401718583e-05
14,2.7895844821448112e-05,2.981692408611128e-05,2.730897372876727e-05
15,2.8389404613717465e-05,3.030578537442798e-05,2.786679671171799e-05
16,2.8772971431124227e-05,3.0458089668615983e-05,2.828694274722788e-05
17,2.9240937016143616e-05,3.096550442806713e-05,2.873480647107842e-05
18,2.9662635092373715e-05,3.109839532280134e-05,2.919537545252832e-05
19,3.0110031429034313e-05,3.144752979653448e-05,2.963577630916042e-05
20,3.0460697757401266e-05,3.173797130887394e-05,2.999400119976005e-05
21,3.090051983929996e-05,3.2306002455256185e-05,3.0485016614334054e-05
22,3.123296304757144e-05,3.2306002455256185e-05,3.081759068076058e-05
23,3.162576980250908e-05,3.280947537648873e-05,3.1157501168406295e-05
24,3.19915157602714e-05,3.282347534957001e-05,3.157961220236215e-05
25,3.2301165311511355e-05,3.3374495210759934e-05,3.195500734965169e-05
26,3.261614764269209e-05,3.354691536113254e-05,3.2264309221139574e-05
27,3.285416704583338e-05,3.386272053096746e-05,3.2597711640642824e-05
28,3.307987582278741e-05,3.3973161202649904e-05,3.280947537648873e-05
29,3.329690964161181e-05,3.421727972626176e-05,3.3021827427929864e-05
30,3.351620121081994e-05,3.513456538542618e-05,3.323252799840484e-05
31,3.37127627375683e-05,3.513456538542618e-05,3.347728566167855e-05
32,3.3931668914430984e-05,3.513456538542618e-05,3.3628140027575076e-05
33,3.4154679863148226e-05,3.5316969803990815e-05,3.389830508474576e-05
34,3.434985664422043e-05,3.5380696292103026e-05,3.4086648259876604e-05
35,3.4554615901868726e-05,3.5821750967187274e-05,3.4280621164855504e-05
36,3.4754200042303035e-05,3.633060853769301e-05,3.444949703734326e-05
37,3.5034600839041156e-05,3.633060853769301e-05,3.465844106332097e-05
38,3.537954255546198e-05,3.633060853769301e-05,3.4932057148845494e-05
39,3.5705371875316535e-05,3.667436828400631e-05,3.532320734722713e-05
40,3.59359699353668e-05,3.667436828400631e-05,3.56582513193553e-05
41,3.618405947053095e-05,3.671611102951975e-05,3.5821750967187274e-05
42,3.6365673463309495e-05,3.702469547187974e-05,3.622532149972831e-05
43,3.6452838359948835e-05,3.702469547187974e-05,3.633060853769301e-05
44,3.656407939109097e-05,3.702469547187974e-05,3.633720930232558e-05
45,3.6730084874477484e-05,3.7163668797383674e-05,3.646441073512252e-05
46,3.691829256928055e-05,3.7163668797383674e-05,3.6709371902646744e-05
47,3.701843984831934e-05,3.7163668797383674e-05,3.685005711758853e-05
48,3.708216318298325e-05,3.7163668797383674e-05,3.698498409645684e-05
49,3.715463553122585e-05,3.7163668797383674e-05,3.702469547187974e-05
50,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
51,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
52,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
53,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
54,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
55,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
56,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
57,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
58,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
59,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
60,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
61,3.716366879738359e-05,3.7163668797383674e-05,3.7163668797383674e-05
