Iteration,Avg,Max,Min
1,2.1656981176945316e-05,2.4831764793523877e-05,2.082378909666403e-05
2,2.22463419572367e-05,2.4831764793523877e-05,2.1498903555918647e-05
3,2.2882787512338166e-05,2.499562576549104e-05,2.2060932294998785e-05
4,2.35988011988062e-05,2.6977446854429696e-05,2.279825821307252e-05
5,2.4250031726057555e-05,2.718425487957375e-05,2.3502867349816677e-05
6,2.5042960128508706e-05,2.733584823137062e-05,2.4106260395824795e-05
7,2.5833199875284877e-05,2.7773920288848772e-05,2.487933522416281e-05
8,2.6489981892202792e-05,2.840182907779261e-05,2.5678555838019668e-05
9,2.6912126607493216e-05,2.840182907779261e-05,2.637965600928564e-05
10,2.7223314734929257e-05,2.866890284108827e-05,2.6909932456069534e-05
11,2.749699332197463e-05,2.866890284108827e-05,2.714146129627619e-05
12,2.7783081829711055e-05,2.866890284108827e-05,2.744463045805088e-05
13,2.807232843298494e-05,2.9077374894594517e-05,2.771618625277162e-05
14,2.8370476446862067e-05,2.9566554313760275e-05,2.8008066323101054e-05
15,2.8579473576029163e-05,2.9939223376545613e-05,2.835833593284746e-05
16,2.8826794518010592e-05,3.005981903988938e-05,2.850708401037658e-05
17,2.9099158394732325e-05,3.0206004953784814e-05,2.8735632183908045e-05
18,2.9453049663335656e-05,3.0857530780386954e-05,2.9077374894594517e-05
19,2.9736078085391456e-05,3.099525772556799e-05,2.9417821316153325e-05
20,2.9999358927171715e-05,3.133224714876551e-05,2.962085308056872e-05
21,3.028393319375474e-05,3.133224714876551e-05,2.992399305763361e-05
22,3.0668885314760634e-05,3.1769228325443974e-05,3.0260848514192338e-05
23,3.100054301739366e-05,3.1958071010833784e-05,3.063256241384592e-05
24,3.1300509688923806e-05,3.243383497664764e-05,3.09281538984938e-05
25,3.165076139850205e-05,3.2836409010310635e-05,3.125781445361341e-05
26,3.198647382776615e-05,3.2836409010310635e-05,3.1604563698998135e-05
27,3.2284938214208056e-05,3.3247996808192306e-05,3.196113525952442e-05
28,3.252814611858441e-05,3.36915872106735e-05,3.226014581585909e-05
29,3.274163400851502e-05,3.36915872106735e-05,3.2456994482310936e-05
30,3.296269077005779e-05,3.373363918499528e-05,3.273858241938124e-05
31,3.313244727973963e-05,3.3899454218787076e-05,3.2836409010310635e-05
32,3.332674237148251e-05,3.43867129741068e-05,3.3125745329269906e-05
33,3.3498492456616044e-05,3.43867129741068e-05,3.3247996808192306e-05
34,3.37499903658433e-05,3.462124359506994e-05,3.341910904655282e-05
35,3.3982834884131536e-05,3.4899141481119564e-05,3.3729087965461414e-05
36,3.419240869254468e-05,3.4899141481119564e-05,3.3921302578019e-05
37,3.4408560699329746e-05,3.49125440770869e-05,3.412037668895865e-05
38,3.459420447109062e-05,3.528830545557202e-05,3.4389078028818045e-05
39,3.477679001082934e-05,3.548112404200965e-05,3.457456003872351e-05
40,3.489715689876961e-05,3.548112404200965e-05,3.473910928923782e-05
41,3.50205926396196e-05,3.548112404200965e-05,3.487723214285714e-05
42,3.515594684347144e-05,3.599841606969293e-05,3.497359493582345e-05
43,3.525890031936799e-05,3.599841606969293e-05,3.5096339451795175e-05
44,3.5410208495378014e-05,3.620826996886089e-05,3.5263417730446436e-05
45,3.553685676962122e-05,3.6411302068161955e-05,3.528706023501182e-05
46,3.578740825266412e-05,3.6545700398348135e-05,3.547105561861521e-05
47,3.61068272518445e-05,3.6545700398348135e-05,3.586543289577505e-05
48,3.626306123376176e-05,3.6545700398348135e-05,3.603993224492738e-05
49,3.6416213067687766e-05,3.6545700398348135e-05,3.62568434792067e-05
50,3.643255258579252e-05,3.6642116448646074e-05,3.6411302068161955e-05
51,3.646032824069765e-05,3.6642116448646074e-05,3.6411302068161955e-05
52,3.65146134745117e-05,3.6642116448646074e-05,3.6411302068161955e-05
53,3.656116457874193e-05,3.677822728944465e-05,3.6545700398348135e-05
54,3.657613710760836e-05,3.677822728944465e-05,3.6545700398348135e-05
55,3.6614589345175064e-05,3.677822728944465e-05,3.6545700398348135e-05
56,3.668907384777517e-05,3.677822728944465e-05,3.6545700398348135e-05
57,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
58,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
59,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
60,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
61,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
62,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
63,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
64,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
65,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
66,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
67,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
68,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
69,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
70,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
71,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
72,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
73,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
74,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
75,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
76,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
77,3.677822728944456e-05,3.677822728944465e-05,3.677822728944465e-05
