Iteration,Avg,Max,Min
1,2.0697183999291764e-05,2.3476933912431035e-05,1.8528812303131368e-05
2,2.0717259079770632e-05,2.3476933912431035e-05,1.8643151438319134e-05
3,2.075740689956951e-05,2.3788001332128076e-05,1.8664725535211005e-05
4,2.0810092121624208e-05,2.3788001332128076e-05,1.8909310944709174e-05
5,2.0868631008040687e-05,2.3788001332128076e-05,1.908943399828195e-05
6,2.0941769682027357e-05,2.3788001332128076e-05,1.9394503597680417e-05
7,2.1006179669516378e-05,2.3788001332128076e-05,1.954499257290282e-05
8,2.1107047821687795e-05,2.4386675120714043e-05,1.9638648860958365e-05
9,2.1207551084803166e-05,2.4636003054864378e-05,1.9713367634593018e-05
10,2.133031332776979e-05,2.4636003054864378e-05,1.986136765377664e-05
11,2.1464450810195624e-05,2.563445270443476e-05,1.999040460578922e-05
12,2.1628449754588427e-05,2.563445270443476e-05,2.005655949778375e-05
13,2.177984679936119e-05,2.5763899623847067e-05,2.0151945670354474e-05
14,2.19861162576985e-05,2.5815778603882695e-05,2.024824346487942e-05
15,2.218798994173148e-05,2.596391016487083e-05,2.044153720359771e-05
16,2.246269984186653e-05,2.6747980527470175e-05,2.0610907292139e-05
17,2.2730593446543135e-05,2.6747980527470175e-05,2.0779652564209126e-05
18,2.30275874307901e-05,2.6832671460770635e-05,2.0894274968658587e-05
19,2.3336132126252134e-05,2.7324644096510642e-05,2.1111744463445014e-05
20,2.3704986422832246e-05,2.8662329100862736e-05,2.1319234213107066e-05
21,2.4092971984207363e-05,2.8796037665217265e-05,2.1544759237315523e-05
22,2.452690809443791e-05,2.9334115576415372e-05,2.1809775141218293e-05
23,2.497514882232653e-05,2.9334115576415372e-05,2.2092612230470132e-05
24,2.5412142394772866e-05,2.9482001238244052e-05,2.248959856066569e-05
25,2.5929852564312583e-05,3.078722945722114e-05,2.2901637467078896e-05
26,2.6490790679972524e-05,3.092528451261752e-05,2.3476933912431035e-05
27,2.701711128240007e-05,3.1472272927550825e-05,2.4056966897613547e-05
28,2.759242431985116e-05,3.358973497699103e-05,2.4644503043596124e-05
29,2.8165221975624177e-05,3.358973497699103e-05,2.5313892264074525e-05
30,2.871722888366966e-05,3.358973497699103e-05,2.5815778603882695e-05
31,2.9305300133239362e-05,3.3924754893645894e-05,2.6367136001687495e-05
32,2.992900302443697e-05,3.3924754893645894e-05,2.6907036189963676e-05
33,3.054618538039078e-05,3.4772932749148066e-05,2.778626802634138e-05
34,3.1156831074394597e-05,3.514320857494289e-05,2.840747684790637e-05
